tau_pre,tau_post,delta_macro_f1,delta_tail_f1,delta_benign_fpr,accepted,changed,helpful,harmful,proposal_rate,harmful_fraction,feasible,reason
-inf,0.0,-0.003977108324262235,0.00720075257029551,0.09581187010078485,48614,5037,2821,2211,1.0,0.4393879173290938,False,"benign_fpr,protected_class_f1"
-inf,0.0001295763795496896,-0.003968915363730452,0.007211578880285563,0.09576707726763822,39697,5036,2821,2210,1.0,0.4392764857881137,False,"benign_fpr,protected_class_f1"
-inf,0.0010907320538535714,-0.003951414498197692,0.007204787270689794,0.09549832026875804,20366,5022,2813,2204,1.0,0.4393063583815029,False,"benign_fpr,protected_class_f1"
-inf,0.01341249793767929,-0.0033212048762690793,0.007747919652566548,0.09034714445688774,8147,4817,2724,2088,1.0,0.4339152119700748,False,"benign_fpr,protected_class_f1"
-inf,0.05956691503524763,0.00022848658079388517,0.011472626514683892,0.06477043673012339,4074,3774,2260,1509,1.0,0.4003714513133457,False,"benign_fpr,protected_class_f1"
-inf,0.7042331099510193,0.01600289158708379,0.037473441028189225,0.002060470324747765,814,812,764,46,1.0,0.056790123456790124,False,benign_fpr
0.0,0.0,-0.003977108324262235,0.00720075257029551,0.09581187010078485,48614,5037,2821,2211,1.0,0.4393879173290938,False,"benign_fpr,protected_class_f1"
0.0,0.0001295763795496896,-0.003968915363730452,0.007211578880285563,0.09576707726763822,39697,5036,2821,2210,1.0,0.4392764857881137,False,"benign_fpr,protected_class_f1"
0.0,0.0010907320538535714,-0.003951414498197692,0.007204787270689794,0.09549832026875804,20366,5022,2813,2204,1.0,0.4393063583815029,False,"benign_fpr,protected_class_f1"
0.0,0.01341249793767929,-0.0033212048762690793,0.007747919652566548,0.09034714445688774,8147,4817,2724,2088,1.0,0.4339152119700748,False,"benign_fpr,protected_class_f1"
0.0,0.05956691503524763,0.00022848658079388517,0.011472626514683892,0.06477043673012339,4074,3774,2260,1509,1.0,0.4003714513133457,False,"benign_fpr,protected_class_f1"
0.0,0.7042331099510193,0.01600289158708379,0.037473441028189225,0.002060470324747765,814,812,764,46,1.0,0.056790123456790124,False,benign_fpr
1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,support
1.0,0.0001295763795496896,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,support
1.0,0.0010907320538535714,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,support
1.0,0.01341249793767929,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,support
1.0,0.05956691503524763,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,support
1.0,0.7042331099510193,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,support
,,0.0,0.0,0.0,0,0,0,0,0.0,,True,selected:global_fallback
