method,bucket,cls,support,precision,recall,f1
xgboost_c0,all,benign,3502926,0.9927102821359062,0.9920360864031955,0.9923730697612456
xgboost_c0,all,bot,41542,0.9989373007438895,0.9956188917240383,0.9972753357606153
xgboost_c0,all,brute_force,115040,0.8449090227938854,0.999826147426982,0.9158627718743655
xgboost_c0,all,ddos,264872,0.9992602712841842,0.9995998066990849,0.9994300101541237
xgboost_c0,all,dos,60594,0.9995118316590016,0.6420107601412681,0.7818318846405065
xgboost_c0,all,infiltration,37631,0.33601987157466373,0.33791289096755334,0.3369637226064605
xgboost_c0,all,web_attacks,509,0.14073849878934624,0.9135559921414538,0.24390243902439024
xgboost_c0,seen_same_label,benign,1743432,0.9999078141348587,0.9954297041697067,0.9976637340703916
xgboost_c0,seen_same_label,bot,39683,0.999496259728484,1.0,0.9997480664096944
xgboost_c0,seen_same_label,brute_force,77454,1.0,1.0,1.0
xgboost_c0,seen_same_label,ddos,79154,1.0,1.0,1.0
xgboost_c0,seen_same_label,dos,6322,0.998105462582886,1.0,0.9990518331226296
xgboost_c0,seen_same_label,infiltration,9651,0.5534881007932805,0.9832141746969226,0.7082664676245568
xgboost_c0,seen_same_label,web_attacks,226,0.444007858546169,1.0,0.6149659863945578
xgboost_c0,seen_diff_label,benign,8255,0.19363945128137267,0.5317989097516657,0.2839035116083554
xgboost_c0,seen_diff_label,bot,0,0.0,0.0,0.0
xgboost_c0,seen_diff_label,brute_force,0,0.0,0.0,0.0
xgboost_c0,seen_diff_label,ddos,0,0.0,0.0,0.0
xgboost_c0,seen_diff_label,dos,21111,1.0,4.736867036142295e-05,9.473285335354301e-05
xgboost_c0,seen_diff_label,infiltration,18636,0.1025512756378189,0.011000214638334407,0.019869154349406348
xgboost_c0,seen_diff_label,web_attacks,155,0.056721750781598926,0.8193548387096774,0.1060985797827903
xgboost_c0,unseen,benign,1751239,0.9959380158553413,0.9908270658659384,0.9933759669053105
xgboost_c0,unseen,bot,1859,0.9858906525573192,0.9020979020979021,0.9421348314606741
xgboost_c0,unseen,brute_force,37586,0.9999201469296495,0.9994678869791944,0.999693965804005
xgboost_c0,unseen,ddos,185718,0.9996822336282996,0.9994292421843871,0.9995557218980637
xgboost_c0,unseen,dos,33161,0.9997851838212729,0.9824492626880975,0.991041416338388
xgboost_c0,unseen,infiltration,9344,0.1616042780748663,0.323416095890411,0.21551847097418342
xgboost_c0,unseen,web_attacks,128,0.2014388489208633,0.875,0.32748538011695905
tabpfn_v3,all,benign,3502926,0.9914428061518367,0.9984806987073093,0.9949493067422133
tabpfn_v3,all,bot,41542,0.9999034306269766,0.9969909970632131,0.9984450899798706
tabpfn_v3,all,brute_force,115040,0.8449276426944832,0.999826147426982,0.9158737110323685
tabpfn_v3,all,ddos,264872,0.9999619234737976,0.9914940046513032,0.9957099607394109
tabpfn_v3,all,dos,60594,0.999897063743277,0.6412351057860515,0.7813741164167999
tabpfn_v3,all,infiltration,37631,0.772644376899696,0.27020275836411467,0.40038589513890255
tabpfn_v3,all,web_attacks,509,0.14697406340057637,0.9017681728880157,0.2527533039647577
tabpfn_v3,seen_same_label,benign,1743432,0.9984762238776119,0.9993782378664611,0.9989270272462841
tabpfn_v3,seen_same_label,bot,39683,1.0,1.0,1.0
tabpfn_v3,seen_same_label,brute_force,77454,1.0,1.0,1.0
tabpfn_v3,seen_same_label,ddos,79154,1.0,0.972307148091063,0.9859591585743934
tabpfn_v3,seen_same_label,dos,6322,0.9996837444655281,1.0,0.9998418472244188
tabpfn_v3,seen_same_label,infiltration,9651,0.9067167870214661,0.9497461402963423,0.9277327935222672
tabpfn_v3,seen_same_label,web_attacks,226,0.5900783289817232,1.0,0.7422003284072249
tabpfn_v3,seen_diff_label,benign,8255,0.25445600451649325,0.7643852210781344,0.3818110307687653
tabpfn_v3,seen_diff_label,bot,0,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,brute_force,0,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,ddos,0,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,dos,21111,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,infiltration,18636,0.41935483870967744,0.0006975745868212063,0.0013928322708523062
tabpfn_v3,seen_diff_label,web_attacks,155,0.05320108205590622,0.7612903225806451,0.09945217024863043
tabpfn_v3,unseen,benign,1751239,0.9948571860884068,0.9986906413116656,0.9967702279647991
tabpfn_v3,unseen,bot,1859,0.997698504027618,0.9327595481441635,0.9641367806505421
tabpfn_v3,unseen,brute_force,37586,1.0,0.9994678869791944,0.9997338726846924
tabpfn_v3,unseen,ddos,185718,0.999946140132603,0.9996715450306378,0.9998088237273988
tabpfn_v3,unseen,dos,33161,0.9999385277393577,0.9810620910105244,0.9904103750608865
tabpfn_v3,unseen,infiltration,9344,0.32748344370860927,0.10584332191780822,0.15998058880621158
tabpfn_v3,unseen,web_attacks,128,0.22030651340996169,0.8984375,0.35384615384615387
