method,bucket,cls,support,precision,recall,f1
xgboost_c0,all,benign,3502926,0.9927495909982974,0.7655043240993387,0.864441817113595
xgboost_c0,all,bot,41542,0.9989613275682987,0.9955226036300612,0.9972390012177331
xgboost_c0,all,brute_force,115040,0.9994164146639078,0.3275034770514604,0.49334153910618184
xgboost_c0,all,ddos,264872,1.0,0.9884170467244556,0.9941747867759305
xgboost_c0,all,dos,60594,0.9998844498367854,0.5712281744067069,0.7270798542185252
xgboost_c0,all,infiltration,37631,0.027730470315567336,0.6858175440461322,0.053305573456269933
xgboost_c0,all,web_attacks,509,0.02892509789061513,0.899803536345776,0.056048461114850394
xgboost_c0,seen_same_label,benign,1743432,0.9932771258658286,0.5536344405746826,0.7109810771920482
xgboost_c0,seen_same_label,bot,39683,0.999496259728484,1.0,0.9997480664096944
xgboost_c0,seen_same_label,brute_force,77454,1.0,0.0014201977948201513,0.002836367386932082
xgboost_c0,seen_same_label,ddos,79154,1.0,0.972307148091063,0.9859591585743934
xgboost_c0,seen_same_label,dos,6322,1.0,0.3312242961088263,0.4976235741444867
xgboost_c0,seen_same_label,infiltration,9651,0.011152512005089738,0.9880841363589266,0.022056076927969653
xgboost_c0,seen_same_label,web_attacks,226,0.022066002733841048,1.0,0.043179212839128775
xgboost_c0,seen_diff_label,benign,8255,0.30581233379764466,0.29254996971532404,0.2990341753343239
xgboost_c0,seen_diff_label,bot,0,0.0,0.0,0.0
xgboost_c0,seen_diff_label,brute_force,0,0.0,0.0,0.0
xgboost_c0,seen_diff_label,ddos,0,0.0,0.0,0.0
xgboost_c0,seen_diff_label,dos,21111,0.0,0.0,0.0
xgboost_c0,seen_diff_label,infiltration,18636,0.33975560188973053,0.6907598197037991,0.4554798761609907
xgboost_c0,seen_diff_label,web_attacks,155,0.061999156474061574,0.9483870967741935,0.1163895486935867
xgboost_c0,unseen,benign,1751239,0.9956030869594263,0.9786591093505798,0.9870583878590389
xgboost_c0,unseen,bot,1859,0.9864386792452831,0.8999462076385153,0.9412095639943742
xgboost_c0,unseen,brute_force,37586,0.9994147068213259,0.9994678869791944,0.9994412961928326
xgboost_c0,unseen,ddos,185718,1.0,0.9952831712596517,0.9976360103626943
xgboost_c0,unseen,dos,33161,0.999877010115918,0.9806399083260456,0.9901650325802326
xgboost_c0,unseen,infiltration,9344,0.09008746355685131,0.3637628424657534,0.14441092747588902
xgboost_c0,unseen,web_attacks,128,0.026389320086929523,0.6640625,0.050761421319796954
tabpfn_v3,all,benign,3502926,0.9896098877715156,0.8583138781692791,0.9192975557792011
tabpfn_v3,all,bot,41542,0.9999034422826244,0.9971113571806846,0.9985054478835214
tabpfn_v3,all,brute_force,115040,1.0,0.3275034770514604,0.4934126090259043
tabpfn_v3,all,ddos,264872,0.9999689239530286,0.9718845329064605,0.9857267305501575
tabpfn_v3,all,dos,60594,0.9997691197691198,0.5717067696471598,0.7274368989122675
tabpfn_v3,all,infiltration,37631,0.035980023233416404,0.48149132364274133,0.06695663099391001
tabpfn_v3,all,web_attacks,509,0.004284404585765247,0.9273084479371316,0.00852940113484405
tabpfn_v3,seen_same_label,benign,1743432,0.9945258398445247,0.7191269863120557,0.8346969223876046
tabpfn_v3,seen_same_label,bot,39683,1.0,1.0,1.0
tabpfn_v3,seen_same_label,brute_force,77454,1.0,0.0014201977948201513,0.002836367386932082
tabpfn_v3,seen_same_label,ddos,79154,1.0,0.972307148091063,0.9859591585743934
tabpfn_v3,seen_same_label,dos,6322,1.0,0.3312242961088263,0.4976235741444867
tabpfn_v3,seen_same_label,infiltration,9651,0.018612390044573494,0.9458087244845094,0.03650637801778526
tabpfn_v3,seen_same_label,web_attacks,226,0.0026279986511157367,1.0,0.005242220753163309
tabpfn_v3,seen_diff_label,benign,8255,0.3455951119147079,0.6714718352513628,0.4563266650201696
tabpfn_v3,seen_diff_label,bot,0,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,brute_force,0,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,ddos,0,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,dos,21111,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,infiltration,18636,0.9102460436640869,0.42283751878085424,0.5774374381709596
tabpfn_v3,seen_diff_label,web_attacks,155,0.00549848685051788,0.832258064516129,0.01092479674796748
tabpfn_v3,unseen,benign,1751239,0.9919556647561607,0.9977610137736768,0.9948498702005593
tabpfn_v3,unseen,bot,1859,0.9977051061388411,0.935449166218397,0.9655746807329262
tabpfn_v3,unseen,brute_force,37586,1.0,0.9994678869791944,0.9997338726846924
tabpfn_v3,unseen,ddos,185718,0.9999556715483374,0.9717044120656049,0.9856276403715022
tabpfn_v3,unseen,dos,33161,0.9997542695662858,0.9815144296010374,0.9905503903099655
tabpfn_v3,unseen,infiltration,9344,0.24677920924033764,0.1188998287671233,0.16047956088400983
tabpfn_v3,unseen,web_attacks,128,0.16502115655853314,0.9140625,0.27956989247311825
