method,bucket,cls,support,precision,recall,f1
realistic_oracle,all,benign,3502926,0.9952425073540906,0.9996531471118716,0.9974429513531251
realistic_oracle,all,bot,41541,1.0,1.0,1.0
realistic_oracle,all,brute_force,115039,0.8449492835055711,1.0,0.9159593611159769
realistic_oracle,all,ddos,264871,0.999483034474431,1.0,0.9997414504066022
realistic_oracle,all,dos,60594,1.0,0.6516156715186322,0.7890645296668598
realistic_oracle,all,infiltration,37631,0.9499685336689742,0.5615848635433552,0.7058803881289978
realistic_oracle,all,web_attacks,508,0.9353448275862069,0.4271653543307087,0.5864864864864865
realistic_oracle,seen_same_label,benign,1743432,0.9997969039906645,0.9995594895585259,0.9996781826786559
realistic_oracle,seen_same_label,bot,39682,1.0,1.0,1.0
realistic_oracle,seen_same_label,brute_force,77454,1.0,1.0,1.0
realistic_oracle,seen_same_label,ddos,79154,1.0,1.0,1.0
realistic_oracle,seen_same_label,dos,6322,1.0,1.0,1.0
realistic_oracle,seen_same_label,infiltration,9651,0.9261385753211366,0.98611542845301,0.95518643047122
realistic_oracle,seen_same_label,web_attacks,226,0.4,0.02654867256637168,0.04979253112033195
realistic_oracle,seen_diff_label,benign,8255,0.33198880474152126,0.9771047849788007,0.4955915332862278
realistic_oracle,seen_diff_label,bot,0,0.0,0.0,0.0
realistic_oracle,seen_diff_label,brute_force,0,0.0,0.0,0.0
realistic_oracle,seen_diff_label,ddos,0,0.0,0.0,0.0
realistic_oracle,seen_diff_label,dos,21111,1.0,4.736867036142295e-05,9.473285335354301e-05
realistic_oracle,seen_diff_label,infiltration,18636,0.9619349722442506,0.1301781498175574,0.22932224217789962
realistic_oracle,seen_diff_label,web_attacks,154,0.9333333333333333,0.5454545454545454,0.6885245901639344
realistic_oracle,unseen,benign,1751239,0.9999114860296402,0.9998526757341516,0.9998820800171312
realistic_oracle,unseen,bot,1859,1.0,1.0,1.0
realistic_oracle,unseen,brute_force,37585,1.0,1.0,1.0
realistic_oracle,unseen,ddos,185717,1.0,1.0,1.0
realistic_oracle,unseen,dos,33161,1.0,1.0,1.0
realistic_oracle,unseen,infiltration,9344,0.972692633361558,0.9835188356164384,0.9780757769263516
realistic_oracle,unseen,web_attacks,128,1.0,0.9921875,0.996078431372549
xgboost_c0,all,benign,3502926,0.9927394417055743,0.9900774381188755,0.991406652994036
xgboost_c0,all,bot,41541,0.9992752747916415,0.9957632218771816,0.9975161570367512
xgboost_c0,all,brute_force,115039,0.8447775664142545,0.9998261459157329,0.9157855345711647
xgboost_c0,all,ddos,264871,0.9992601484232857,0.9994374620098085,0.9993487973513984
xgboost_c0,all,dos,60594,0.9999485900830271,0.6419942568571145,0.7819532247203433
xgboost_c0,all,infiltration,37631,0.28602001917203557,0.340942308203343,0.31107555038308604
xgboost_c0,all,web_attacks,508,0.14025663980901223,0.9251968503937008,0.24358642135268205
xgboost_c0,seen_same_label,benign,1743432,0.9999090011144484,0.9958099885742604,0.997855285357976
xgboost_c0,seen_same_label,bot,39682,0.9995969570255429,1.0,0.999798437893676
xgboost_c0,seen_same_label,brute_force,77454,0.9996902346472547,1.0,0.9998450933312679
xgboost_c0,seen_same_label,ddos,79154,1.0,1.0,1.0
xgboost_c0,seen_same_label,dos,6322,1.0,1.0,1.0
xgboost_c0,seen_same_label,infiltration,9651,0.5744590323364941,0.9792767588850896,0.7241313259012374
xgboost_c0,seen_same_label,web_attacks,226,0.424812030075188,1.0,0.5963060686015831
xgboost_c0,seen_diff_label,benign,8255,0.18692461641094063,0.5091459721380981,0.27345478204294077
xgboost_c0,seen_diff_label,bot,0,0.0,0.0,0.0
xgboost_c0,seen_diff_label,brute_force,0,0.0,0.0,0.0
xgboost_c0,seen_diff_label,ddos,0,0.0,0.0,0.0
xgboost_c0,seen_diff_label,dos,21111,0.0,0.0,0.0
xgboost_c0,seen_diff_label,infiltration,18636,0.0859122401847575,0.009980682549903412,0.01788375558867362
xgboost_c0,seen_diff_label,web_attacks,154,0.057104913678618856,0.8376623376623377,0.1069208454206382
xgboost_c0,unseen,benign,1751239,0.9960081002419351,0.9866374606778401,0.991300636086841
xgboost_c0,unseen,bot,1859,0.9917501473187978,0.9053254437869822,0.9465691788526435
xgboost_c0,unseen,brute_force,37585,1.0,0.9994678728216043,0.9997338656021291
xgboost_c0,unseen,ddos,185717,0.9996821583067118,0.9991977040335565,0.9994398724632686
xgboost_c0,unseen,dos,33161,0.9999386145299408,0.9824492626880975,0.9911167898755742
xgboost_c0,unseen,infiltration,9344,0.1216844512195122,0.3417166095890411,0.1794626798561151
xgboost_c0,unseen,web_attacks,128,0.20535714285714285,0.8984375,0.33430232558139533
tabpfn_v3,all,benign,3502926,0.9904116984752653,0.998694519952748,0.9945358639982932
tabpfn_v3,all,bot,41541,0.9992520568436799,0.9969909246286801,0.9981202101508652
tabpfn_v3,all,brute_force,115039,0.8448768519946819,0.9998261459157329,0.9158438704334809
tabpfn_v3,all,ddos,264871,0.9994365762358661,0.9777740862533082,0.9884866631933908
tabpfn_v3,all,dos,60594,0.9999228275968514,0.6414991583325081,0.7815779949330438
tabpfn_v3,all,infiltration,37631,0.826981147474088,0.26927267412505645,0.40626252906743643
tabpfn_v3,all,web_attacks,508,0.14566929133858267,0.8740157480314961,0.24971878515185603
tabpfn_v3,seen_same_label,benign,1743432,0.9997161319625087,0.9999088005726636,0.9998124569855471
tabpfn_v3,seen_same_label,bot,39682,0.999798437893676,1.0,0.9998992087889936
tabpfn_v3,seen_same_label,brute_force,77454,0.9998967235547752,1.0,0.9999483591107439
tabpfn_v3,seen_same_label,ddos,79154,1.0,1.0,1.0
tabpfn_v3,seen_same_label,dos,6322,0.9996837444655281,1.0,0.9998418472244188
tabpfn_v3,seen_same_label,infiltration,9651,0.9977051688340072,0.9460159568956584,0.9711732794383576
