method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,1761143,1.0,1.0,1.0
realistic_oracle,seen_same_label,0,,,
realistic_oracle,seen_diff_label,0,,,
realistic_oracle,unseen,1761143,1.0,1.0,1.0
xgboost_c0,all,1761143,0.981164505096974,0.7955895748143312,0.5278018833996496
xgboost_c0,seen_same_label,0,,,
xgboost_c0,seen_diff_label,0,,,
xgboost_c0,unseen,1761143,0.981164505096974,0.7955895748143312,0.5278018833996496
tabpfn_v3,all,1761143,0.9929029045341576,0.7993795093415129,0.53830976454444
tabpfn_v3,seen_same_label,0,,,
tabpfn_v3,seen_diff_label,0,,,
tabpfn_v3,unseen,1761143,0.9929029045341576,0.7993795093415129,0.53830976454444
