method,bucket,cls,support,precision,recall,f1
realistic_oracle,all,benign,1603707,1.0,1.0,1.0
realistic_oracle,all,bot,561,1.0,1.0,1.0
realistic_oracle,all,brute_force,18796,1.0,1.0,1.0
realistic_oracle,all,ddos,102323,1.0,1.0,1.0
realistic_oracle,all,dos,26199,1.0,1.0,1.0
realistic_oracle,all,infiltration,5297,1.0,1.0,1.0
realistic_oracle,all,web_attacks,138,1.0,1.0,1.0
realistic_oracle,unseen,benign,1603707,1.0,1.0,1.0
realistic_oracle,unseen,bot,561,1.0,1.0,1.0
realistic_oracle,unseen,brute_force,18796,1.0,1.0,1.0
realistic_oracle,unseen,ddos,102323,1.0,1.0,1.0
realistic_oracle,unseen,dos,26199,1.0,1.0,1.0
realistic_oracle,unseen,infiltration,5297,1.0,1.0,1.0
realistic_oracle,unseen,web_attacks,138,1.0,1.0,1.0
xgboost_c0,all,benign,1603707,0.9976037696809477,0.9831047691380034,0.9903012022840948
xgboost_c0,all,bot,561,0.9962616822429906,0.9500891265597148,0.9726277372262774
xgboost_c0,all,brute_force,18796,0.9950211864406779,0.9994679719089168,0.9972396220405563
xgboost_c0,all,ddos,102323,1.0,0.9998338594450905,0.999916922821301
xgboost_c0,all,dos,26199,0.999617400619811,0.9972518035039505,0.9984332008560073
xgboost_c0,all,infiltration,5297,0.057006793192800616,0.307343779497829,0.09617486338797815
xgboost_c0,all,web_attacks,138,0.4077669902912621,0.6086956521739131,0.4883720930232558
xgboost_c0,unseen,benign,1603707,0.9976037696809477,0.9831047691380034,0.9903012022840948
xgboost_c0,unseen,bot,561,0.9962616822429906,0.9500891265597148,0.9726277372262774
xgboost_c0,unseen,brute_force,18796,0.9950211864406779,0.9994679719089168,0.9972396220405563
xgboost_c0,unseen,ddos,102323,1.0,0.9998338594450905,0.999916922821301
xgboost_c0,unseen,dos,26199,0.999617400619811,0.9972518035039505,0.9984332008560073
xgboost_c0,unseen,infiltration,5297,0.057006793192800616,0.307343779497829,0.09617486338797815
xgboost_c0,unseen,web_attacks,138,0.4077669902912621,0.6086956521739131,0.4883720930232558
tabpfn_v3,all,benign,1603707,0.9965562495867625,0.9962374673179079,0.9963968329549306
tabpfn_v3,all,bot,561,0.9963369963369964,0.9696969696969697,0.982836495031617
tabpfn_v3,all,brute_force,18796,1.0,0.9994679719089168,0.9997339151721569
tabpfn_v3,all,ddos,102323,0.9999310181717844,0.9916538803592545,0.9957752491425375
tabpfn_v3,all,dos,26199,0.9998083997547517,0.9958777052559258,0.9978391815661153
tabpfn_v3,all,infiltration,5297,0.1091409354937328,0.1347932792146498,0.12061829546414393
tabpfn_v3,all,web_attacks,138,0.3333333333333333,0.9202898550724637,0.48940269749518306
tabpfn_v3,unseen,benign,1603707,0.9965562495867625,0.9962374673179079,0.9963968329549306
tabpfn_v3,unseen,bot,561,0.9963369963369964,0.9696969696969697,0.982836495031617
tabpfn_v3,unseen,brute_force,18796,1.0,0.9994679719089168,0.9997339151721569
tabpfn_v3,unseen,ddos,102323,0.9999310181717844,0.9916538803592545,0.9957752491425375
tabpfn_v3,unseen,dos,26199,0.9998083997547517,0.9958777052559258,0.9978391815661153
tabpfn_v3,unseen,infiltration,5297,0.1091409354937328,0.1347932792146498,0.12061829546414393
tabpfn_v3,unseen,web_attacks,138,0.3333333333333333,0.9202898550724637,0.48940269749518306
