method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,1761143,1.0,1.0,1.0
realistic_oracle,seen_same_label,0,,,
realistic_oracle,seen_diff_label,0,,,
realistic_oracle,unseen,1761143,1.0,1.0,1.0
xgboost_full,all,1761143,0.9936921646907718,0.7758660642052748,0.47852797721664936
xgboost_full,seen_same_label,0,,,
xgboost_full,seen_diff_label,0,,,
xgboost_full,unseen,1761143,0.9936921646907718,0.7758660642052748,0.47852797721664936
xgboost_c0,all,1761143,0.981164505096974,0.7955895748143312,0.5278018833996496
xgboost_c0,seen_same_label,0,,,
xgboost_c0,seen_diff_label,0,,,
xgboost_c0,unseen,1761143,0.981164505096974,0.7955895748143312,0.5278018833996496
tabpfn_plain,all,1761143,0.9965584850293248,0.7321018491964658,0.3763749209962819
tabpfn_plain,seen_same_label,0,,,
tabpfn_plain,seen_diff_label,0,,,
tabpfn_plain,unseen,1761143,0.9965584850293248,0.7321018491964658,0.3763749209962819
ours_c0,all,1761143,0.9926649908610488,0.7977288515441362,0.5344406130263114
ours_c0,seen_same_label,0,,,
ours_c0,seen_diff_label,0,,,
ours_c0,unseen,1761143,0.9926649908610488,0.7977288515441362,0.5344406130263114
distpfn,all,1761143,0.9391980094745288,0.614958635224,0.28116903149068284
distpfn,seen_same_label,0,,,
distpfn,seen_diff_label,0,,,
distpfn,unseen,1761143,0.9391980094745288,0.614958635224,0.28116903149068284
