method,bucket,cls,support,precision,recall,f1
realistic_oracle,all,benign,1607116,1.0,1.0,1.0
realistic_oracle,all,bot,561,1.0,1.0,1.0
realistic_oracle,all,brute_force,18796,1.0,1.0,1.0
realistic_oracle,all,ddos,102323,1.0,1.0,1.0
realistic_oracle,all,dos,26199,1.0,1.0,1.0
realistic_oracle,all,infiltration,5999,1.0,1.0,1.0
realistic_oracle,all,web_attacks,149,1.0,1.0,1.0
realistic_oracle,unseen,benign,1607116,1.0,1.0,1.0
realistic_oracle,unseen,bot,561,1.0,1.0,1.0
realistic_oracle,unseen,brute_force,18796,1.0,1.0,1.0
realistic_oracle,unseen,ddos,102323,1.0,1.0,1.0
realistic_oracle,unseen,dos,26199,1.0,1.0,1.0
realistic_oracle,unseen,infiltration,5999,1.0,1.0,1.0
realistic_oracle,unseen,web_attacks,149,1.0,1.0,1.0
xgboost_full,all,benign,1607116,0.9970272073125842,0.9960625119779779,0.9965446261793514
xgboost_full,all,bot,561,0.9962962962962963,0.9590017825311943,0.9772933696639419
xgboost_full,all,brute_force,18796,0.9994148002340799,0.9994679719089168,0.9994413853642965
xgboost_full,all,ddos,102323,1.0,0.9990617945134525,0.9995306770960646
xgboost_full,all,dos,26199,1.0,0.9999236612084431,0.9999618291472632
xgboost_full,all,infiltration,5999,0.18940754039497307,0.24620770128354727,0.21410451547437848
xgboost_full,all,web_attacks,149,0.9130434782608695,0.14093959731543623,0.2441860465116279
xgboost_full,unseen,benign,1607116,0.9970272073125842,0.9960625119779779,0.9965446261793514
xgboost_full,unseen,bot,561,0.9962962962962963,0.9590017825311943,0.9772933696639419
xgboost_full,unseen,brute_force,18796,0.9994148002340799,0.9994679719089168,0.9994413853642965
xgboost_full,unseen,ddos,102323,1.0,0.9990617945134525,0.9995306770960646
xgboost_full,unseen,dos,26199,1.0,0.9999236612084431,0.9999618291472632
xgboost_full,unseen,infiltration,5999,0.18940754039497307,0.24620770128354727,0.21410451547437848
xgboost_full,unseen,web_attacks,149,0.9130434782608695,0.14093959731543623,0.2441860465116279
xgboost_c0,all,benign,1607116,0.9972880670527317,0.9820965008126358,0.9896339871043226
xgboost_c0,all,bot,561,0.9962616822429906,0.9500891265597148,0.9726277372262774
xgboost_c0,all,brute_force,18796,0.9978752788696483,0.9994679719089168,0.9986709903779704
xgboost_c0,all,ddos,102323,1.0,0.9998827243141816,0.9999413587184925
xgboost_c0,all,dos,26199,0.9997699298285977,0.9951906561319135,0.9974750373005853
xgboost_c0,all,infiltration,5999,0.05990828693088765,0.304884147357893,0.10013961510033124
xgboost_c0,all,web_attacks,149,0.42290748898678415,0.6442953020134228,0.5106382978723404
xgboost_c0,unseen,benign,1607116,0.9972880670527317,0.9820965008126358,0.9896339871043226
xgboost_c0,unseen,bot,561,0.9962616822429906,0.9500891265597148,0.9726277372262774
xgboost_c0,unseen,brute_force,18796,0.9978752788696483,0.9994679719089168,0.9986709903779704
xgboost_c0,unseen,ddos,102323,1.0,0.9998827243141816,0.9999413587184925
xgboost_c0,unseen,dos,26199,0.9997699298285977,0.9951906561319135,0.9974750373005853
xgboost_c0,unseen,infiltration,5999,0.05990828693088765,0.304884147357893,0.10013961510033124
xgboost_c0,unseen,web_attacks,149,0.42290748898678415,0.6442953020134228,0.5106382978723404
tabpfn_plain,all,benign,1607116,0.9963117681193924,0.9999396434358192,0.998122409229076
tabpfn_plain,all,bot,561,0.9871794871794872,0.9607843137254902,0.973803071364047
tabpfn_plain,all,brute_force,18796,1.0,0.9994679719089168,0.9997339151721569
tabpfn_plain,all,ddos,102323,0.9999511088512536,0.9994136215709079,0.9996822929649887
tabpfn_plain,all,dos,26199,1.0,0.9961067216305965,0.9980495640201927
tabpfn_plain,all,infiltration,5999,0.7894736842105263,0.06251041840306718,0.11584800741427248
tabpfn_plain,all,web_attacks,149,1.0,0.020134228187919462,0.039473684210526314
tabpfn_plain,unseen,benign,1607116,0.9963117681193924,0.9999396434358192,0.998122409229076
tabpfn_plain,unseen,bot,561,0.9871794871794872,0.9607843137254902,0.973803071364047
tabpfn_plain,unseen,brute_force,18796,1.0,0.9994679719089168,0.9997339151721569
tabpfn_plain,unseen,ddos,102323,0.9999511088512536,0.9994136215709079,0.9996822929649887
tabpfn_plain,unseen,dos,26199,1.0,0.9961067216305965,0.9980495640201927
tabpfn_plain,unseen,infiltration,5999,0.7894736842105263,0.06251041840306718,0.11584800741427248
tabpfn_plain,unseen,web_attacks,149,1.0,0.020134228187919462,0.039473684210526314
ours_c0,all,benign,1607116,0.9950842234315164,0.9969454600663549,0.9960139722333256
ours_c0,all,bot,561,0.9963302752293578,0.9679144385026738,0.9819168173598554
ours_c0,all,brute_force,18796,1.0,0.9994679719089168,0.9997339151721569
ours_c0,all,ddos,102323,0.9999398478149719,0.9747661816013995,0.987192557034691
ours_c0,all,dos,26199,0.9995786732036157,0.9961067216305965,0.9978396772898465
ours_c0,all,infiltration,5999,0.13153053715967622,0.11918653108851475,0.12505465675557498
ours_c0,all,web_attacks,149,0.3408521303258145,0.912751677852349,0.49635036496350365
ours_c0,unseen,benign,1607116,0.9950842234315164,0.9969454600663549,0.9960139722333256
ours_c0,unseen,bot,561,0.9963302752293578,0.9679144385026738,0.9819168173598554
ours_c0,unseen,brute_force,18796,1.0,0.9994679719089168,0.9997339151721569
ours_c0,unseen,ddos,102323,0.9999398478149719,0.9747661816013995,0.987192557034691
ours_c0,unseen,dos,26199,0.9995786732036157,0.9961067216305965,0.9978396772898465
ours_c0,unseen,infiltration,5999,0.13153053715967622,0.11918653108851475,0.12505465675557498
ours_c0,unseen,web_attacks,149,0.3408521303258145,0.912751677852349,0.49635036496350365
distpfn,all,benign,1607116,0.9965440543462606,0.9514895004467631,0.9734957615181948
distpfn,all,bot,561,0.9935275080906149,0.5472370766488414,0.7057471264367816
distpfn,all,brute_force,18796,1.0,0.39380719301979145,0.5650813039163295
distpfn,all,ddos,102323,0.9999342573823481,0.8918718176754005,0.9428167035146806
distpfn,all,dos,26199,1.0,0.960418336577732,0.9798095831467456
distpfn,all,infiltration,5999,0.18763009217960155,0.10518419736622771,0.1348002563554796
distpfn,all,web_attacks,149,0.0014820789433886172,0.9865771812080537,0.002959711679787384
distpfn,unseen,benign,1607116,0.9965440543462606,0.9514895004467631,0.9734957615181948
distpfn,unseen,bot,561,0.9935275080906149,0.5472370766488414,0.7057471264367816
distpfn,unseen,brute_force,18796,1.0,0.39380719301979145,0.5650813039163295
distpfn,unseen,ddos,102323,0.9999342573823481,0.8918718176754005,0.9428167035146806
distpfn,unseen,dos,26199,1.0,0.960418336577732,0.9798095831467456
distpfn,unseen,infiltration,5999,0.18763009217960155,0.10518419736622771,0.1348002563554796
distpfn,unseen,web_attacks,149,0.0014820789433886172,0.9865771812080537,0.002959711679787384
