method,bucket,cls,support,precision,recall,f1
boostpfn,all,benign,1607116,0.9956628057108778,0.9951808083548418,0.9954217486853709
boostpfn,all,bot,561,0.9869451697127938,0.6737967914438503,0.8008474576271186
boostpfn,all,brute_force,18796,0.999893549073877,0.9994679719089168,0.9996807151979565
boostpfn,all,ddos,102323,0.9945937382418758,0.9816756740908691,0.9880924861177374
boostpfn,all,dos,26199,0.95489164428419,0.9906103286384976,0.9724230956573869
boostpfn,all,infiltration,5999,0.05602466157351561,0.06967827971328555,0.06210995542347697
boostpfn,all,web_attacks,149,0.0,0.0,0.0
boostpfn,unseen,benign,1607116,0.9956628057108778,0.9951808083548418,0.9954217486853709
boostpfn,unseen,bot,561,0.9869451697127938,0.6737967914438503,0.8008474576271186
boostpfn,unseen,brute_force,18796,0.999893549073877,0.9994679719089168,0.9996807151979565
boostpfn,unseen,ddos,102323,0.9945937382418758,0.9816756740908691,0.9880924861177374
boostpfn,unseen,dos,26199,0.95489164428419,0.9906103286384976,0.9724230956573869
boostpfn,unseen,infiltration,5999,0.05602466157351561,0.06967827971328555,0.06210995542347697
boostpfn,unseen,web_attacks,149,0.0,0.0,0.0
