method,bucket,cls,support,precision,recall,f1
boostpfn,all,benign,3520680,0.9942027976139846,0.9893270618176034,0.9917589371668432
boostpfn,all,bot,41541,0.9979279916144602,0.9854842204087528,0.9916670703938762
boostpfn,all,brute_force,136149,0.9996108149388319,0.999853102116064,0.9997319438477441
boostpfn,all,ddos,265008,0.9996169827526172,0.9749705669262815,0.9871399589670705
boostpfn,all,dos,39483,0.9898639565521321,0.9324772686979206,0.9603140446287675
boostpfn,all,infiltration,20086,0.20876487203629204,0.4857114408045405,0.2920171211350235
boostpfn,all,web_attacks,163,0.24175824175824176,0.13496932515337423,0.1732283464566929
boostpfn,seen_same_label,benign,1769423,0.9963785980339831,0.9970329310741411,0.9967056571623567
boostpfn,seen_same_label,bot,39682,0.9993949630675373,0.9990171866337382,0.9992060391435305
boostpfn,seen_same_label,brute_force,98564,0.9997261413313588,1.0,0.9998630519134691
boostpfn,seen_same_label,ddos,79291,0.9999869806923668,0.9686849705515128,0.9840871236386931
boostpfn,seen_same_label,dos,6322,0.9902052238805971,0.6716229041442582,0.8003770028275212
boostpfn,seen_same_label,infiltration,10759,0.6339475549255847,0.8313969699786226,0.7193694961598778
boostpfn,seen_same_label,web_attacks,36,0.037037037037037035,0.027777777777777776,0.031746031746031744
boostpfn,unseen,benign,1751257,0.9919795894459291,0.9815412586502152,0.9867328188799014
boostpfn,unseen,bot,1859,0.9550147492625368,0.6966110812264659,0.8055987558320373
boostpfn,unseen,brute_force,37585,0.9993083450825996,0.9994678728216043,0.9993881025859317
boostpfn,unseen,ddos,185717,0.9994605455095918,0.977654172746706,0.9884371036142217
boostpfn,unseen,dos,33161,0.9898194858080593,0.982208015439824,0.9859990615587207
boostpfn,unseen,infiltration,9327,0.024860523573048864,0.08695186019084379,0.038665999189492005
boostpfn,unseen,web_attacks,127,0.328125,0.16535433070866143,0.2198952879581152
