method,bucket,cls,support,precision,recall,f1
realistic_oracle,all,benign,2559666,1.0,1.0,1.0
realistic_oracle,all,bot,41541,1.0,1.0,1.0
realistic_oracle,all,brute_force,37683,1.0,1.0,1.0
realistic_oracle,all,ddos,263206,1.0,1.0,1.0
realistic_oracle,all,dos,39483,1.0,1.0,1.0
realistic_oracle,all,infiltration,9353,1.0,1.0,1.0
realistic_oracle,all,web_attacks,156,1.0,1.0,1.0
realistic_oracle,seen_same_label,benign,873880,1.0,1.0,1.0
realistic_oracle,seen_same_label,bot,39682,1.0,1.0,1.0
realistic_oracle,seen_same_label,brute_force,110,1.0,1.0,1.0
realistic_oracle,seen_same_label,ddos,76966,1.0,1.0,1.0
realistic_oracle,seen_same_label,dos,6322,1.0,1.0,1.0
realistic_oracle,seen_same_label,infiltration,370,1.0,1.0,1.0
realistic_oracle,seen_same_label,web_attacks,9,1.0,1.0,1.0
realistic_oracle,unseen,benign,1685786,1.0,1.0,1.0
realistic_oracle,unseen,bot,1859,1.0,1.0,1.0
realistic_oracle,unseen,brute_force,37573,1.0,1.0,1.0
realistic_oracle,unseen,ddos,186240,1.0,1.0,1.0
realistic_oracle,unseen,dos,33161,1.0,1.0,1.0
realistic_oracle,unseen,infiltration,8983,1.0,1.0,1.0
realistic_oracle,unseen,web_attacks,147,1.0,1.0,1.0
xgboost_full,all,benign,2559666,0.9797058281643432,0.9971644738024414,0.9883580583417523
xgboost_full,all,bot,41541,0.9999758185423417,0.9954743506415349,0.9977200072380723
xgboost_full,all,brute_force,37683,0.9996284205218038,0.999469256694,0.9995488322717622
xgboost_full,all,ddos,263206,1.0,0.8244568892806395,0.9037833605437644
xgboost_full,all,dos,39483,1.0,0.9998733632196135,0.9999366776003343
xgboost_full,all,infiltration,9353,0.29295884532865224,0.3211803699347803,0.30642117611057273
xgboost_full,all,web_attacks,156,0.8837209302325582,0.24358974358974358,0.38190954773869346
xgboost_full,seen_same_label,benign,873880,0.9999862683103499,0.9999988556781252,0.9999925619546268
xgboost_full,seen_same_label,bot,39682,1.0,1.0,1.0
xgboost_full,seen_same_label,brute_force,110,1.0,1.0,1.0
xgboost_full,seen_same_label,ddos,76966,1.0,1.0,1.0
xgboost_full,seen_same_label,dos,6322,1.0,1.0,1.0
xgboost_full,seen_same_label,infiltration,370,0.997229916897507,0.972972972972973,0.9849521203830369
xgboost_full,seen_same_label,web_attacks,9,1.0,0.7777777777777778,0.875
xgboost_full,unseen,benign,1685786,0.9694695992639436,0.9956951831371241,0.9824073979237236
xgboost_full,unseen,bot,1859,0.9994019138755981,0.898870360408822,0.9464740866610025
xgboost_full,unseen,brute_force,37573,0.9996273324992679,0.999467702871743,0.9995475113122172
xgboost_full,unseen,ddos,186240,1.0,0.7519115120274914,0.8583898294695289
xgboost_full,unseen,dos,33161,1.0,0.999849220469829,0.9999246045508693
xgboost_full,unseen,infiltration,8983,0.2672596785605984,0.2943337415117444,0.2801440983259165
xgboost_full,unseen,web_attacks,147,0.8611111111111112,0.2108843537414966,0.33879781420765026
xgboost_c0,all,benign,2559666,0.9974347420917349,0.9893529077621847,0.9933773873257559
xgboost_c0,all,bot,41541,0.9990335596414506,0.9953780602296526,0.9972024599059448
xgboost_c0,all,brute_force,37683,0.9994162133474858,0.999469256694,0.9994427343169515
xgboost_c0,all,ddos,263206,1.0,0.9987386305783302,0.9993689172749392
xgboost_c0,all,dos,39483,0.9999746668693317,0.999746726439227,0.9998606836632598
xgboost_c0,all,infiltration,9353,0.11064166886717719,0.35838768309633273,0.16908370955131277
xgboost_c0,all,web_attacks,156,0.26126126126126126,0.7435897435897436,0.38666666666666666
xgboost_c0,seen_same_label,benign,873880,0.9999908337715936,0.9987195038220351,0.9993547644661291
xgboost_c0,seen_same_label,bot,39682,0.9995465994962217,1.0,0.9997732483434532
xgboost_c0,seen_same_label,brute_force,110,1.0,1.0,1.0
xgboost_c0,seen_same_label,ddos,76966,1.0,1.0,1.0
xgboost_c0,seen_same_label,dos,6322,1.0,1.0,1.0
xgboost_c0,seen_same_label,infiltration,370,0.25192442267319803,0.972972972972973,0.4002223457476376
xgboost_c0,seen_same_label,web_attacks,9,0.20930232558139536,1.0,0.34615384615384615
xgboost_c0,unseen,benign,1685786,0.9960958060975046,0.9844974391767402,0.9902626625810761
