method,bucket,cls,support,precision,recall,f1
boostpfn,all,benign,2559666,0.9937095404515761,0.9860892007004038,0.9898847050504705
boostpfn,all,bot,41541,0.9988267500977708,0.9837028477889315,0.9912071119304331
boostpfn,all,brute_force,37683,0.9994427343169515,0.999469256694,0.9994559953295209
boostpfn,all,ddos,263206,0.9997335825044789,0.9837275745993632,0.9916659964228128
boostpfn,all,dos,39483,0.9773113257615964,0.9327811969708482,0.9545271942669794
boostpfn,all,infiltration,9353,0.03083675808661131,0.11793007591147225,0.048889676876024996
boostpfn,all,web_attacks,156,0.5,0.03205128205128205,0.060240963855421686
boostpfn,seen_same_label,benign,873880,0.9971040297871222,0.9983922277658259,0.9977477129766383
boostpfn,seen_same_label,bot,39682,0.9998991096425959,0.9990171866337382,0.9994579535857001
boostpfn,seen_same_label,brute_force,110,1.0,1.0,1.0
boostpfn,seen_same_label,ddos,76966,1.0,0.998168022243588,0.9990831713169172
boostpfn,seen_same_label,dos,6322,0.9543717689368397,0.6716229041442582,0.7884133320954415
boostpfn,seen_same_label,infiltration,370,0.07775211701308699,0.27297297297297296,0.12103055721989216
boostpfn,seen_same_label,web_attacks,9,0.0,0.0,0.0
boostpfn,unseen,benign,1685786,0.9919256613102002,0.979711541085286,0.9857807684938644
boostpfn,unseen,bot,1859,0.9652173913043478,0.6568047337278107,0.7816901408450704
boostpfn,unseen,brute_force,37573,0.9994411028902965,0.999467702871743,0.9994544027040334
boostpfn,unseen,ddos,186240,0.9996212266766209,0.9777598797250859,0.988569706873105
boostpfn,unseen,dos,33161,0.9803821272754626,0.9825698863122343,0.9814747876378095
boostpfn,unseen,infiltration,8983,0.02906875543951262,0.11154402760770343,0.04611879501990657
boostpfn,unseen,web_attacks,147,0.5,0.034013605442176874,0.06369426751592357
