scenario,total,train,val,test,train_last_timestamp,val_first_timestamp,val_last_timestamp,test_first_timestamp
backdoor,100000,60000,20000,20000,1556500528354,1556500530229,1556515930188,1556515930282
benign,100000,60000,20000,20000,1556222163520,1556222170175,1556246716030,1556246716641
ddos,100000,60000,20000,20000,1556236658321,1556236659179,1556245326055,1556245326126
dos,100000,60000,20000,20000,1556148736978,1556148736982,1556154719524,1556154719926
injection,100000,60000,20000,20000,1556181579711,1556181579715,1556184793800,1556184793841
mitm,6013,3607,1202,1204,1556542686642,1556542686684,1556547209841,1556547209842
password,100000,60000,20000,20000,1556321126710,1556321127872,1556329400525,1556329400550
ransomware,3971,2382,794,795,1556427562882,1556427568947,1556428148340,1556428148342
scanning,100000,60000,20000,20000,1556079504326,1556079504736,1556088591796,1556088591800
xss,100000,60000,20000,20000,1556358385495,1556358386508,1556363576518,1556363576531
