method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,5504060,0.9812607420703989,0.9672124073369224,0.9672733609572861
realistic_oracle,seen_same_label,3824698,0.9901654980340932,0.8426987756646234,0.3582089552238806
realistic_oracle,seen_diff_label,410201,0.8449296808150151,0.4097663239384892,0.3214285714285714
realistic_oracle,unseen,1269161,0.9984887654127411,0.9959967224198575,0.9885639330361818
xgboost_full,all,5504060,0.8918845361424113,0.6687359855730596,0.1558765267325673
xgboost_full,seen_same_label,3824698,0.9997178862226508,0.8473199223352508,0.5
xgboost_full,seen_diff_label,410201,0.0068064192920056265,0.010227343338119305,0.0
xgboost_full,unseen,1269161,0.8529847671020462,0.6653304364078605,0.15090442987281308
xgboost_c0,all,5504060,0.7493194114889736,0.516670391058936,0.06204870109512281
xgboost_c0,seen_same_label,3824698,0.8476133279019676,0.5318287863571985,0.01637053304052705
xgboost_c0,seen_diff_label,410201,0.05262542022081857,0.1614353224575041,0.024406562030106944
xgboost_c0,unseen,1269161,0.6782803757758078,0.4868373484881926,0.07686906608306508
ours_c0,all,5504060,0.7780342147432986,0.5414695781181958,0.055413315483156506
ours_c0,seen_same_label,3824698,0.8751185060885853,0.542186693092479,0.024683925346177003
ours_c0,seen_diff_label,410201,0.05719635008203296,0.15229067818402514,0.026642322333397653
ours_c0,unseen,1269161,0.7184439168868252,0.572049817893976,0.06927870661483226
tabpfn_plain,all,5504060,0.8839336780485678,0.6739944007843046,0.21305650681726718
tabpfn_plain,seen_same_label,3824698,0.9975211114707618,0.7538379838245576,0.362962962962963
tabpfn_plain,seen_diff_label,410201,0.01231835124731534,0.010546082760908394,0.0
tabpfn_plain,unseen,1269161,0.8233423497885611,0.6683672016737122,0.21976425195149543
