cls,test_rows,train_rows,test_seen_frac,test_seen_diff_frac,f1_realistic_oracle,f1_xgboost_full,f1_xgboost_c0,f1_ours_c0,f1_tabpfn_plain
backdoor,40678,122030,0.8512709572742023,0.0011308323909730075,0.9993113625184457,0.9977888064468576,0.9813573042396124,0.9982300884955753,0.9983773417908246
benign,3358444,10075328,0.7897377475997813,0.03321984823924413,0.9863101572397347,0.9139427795084779,0.779453103660747,0.8098898921843917,0.9076076123454626
ddos,828252,2484753,0.964677417018009,0.016091720877220942,0.9936696251882028,0.9866799792062337,0.941883449712003,0.9616432873704991,0.9839030418494114
dos,40692,122073,0.8975720043251745,0.2805465447753858,0.9015859386837719,0.8166027842293498,0.5277808430809976,0.6103789716467173,0.8155865745650491
injection,76356,229066,0.11210644874011211,0.05534601079155534,0.9732054472001498,0.9411655469262961,0.20396772305376704,0.2549143873899009,0.8994501799770579
mitm,1204,3607,0.03239202657807309,0.03239202657807309,0.9865546218487395,0.16194331983805668,0.04756704283460745,0.016392206848817526,0.03275580100021332
password,318956,956866,0.5817040594940995,0.0012039278144947894,0.9202469056006205,0.8421505148775471,0.7984255887076708,0.8387553545458989,0.8384002573340874
ransomware,795,2382,0.1220125786163522,0.013836477987421384,0.9479921000658328,0.14980973362707792,0.07653035935563816,0.09443442411749549,0.39335721263432105
scanning,271796,815386,0.9779172614755184,0.9776486776847342,0.9996375324978795,0.0008896208450662804,0.0007502234121190502,0.0,3.678999900667003e-05
xss,566887,1700661,0.44529685810399605,0.006108801224935481,0.9636103825258474,0.8763867702256328,0.8089882725321972,0.830057168582663,0.8704691963476123
