split,cls,rows
train,backdoor,122030
train,benign,10075328
train,ddos,2484753
train,dos,122073
train,injection,229066
train,mitm,3607
train,password,956866
train,ransomware,2382
train,scanning,815386
train,xss,1700661
val,backdoor,40676
val,benign,3358442
val,ddos,828251
val,dos,40691
val,injection,76355
val,mitm,1202
val,password,318955
val,ransomware,794
val,scanning,271795
val,xss,566887
test,backdoor,40678
test,benign,3358444
test,ddos,828252
test,dos,40692
test,injection,76356
test,mitm,1204
test,password,318956
test,ransomware,795
test,scanning,271796
test,xss,566887
