arm,cls,train_time_bin,rows
early_natural,backdoor,0,138
early_natural,backdoor,1,140
early_natural,backdoor,2,163
early_natural,backdoor,3,144
early_natural,backdoor,4,154
early_natural,benign,0,12330
early_natural,benign,1,11955
early_natural,benign,2,12290
early_natural,benign,3,12205
early_natural,benign,4,12238
early_natural,ddos,0,3092
early_natural,ddos,1,2937
early_natural,ddos,2,3065
early_natural,ddos,3,3038
early_natural,ddos,4,2916
early_natural,dos,0,136
early_natural,dos,1,170
early_natural,dos,2,150
early_natural,dos,3,136
early_natural,dos,4,147
early_natural,injection,0,274
early_natural,injection,1,303
early_natural,injection,2,278
early_natural,injection,3,266
early_natural,injection,4,266
early_natural,mitm,0,5
early_natural,mitm,1,3
early_natural,mitm,2,5
early_natural,mitm,3,5
early_natural,mitm,4,4
early_natural,password,0,1123
early_natural,password,1,1115
early_natural,password,2,1170
early_natural,password,3,1164
early_natural,password,4,1223
early_natural,ransomware,0,1
early_natural,ransomware,1,3
early_natural,ransomware,2,2
early_natural,ransomware,3,4
early_natural,ransomware,4,4
early_natural,scanning,0,958
early_natural,scanning,1,968
early_natural,scanning,2,995
early_natural,scanning,3,1034
early_natural,scanning,4,982
early_natural,scanning,5,1
early_natural,xss,0,2077
early_natural,xss,1,2036
early_natural,xss,2,2103
early_natural,xss,3,2051
early_natural,xss,4,2033
full_natural,backdoor,0,73
full_natural,backdoor,1,76
full_natural,backdoor,2,73
full_natural,backdoor,3,78
full_natural,backdoor,4,73
full_natural,backdoor,5,72
full_natural,backdoor,6,72
full_natural,backdoor,7,64
full_natural,backdoor,8,78
full_natural,backdoor,9,80
full_natural,benign,0,6181
full_natural,benign,1,6058
full_natural,benign,2,6050
full_natural,benign,3,6196
full_natural,benign,4,6150
full_natural,benign,5,5873
full_natural,benign,6,6168
full_natural,benign,7,6147
full_natural,benign,8,6123
full_natural,benign,9,6072
full_natural,ddos,0,1499
full_natural,ddos,1,1542
full_natural,ddos,2,1566
full_natural,ddos,3,1447
full_natural,ddos,4,1496
full_natural,ddos,5,1511
full_natural,ddos,6,1520
full_natural,ddos,7,1514
full_natural,ddos,8,1473
full_natural,ddos,9,1480
full_natural,dos,0,74
full_natural,dos,1,72
full_natural,dos,2,71
full_natural,dos,3,69
full_natural,dos,4,80
full_natural,dos,5,59
full_natural,dos,6,74
full_natural,dos,7,77
full_natural,dos,8,82
full_natural,dos,9,81
full_natural,injection,0,113
full_natural,injection,1,147
full_natural,injection,2,124
full_natural,injection,3,139
full_natural,injection,4,132
full_natural,injection,5,158
full_natural,injection,6,135
full_natural,injection,7,150
full_natural,injection,8,145
full_natural,injection,9,144
full_natural,mitm,0,2
full_natural,mitm,1,2
full_natural,mitm,2,2
full_natural,mitm,3,2
full_natural,mitm,4,1
full_natural,mitm,6,1
full_natural,mitm,7,5
full_natural,mitm,8,3
full_natural,mitm,9,4
full_natural,password,0,580
full_natural,password,1,563
full_natural,password,2,576
full_natural,password,3,578
