arm,window,quota,model,split,seed,rows,accuracy,macro_f1,tail_f1,benign_fpr,predict_seconds,fit_seconds,gpu_peak_gib
early_natural,early,natural,xgboost_c0,val,42,5504048,0.5606077563277064,0.6779880548331365,0.6441580747876302,0.6310295071345582,16.762083292007446,4.423797369003296,
early_natural,early,natural,xgboost_c0,test,42,5504060,0.4414822876204111,0.5444069128440575,0.3270501422683017,0.8251321147531416,16.409204721450806,4.423797369003296,
early_natural,early,natural,tabpfn,val,42,5504048,0.5458457121013479,0.5910892818037369,0.2863343274088682,0.6556221605137145,907.3315525054932,17.71480417251587,3.023561954498291
early_natural,early,natural,tabpfn,test,42,5504060,0.7280420271581342,0.6073489962570544,0.1888758054276079,0.3559743738469363,907.5427191257476,17.71480417251587,3.023561954498291
full_natural,full,natural,xgboost_c0,val,42,5504048,0.9332796516309452,0.7868685863352162,0.607954414576279,0.0155027241798428,16.1390118598938,3.8608691692352295,
full_natural,full,natural,xgboost_c0,test,42,5504060,0.893755518653503,0.7107622207106713,0.3792909977243935,0.0813513639054276,16.287736177444458,3.8608691692352295,
full_natural,full,natural,tabpfn,val,42,5504048,0.9387854175690328,0.7883571222548832,0.6143066867615707,0.000879872274108,908.0823810100557,17.788897275924683,3.023561954498291
full_natural,full,natural,tabpfn,test,42,5504060,0.8876205927987704,0.6733948135022294,0.2139373209169144,0.0824587219557628,907.8684377670288,17.788897275924683,3.023561954498291
early_legacy,early,legacy,xgboost_c0,val,42,5504048,0.5753783397237815,0.5145574010779432,0.1214369087959358,0.5965331543614569,18.24932551383972,3.805903434753418,
early_legacy,early,legacy,xgboost_c0,test,42,5504060,0.7493194114889736,0.516670391058936,0.0620487010951228,0.3091985455169119,18.49810814857483,3.805903434753418,
early_legacy,early,legacy,tabpfn,val,42,5504048,0.6709372810702232,0.5226105356513161,0.0359784032506392,0.4396851278062863,907.7848083972932,17.793028354644775,3.023561954498291
early_legacy,early,legacy,tabpfn,test,42,5504060,0.7852981253838076,0.5450190354855773,0.0542217492788756,0.251658803898472,907.759596824646,17.793028354644775,3.023561954498291
