split,class,rows,ts_min,ts_max
D_global,benign,3745216,1518611287705,1519143444055
D_global,bot,62310,1520000227380,1520004576519
D_global,brute_force,56512,1518631310374,1518632942000
D_global,ddos,394655,1519136034662,1519237498413
D_global,dos,59224,1518701262466,1518803325474
D_global,infiltration,15071,1519820532774,1519837321426
D_global,web_attacks,224,1519302330288,1519322064926
D_expert,benign,1872608,1519143444075,1519302636310
D_expert,bot,31155,1520004576519,1520008099658
D_expert,brute_force,28256,1518632942113,1518633756994
D_expert,ddos,197326,1519137132853,1519237902789
D_expert,dos,29612,1518701892982,1518803448520
D_expert,infiltration,7535,1519837321426,1519842882176
D_expert,web_attacks,111,1519310608664,1519322346982
D_route,benign,1872609,1519302636332,1519396347763
D_route,bot,31156,1520008099658,1520012931228
D_route,brute_force,28256,1518633757002,1518634574470
D_route,ddos,197329,1519137678622,1519238370169
D_route,dos,29613,1518702563622,1518803569168
D_route,infiltration,7537,1519842882207,1519914435207
D_route,web_attacks,115,1519312642416,1519323332273
D_tune,benign,1062276,1519396347812,1519821231817
D_tune,bot,16616,1520012931661,1520015144749
D_tune,brute_force,15077,1518634574470,1518635009589
D_tune,ddos,105613,1519138224625,1519238616589
D_tune,dos,15793,1518702683470,1518803631994
D_tune,infiltration,3150,1519914435507,1519916193539
D_tune,web_attacks,77,1519320996452,1519325324295
D_cal,benign,1593416,1519821231823,1519908793048
D_cal,bot,24924,1520015144749,1520018319243
D_cal,brute_force,22617,1518635009589,1518635663438
D_cal,ddos,158422,1519138520825,1519239043911
D_cal,dos,23690,1518702754111,1518803730474
D_cal,infiltration,4726,1519916193539,1519929027420
D_cal,web_attacks,117,1519323212947,1519327736168
test_dev_holdout,benign,2652203,1519908793058,1520021065524
test_dev_holdout,bot,41542,1520018319413,1520020490318
test_dev_holdout,brute_force,37696,1518635663439,1518636750288
test_dev_holdout,ddos,262680,1519138965363,1519239954052
test_dev_holdout,dos,39483,1518702878204,1518803902098
test_dev_holdout,infiltration,8742,1519929029007,1519940418782
test_dev_holdout,web_attacks,127,1519327842904,1519334982169
