class,scenario,train_total,context,expert,route,note
benign,benign,7490433,3745216,1872608,1872609,
bot,bot,124621,62310,31155,31156,
brute_force,ssh_bruteforce,113024,56512,28256,28256,
ddos,ddos_attack_hoic,619386,309693,154846,154847,
ddos,ddos_attack_loic_udp,2070,1035,517,518,
ddos,ddos_attacks_loic_http,167854,83927,41963,41964,
dos,dos_attacks_goldeneye,36780,18390,9195,9195,
dos,dos_attacks_hulk,60045,30022,15011,15012,
dos,dos_attacks_slowloris,21624,10812,5406,5406,
infiltration,infilteration,30143,15071,7535,7537,
web_attacks,brute_force_web,369,184,92,93,
web_attacks,brute_force_xss,18,9,4,5,
web_attacks,sql_injection,63,31,15,17,
