context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.864305,0.01438,0.013042,0.091077,0.013667,0.003478,5.2e-05
C0,0.749958,0.049567,0.049567,0.049557,0.049557,0.049547,0.00225
expert1,0.049009,0.749847,0.048911,0.048911,0.048911,0.048911,0.0055
expert2,0.94465,0.010397,0.010094,0.010094,0.010094,0.013535,0.001135
expert3,0.118775,0.118775,0.39277,0.118775,0.118775,0.118775,0.013355
expert4,0.127007,0.127007,0.127007,0.127007,0.350682,0.127007,0.014281
expert5,0.059408,0.059379,0.6964,0.059379,0.059379,0.059379,0.006677
expert6,0.10852,0.10852,0.10852,0.10852,0.10852,0.443191,0.014209
expert7,0.010331,0.010094,0.010094,0.833871,0.12438,0.010094,0.001135
expert8,0.349179,0.126326,0.126326,0.126326,0.126326,0.127146,0.018371
