expert,class,rows,helpful_available,positive_gain,helpful_and_positive_gain,helpful_passes_oof,scorer_positive,helpful_scorer_positive
1,benign,100000,6,24244,6,0,21825,0
1,bot,31156,0,31156,0,0,31156,0
1,brute_force,28256,0,28250,0,0,2,0
1,ddos,100000,0,99988,0,0,99947,0
1,dos,29613,0,28012,0,0,417,0
1,infiltration,7537,3934,6434,3934,907,2159,907
1,web_attacks,115,8,113,8,6,77,6
2,benign,100000,97,59163,97,6,11438,6
2,bot,31156,0,0,0,0,0,0
2,brute_force,28256,0,26056,0,0,2,0
2,ddos,100000,0,201,0,0,62,0
2,dos,29613,0,2241,0,0,6,0
2,infiltration,7537,1,408,1,0,173,0
2,web_attacks,115,3,102,3,3,78,3
3,benign,100000,3,3462,3,0,2799,0
3,bot,31156,0,31137,0,0,6,0
3,brute_force,28256,0,28234,0,0,618,0
3,ddos,100000,0,40995,0,0,39239,0
3,dos,29613,0,25757,0,0,285,0
3,infiltration,7537,3277,5868,3277,2435,3986,2435
3,web_attacks,115,6,92,6,4,81,4
4,benign,100000,2,5805,2,0,879,0
4,bot,31156,0,99,0,0,99,0
4,brute_force,28256,0,0,0,0,0,0
4,ddos,100000,0,622,0,0,582,0
4,dos,29613,0,2358,0,0,16,0
4,infiltration,7537,3477,5984,3477,46,461,46
4,web_attacks,115,8,91,8,6,83,6
5,benign,100000,7,19951,7,0,8068,0
5,bot,31156,0,31156,0,0,31156,0
5,brute_force,28256,0,27518,0,0,12061,0
5,ddos,100000,0,97882,0,0,97789,0
5,dos,29613,1,17890,1,0,414,0
5,infiltration,7537,3946,6381,3946,757,1588,757
5,web_attacks,115,8,91,8,6,44,6
6,benign,100000,0,4228,0,0,2144,0
6,bot,31156,0,20341,0,0,6834,0
6,brute_force,28256,0,78,0,0,0,0
6,ddos,100000,0,966,0,0,606,0
6,dos,29613,0,5237,0,0,240,0
6,infiltration,7537,4563,6081,4563,4068,4575,4068
6,web_attacks,115,11,115,11,5,80,5
7,benign,100000,8,13553,8,4,11828,4
7,bot,31156,0,31155,0,0,31143,0
7,brute_force,28256,0,28256,0,0,0,0
7,ddos,100000,0,100000,0,0,99962,0
7,dos,29613,0,28744,0,0,413,0
7,infiltration,7537,3523,6353,3523,1753,3797,1753
7,web_attacks,115,6,89,6,3,84,3
8,benign,100000,48,1310,48,46,200,46
8,bot,31156,0,31153,0,0,6,0
8,brute_force,28256,0,20650,0,0,174,0
8,ddos,100000,0,69665,0,0,69200,0
8,dos,29613,0,19629,0,0,507,0
8,infiltration,7537,3627,6166,3627,1415,3017,1415
8,web_attacks,115,0,24,0,0,23,0
