split,scenario,before,removed,after
train,backdoor,122030,1512,120518
train,benign,10075328,8058233,2017095
train,ddos,2484753,1871102,613651
train,dos,122073,53787,68286
train,injection,229066,27619,201447
train,mitm,3607,322,3285
train,password,956866,319425,637441
train,ransomware,2382,231,2151
train,scanning,815386,797505,17881
train,xss,1700661,713297,987364
val,backdoor,40676,536,40140
val,benign,3358442,403719,2954723
val,ddos,828251,619993,208258
val,dos,40691,17780,22911
val,injection,76355,5430,70925
val,mitm,1202,202,1000
val,password,318955,105648,213307
val,ransomware,794,50,744
val,scanning,271795,256636,15159
val,xss,566887,227608,339279
test,backdoor,40678,648,40030
test,benign,3358444,1884142,1474302
test,ddos,828252,724914,103338
test,dos,40692,18234,22458
test,injection,76356,7465,68891
test,mitm,1204,43,1161
test,password,318956,108005,210951
test,ransomware,795,86,709
test,scanning,271796,265767,6029
test,xss,566887,223033,343854
