stage,class,rows,global_errors,bank_correctable,taken,helpful,harmful,changed,correctable_recovery,split
top1_no_gates,backdoor,24084,16,16,24084,16,0,16,1.0,cal
top1_no_gates,benign,50000,5,3,50000,0,76,76,0.0,cal
top1_no_gates,ddos,50000,389,379,50000,267,34,392,0.7044854881266491,cal
top1_no_gates,dos,13747,241,214,13747,57,71,297,0.26635514018691586,cal
top1_no_gates,injection,42555,2636,1914,42555,404,239,2297,0.2110762800417973,cal
top1_no_gates,mitm,600,98,95,600,87,4,99,0.9157894736842105,cal
top1_no_gates,password,50000,150,99,50000,47,67,144,0.47474747474747475,cal
top1_no_gates,ransomware,447,21,9,447,2,1,7,0.2222222222222222,cal
top1_no_gates,scanning,9096,8747,7786,9096,6319,5,6447,0.8115848959671205,cal
top1_no_gates,xss,50000,4104,4078,50000,3432,183,3969,0.8415890142226582,cal
pre_only,backdoor,24084,16,16,22140,6,0,6,0.375,cal
pre_only,benign,50000,5,3,2,0,2,2,0.0,cal
pre_only,ddos,50000,389,379,46821,214,0,215,0.5646437994722955,cal
pre_only,dos,13747,241,214,12436,19,44,178,0.08878504672897196,cal
pre_only,injection,42555,2636,1914,7388,53,0,194,0.027690700104493208,cal
pre_only,mitm,600,98,95,2,1,0,2,0.010526315789473684,cal
pre_only,password,50000,150,99,7099,1,0,2,0.010101010101010102,cal
pre_only,ransomware,447,21,9,1,0,0,0,0.0,cal
pre_only,scanning,9096,8747,7786,8759,6179,1,6230,0.7936039044438736,cal
pre_only,xss,50000,4104,4078,8134,3174,0,3321,0.7783227072094164,cal
raw_verifier_gt0_diagnostic,backdoor,24084,16,16,22986,12,0,12,0.75,cal
raw_verifier_gt0_diagnostic,benign,50000,5,3,17793,0,10,10,0.0,cal
raw_verifier_gt0_diagnostic,ddos,50000,389,379,49016,224,8,245,0.5910290237467019,cal
raw_verifier_gt0_diagnostic,dos,13747,241,214,12608,42,59,234,0.19626168224299065,cal
raw_verifier_gt0_diagnostic,injection,42555,2636,1914,37544,282,3,1339,0.14733542319749215,cal
raw_verifier_gt0_diagnostic,mitm,600,98,95,114,29,2,33,0.30526315789473685,cal
raw_verifier_gt0_diagnostic,password,50000,150,99,43600,8,2,16,0.08080808080808081,cal
raw_verifier_gt0_diagnostic,ransomware,447,21,9,303,0,0,0,0.0,cal
raw_verifier_gt0_diagnostic,scanning,9096,8747,7786,8754,6187,0,6207,0.7946313896737734,cal
raw_verifier_gt0_diagnostic,xss,50000,4104,4078,45993,3329,0,3554,0.8163315350662089,cal
post_only,backdoor,24084,16,16,22986,12,0,12,0.75,cal
post_only,benign,50000,5,3,17764,0,10,10,0.0,cal
post_only,ddos,50000,389,379,47560,224,8,245,0.5910290237467019,cal
post_only,dos,13747,241,214,8760,42,59,233,0.19626168224299065,cal
post_only,injection,42555,2636,1914,37286,279,3,1330,0.14576802507836992,cal
post_only,mitm,600,98,95,103,28,2,32,0.29473684210526313,cal
post_only,password,50000,150,99,43193,8,2,16,0.08080808080808081,cal
post_only,ransomware,447,21,9,300,0,0,0,0.0,cal
post_only,scanning,9096,8747,7786,8750,6184,0,6203,0.794246082712561,cal
post_only,xss,50000,4104,4078,44140,3327,0,3550,0.8158410985777342,cal
both_gates_recomputed,backdoor,24084,16,16,22138,6,0,6,0.375,cal
both_gates_recomputed,benign,50000,5,3,0,0,0,0,0.0,cal
both_gates_recomputed,ddos,50000,389,379,45233,214,0,215,0.5646437994722955,cal
both_gates_recomputed,dos,13747,241,214,8425,18,44,176,0.08411214953271028,cal
both_gates_recomputed,injection,42555,2636,1914,7258,52,0,158,0.027168234064785787,cal
both_gates_recomputed,mitm,600,98,95,2,1,0,2,0.010526315789473684,cal
both_gates_recomputed,password,50000,150,99,7092,1,0,1,0.010101010101010102,cal
both_gates_recomputed,ransomware,447,21,9,0,0,0,0,0.0,cal
both_gates_recomputed,scanning,9096,8747,7786,8620,6111,0,6115,0.7848702799897251,cal
both_gates_recomputed,xss,50000,4104,4078,8118,3165,0,3310,0.7761157430112801,cal
top1_no_gates,backdoor,40030,34,24,40030,18,0,30,0.75,eval
top1_no_gates,benign,1474302,201747,23715,1474302,20200,111989,143692,0.8517815728441914,eval
top1_no_gates,ddos,103338,4424,3155,103338,2972,872,4204,0.9419968304278923,eval
top1_no_gates,dos,22458,399,353,22458,93,95,451,0.26345609065155806,eval
top1_no_gates,injection,68891,2682,2548,68891,634,351,2289,0.2488226059654631,eval
top1_no_gates,mitm,1161,99,93,1161,87,3,92,0.9354838709677419,eval
top1_no_gates,password,210951,587,377,210951,171,293,582,0.4535809018567639,eval
top1_no_gates,ransomware,709,61,37,709,7,1,25,0.1891891891891892,eval
top1_no_gates,scanning,6029,5577,5010,6029,4020,0,4063,0.8023952095808383,eval
top1_no_gates,xss,343854,36571,36443,343854,30476,1678,35604,0.836264851960596,eval
pre_only,backdoor,40030,34,24,36814,8,0,10,0.3333333333333333,eval
pre_only,benign,1474302,201747,23715,39112,188,15661,20113,0.007927472064094455,eval
pre_only,ddos,103338,4424,3155,86489,1038,0,1145,0.3290015847860539,eval
pre_only,dos,22458,399,353,20290,14,75,260,0.039660056657223795,eval
pre_only,injection,68891,2682,2548,9973,97,0,259,0.0380690737833595,eval
pre_only,mitm,1161,99,93,2,2,0,2,0.021505376344086023,eval
pre_only,password,210951,587,377,28631,1,5,14,0.002652519893899204,eval
pre_only,ransomware,709,61,37,10,0,0,10,0.0,eval
pre_only,scanning,6029,5577,5010,5797,3899,0,3914,0.7782435129740519,eval
pre_only,xss,343854,36571,36443,61566,27944,0,29392,0.766786488488873,eval
raw_verifier_gt0_diagnostic,backdoor,40030,34,24,38156,18,0,22,0.75,eval
raw_verifier_gt0_diagnostic,benign,1474302,201747,23715,510921,2413,31927,42805,0.10174994729074426,eval
raw_verifier_gt0_diagnostic,ddos,103338,4424,3155,98765,2371,63,2625,0.7515055467511886,eval
raw_verifier_gt0_diagnostic,dos,22458,399,353,20678,61,89,369,0.17280453257790368,eval
raw_verifier_gt0_diagnostic,injection,68891,2682,2548,60811,425,3,1553,0.16679748822605966,eval
raw_verifier_gt0_diagnostic,mitm,1161,99,93,207,30,2,32,0.3225806451612903,eval
raw_verifier_gt0_diagnostic,password,210951,587,377,183681,39,40,105,0.10344827586206896,eval
raw_verifier_gt0_diagnostic,ransomware,709,61,37,598,0,0,3,0.0,eval
raw_verifier_gt0_diagnostic,scanning,6029,5577,5010,5793,3911,0,3921,0.7806387225548902,eval
raw_verifier_gt0_diagnostic,xss,343854,36571,36443,311523,29383,5,31806,0.8062728095930631,eval
post_only,backdoor,40030,34,24,38148,18,0,22,0.75,eval
post_only,benign,1474302,201747,23715,489502,2341,31715,42381,0.09871389415981446,eval
post_only,ddos,103338,4424,3155,97384,2341,62,2594,0.7419968304278922,eval
post_only,dos,22458,399,353,14776,60,89,368,0.16997167138810199,eval
post_only,injection,68891,2682,2548,60332,425,3,1548,0.16679748822605966,eval
post_only,mitm,1161,99,93,177,28,2,30,0.3010752688172043,eval
post_only,password,210951,587,377,181742,39,37,101,0.10344827586206896,eval
