split,arm,stage,class,rows,bank_correctable,helpful,harmful
cal_select,legacy,top1_no_gates,backdoor,4292,6,6,0
cal_select,legacy,top1_no_gates,benign,604,3,0,104
cal_select,legacy,top1_no_gates,ddos,19920,41,13,18
cal_select,legacy,top1_no_gates,dos,2918,159,44,48
cal_select,legacy,top1_no_gates,injection,29575,1371,142,112
cal_select,legacy,top1_no_gates,mitm,420,32,28,1
cal_select,legacy,top1_no_gates,password,25146,61,28,43
cal_select,legacy,top1_no_gates,ransomware,277,8,3,0
cal_select,legacy,top1_no_gates,scanning,6293,5623,4733,6
cal_select,legacy,top1_no_gates,xss,34106,2231,1873,110
cal_select,legacy,post_gt0_no_pre_gate,backdoor,4292,6,6,0
cal_select,legacy,post_gt0_no_pre_gate,benign,604,3,0,6
cal_select,legacy,post_gt0_no_pre_gate,ddos,19920,41,4,5
cal_select,legacy,post_gt0_no_pre_gate,dos,2918,159,31,40
cal_select,legacy,post_gt0_no_pre_gate,injection,29575,1371,68,1
cal_select,legacy,post_gt0_no_pre_gate,mitm,420,32,12,0
cal_select,legacy,post_gt0_no_pre_gate,password,25146,61,6,0
cal_select,legacy,post_gt0_no_pre_gate,ransomware,277,8,0,0
cal_select,legacy,post_gt0_no_pre_gate,scanning,6293,5623,4634,0
cal_select,legacy,post_gt0_no_pre_gate,xss,34106,2231,1785,0
cal_select,legacy,original_final_policy,backdoor,4292,6,0,0
cal_select,legacy,original_final_policy,benign,604,3,0,0
cal_select,legacy,original_final_policy,ddos,19920,41,2,0
cal_select,legacy,original_final_policy,dos,2918,159,0,0
cal_select,legacy,original_final_policy,injection,29575,1371,1,0
cal_select,legacy,original_final_policy,mitm,420,32,0,0
cal_select,legacy,original_final_policy,password,25146,61,0,0
cal_select,legacy,original_final_policy,ransomware,277,8,0,0
cal_select,legacy,original_final_policy,scanning,6293,5623,4551,0
cal_select,legacy,original_final_policy,xss,34106,2231,1197,0
cal_confirm,legacy,top1_no_gates,backdoor,1630,6,4,0
cal_confirm,legacy,top1_no_gates,benign,239,0,0,36
cal_confirm,legacy,top1_no_gates,ddos,8320,33,24,14
cal_confirm,legacy,top1_no_gates,dos,1074,48,18,18
cal_confirm,legacy,top1_no_gates,injection,12617,508,73,62
cal_confirm,legacy,top1_no_gates,mitm,180,63,56,2
cal_confirm,legacy,top1_no_gates,password,10272,31,16,22
cal_confirm,legacy,top1_no_gates,ransomware,119,1,1,1
cal_confirm,legacy,top1_no_gates,scanning,2566,1971,1328,3
cal_confirm,legacy,top1_no_gates,xss,14576,1054,893,38
cal_confirm,legacy,post_gt0_no_pre_gate,backdoor,1630,6,0,0
cal_confirm,legacy,post_gt0_no_pre_gate,benign,239,0,0,3
cal_confirm,legacy,post_gt0_no_pre_gate,ddos,8320,33,2,1
cal_confirm,legacy,post_gt0_no_pre_gate,dos,1074,48,11,14
cal_confirm,legacy,post_gt0_no_pre_gate,injection,12617,508,37,1
cal_confirm,legacy,post_gt0_no_pre_gate,mitm,180,63,25,0
cal_confirm,legacy,post_gt0_no_pre_gate,password,10272,31,0,0
cal_confirm,legacy,post_gt0_no_pre_gate,ransomware,119,1,1,0
cal_confirm,legacy,post_gt0_no_pre_gate,scanning,2566,1971,1265,0
cal_confirm,legacy,post_gt0_no_pre_gate,xss,14576,1054,859,0
cal_confirm,legacy,original_final_policy,backdoor,1630,6,0,0
cal_confirm,legacy,original_final_policy,benign,239,0,0,0
cal_confirm,legacy,original_final_policy,ddos,8320,33,0,0
cal_confirm,legacy,original_final_policy,dos,1074,48,0,0
cal_confirm,legacy,original_final_policy,injection,12617,508,0,0
cal_confirm,legacy,original_final_policy,mitm,180,63,0,0
cal_confirm,legacy,original_final_policy,password,10272,31,0,0
cal_confirm,legacy,original_final_policy,ransomware,119,1,0,0
cal_confirm,legacy,original_final_policy,scanning,2566,1971,1239,0
cal_confirm,legacy,original_final_policy,xss,14576,1054,589,0
full_test,legacy,top1_no_gates,backdoor,40030,24,14,0
full_test,legacy,top1_no_gates,benign,1474302,23715,20836,111227
full_test,legacy,top1_no_gates,ddos,103338,3155,2994,864
full_test,legacy,top1_no_gates,dos,22458,353,101,106
full_test,legacy,top1_no_gates,injection,68891,2548,377,395
full_test,legacy,top1_no_gates,mitm,1161,93,82,1
full_test,legacy,top1_no_gates,password,210951,377,190,251
full_test,legacy,top1_no_gates,ransomware,709,37,10,0
full_test,legacy,top1_no_gates,scanning,6029,5010,3957,3
full_test,legacy,top1_no_gates,xss,343854,36443,30900,1546
full_test,legacy,post_gt0_no_pre_gate,backdoor,40030,24,14,0
full_test,legacy,post_gt0_no_pre_gate,benign,1474302,23715,5342,15055
full_test,legacy,post_gt0_no_pre_gate,ddos,103338,3155,1275,78
full_test,legacy,post_gt0_no_pre_gate,dos,22458,353,56,96
full_test,legacy,post_gt0_no_pre_gate,injection,68891,2548,212,2
full_test,legacy,post_gt0_no_pre_gate,mitm,1161,93,43,1
full_test,legacy,post_gt0_no_pre_gate,password,210951,377,27,16
full_test,legacy,post_gt0_no_pre_gate,ransomware,709,37,0,0
full_test,legacy,post_gt0_no_pre_gate,scanning,6029,5010,3791,0
full_test,legacy,post_gt0_no_pre_gate,xss,343854,36443,29535,2
full_test,legacy,original_final_policy,backdoor,40030,24,0,0
full_test,legacy,original_final_policy,benign,1474302,23715,0,389
full_test,legacy,original_final_policy,ddos,103338,3155,918,0
full_test,legacy,original_final_policy,dos,22458,353,0,0
full_test,legacy,original_final_policy,injection,68891,2548,41,0
full_test,legacy,original_final_policy,mitm,1161,93,0,0
full_test,legacy,original_final_policy,password,210951,377,0,0
full_test,legacy,original_final_policy,ransomware,709,37,0,0
full_test,legacy,original_final_policy,scanning,6029,5010,3679,0
full_test,legacy,original_final_policy,xss,343854,36443,18694,0
