expert,class,rows,helpful_available,positive_gain,helpful_and_positive_gain,helpful_passes_oof,scorer_positive,helpful_scorer_positive
1,backdoor,30130,6,30120,6,6,27592,6
1,benign,100000,0,7912,0,0,4,0
1,ddos,100000,646,97345,646,576,95964,576
1,dos,17072,36,12244,34,17,12084,16
1,injection,50363,566,48529,565,289,10620,288
1,mitm,822,0,386,0,0,20,0
1,password,100000,159,98419,159,34,6327,34
1,ransomware,539,5,526,5,0,10,0
1,scanning,4471,3002,4420,3002,2973,4312,2973
1,xss,100000,7061,94464,6949,6278,32650,6170
2,backdoor,30130,6,25106,6,6,10106,6
2,benign,100000,0,38828,0,0,0,0
2,ddos,100000,557,64815,556,554,61312,554
2,dos,17072,17,2592,17,15,2172,15
2,injection,50363,506,44483,505,358,15362,357
2,mitm,822,1,454,1,1,51,1
2,password,100000,83,36262,77,18,25201,18
2,ransomware,539,5,517,5,0,4,0
2,scanning,4471,3855,4434,3855,3827,4380,3827
2,xss,100000,5173,95148,5171,4683,27692,4683
3,backdoor,30130,6,13900,6,0,8702,0
3,benign,100000,0,7873,0,0,82,0
3,ddos,100000,595,30910,595,557,29792,557
3,dos,17072,548,2632,548,365,1443,365
3,injection,50363,408,29905,405,278,20823,276
3,mitm,822,0,179,0,0,17,0
3,password,100000,84,3609,84,14,2875,14
3,ransomware,539,4,490,4,0,7,0
3,scanning,4471,3049,4411,3049,3039,4342,3039
3,xss,100000,3166,53906,3105,2825,14349,2765
4,backdoor,30130,6,14948,6,6,8616,6
4,benign,100000,0,8184,0,0,3,0
4,ddos,100000,551,64669,551,544,60034,544
4,dos,17072,11,4666,11,8,4517,8
4,injection,50363,1460,43205,1460,598,18482,598
4,mitm,822,0,307,0,0,10,0
4,password,100000,95,24838,95,4,20600,4
4,ransomware,539,5,476,5,0,8,0
4,scanning,4471,3190,4415,3190,3176,4381,3176
4,xss,100000,491,69721,487,115,18654,113
5,backdoor,30130,6,28752,6,6,18626,6
5,benign,100000,0,39543,0,0,3,0
5,ddos,100000,585,98912,585,549,98294,549
5,dos,17072,48,15695,35,44,15539,31
5,injection,50363,452,48048,451,313,6220,312
5,mitm,822,0,573,0,0,52,0
5,password,100000,102,88898,101,9,22143,8
5,ransomware,539,4,529,4,0,5,0
5,scanning,4471,2950,4415,2950,2937,4338,2937
5,xss,100000,7061,95315,7059,6599,27201,6598
6,backdoor,30130,6,28752,6,6,26428,6
6,benign,100000,79,19852,79,51,2173,51
6,ddos,100000,627,82318,625,477,79473,476
6,dos,17072,130,1557,108,68,1004,68
6,injection,50363,370,47363,365,223,6394,223
6,mitm,822,0,500,0,0,10,0
6,password,100000,134,92861,134,15,14509,15
6,ransomware,539,4,525,4,0,5,0
6,scanning,4471,3129,4397,3128,3120,4114,3119
6,xss,100000,6165,95932,6151,5272,27738,5258
7,backdoor,30130,6,28728,6,6,27042,6
7,benign,100000,1,8857,1,0,4,0
7,ddos,100000,606,81416,606,578,73479,578
7,dos,17072,162,3409,161,12,2344,12
7,injection,50363,327,18269,327,250,11433,250
7,mitm,822,0,675,0,0,51,0
7,password,100000,71,12456,70,2,916,2
7,ransomware,539,2,506,2,2,9,2
7,scanning,4471,2876,4393,2875,2862,4337,2861
7,xss,100000,8161,45440,8161,325,5155,325
