expert,class,rows,helpful_available,positive_gain,helpful_and_positive_gain,helpful_passes_oof,scorer_positive,helpful_scorer_positive
1,benign,2390,2,2127,2,0,0,0
1,ddos,100000,6381,34322,6381,2477,2566,2477
1,dos,100000,241,16773,241,0,328,0
1,reconnaissance,100000,1,98321,1,0,0,0
1,theft,97,0,14,0,0,0,0
2,benign,2390,2,2117,2,0,3,0
2,ddos,100000,2457,68970,2457,365,3491,365
2,dos,100000,1637,20387,1637,0,351,0
2,reconnaissance,100000,1,99186,1,0,5,0
2,theft,97,0,9,0,0,0,0
3,benign,2390,17,2353,17,1,8,1
3,ddos,100000,136,82102,136,0,4503,0
3,dos,100000,2621,47764,2621,0,24545,0
3,reconnaissance,100000,0,93025,0,0,2,0
3,theft,97,1,17,1,0,0,0
