tau_pre,tau_post,delta_macro_f1,delta_tail_f1,delta_benign_fpr,accepted,changed,helpful,harmful,proposal_rate,harmful_fraction,feasible,reason
-inf,0.0,-0.14978600394630423,0.0,0.0030257186081693588,41343,31230,0,2,1.0,1.0,False,"benign_fpr,support"
-inf,0.07883504033088684,-0.14799348297458745,0.0,0.0,36679,29766,0,0,1.0,0.0,False,support
-inf,0.3303774297237396,-0.12786115936594306,0.0,0.0,18283,18222,0,0,1.0,0.0,False,support
-inf,0.39906635880470276,-0.08490863045623742,0.0,0.0,7335,7335,0,0,1.0,0.0,False,support
-inf,0.4183928668498993,-0.05414961265031004,0.0,0.0,3646,3646,0,0,1.0,0.0,False,support
-inf,0.43626415729522705,-0.013130644196359509,0.0,0.0,692,692,0,0,1.0,0.0,False,support
0.0,0.0,-0.14978600394630423,0.0,0.0030257186081693588,41343,31230,0,2,1.0,1.0,False,"benign_fpr,support"
0.0,0.07883504033088684,-0.14799348297458745,0.0,0.0,36679,29766,0,0,1.0,0.0,False,support
0.0,0.3303774297237396,-0.12786115936594306,0.0,0.0,18283,18222,0,0,1.0,0.0,False,support
0.0,0.39906635880470276,-0.08490863045623742,0.0,0.0,7335,7335,0,0,1.0,0.0,False,support
0.0,0.4183928668498993,-0.05414961265031004,0.0,0.0,3646,3646,0,0,1.0,0.0,False,support
0.0,0.43626415729522705,-0.013130644196359509,0.0,0.0,692,692,0,0,1.0,0.0,False,support
5.991865691612475e-06,0.0,-0.14978600394630423,0.0,0.0030257186081693588,41343,31230,0,2,0.9998791371259218,1.0,False,"benign_fpr,support"
5.991865691612475e-06,0.07883504033088684,-0.14799348297458745,0.0,0.0,36679,29766,0,0,0.9998791371259218,0.0,False,support
5.991865691612475e-06,0.3303774297237396,-0.12786115936594306,0.0,0.0,18283,18222,0,0,0.9998791371259218,0.0,False,support
5.991865691612475e-06,0.39906635880470276,-0.08490863045623742,0.0,0.0,7335,7335,0,0,0.9998791371259218,0.0,False,support
5.991865691612475e-06,0.4183928668498993,-0.05414961265031004,0.0,0.0,3646,3646,0,0,0.9998791371259218,0.0,False,support
5.991865691612475e-06,0.43626415729522705,-0.013130644196359509,0.0,0.0,692,692,0,0,0.9998791371259218,0.0,False,support
0.0001256688847206533,0.0,-0.1425391485822477,0.0,0.0030257186081693588,34562,25678,0,2,0.6902238695070404,1.0,False,"benign_fpr,support"
0.0001256688847206533,0.07883504033088684,-0.1401737166225392,0.0,0.0,31032,24238,0,0,0.6902238695070404,0.0,False,support
0.0001256688847206533,0.3303774297237396,-0.12059402970647395,0.0,0.0,15569,15508,0,0,0.6902238695070404,0.0,False,support
0.0001256688847206533,0.39906635880470276,-0.0836314721866096,0.0,0.0,7135,7135,0,0,0.6902238695070404,0.0,False,support
0.0001256688847206533,0.4183928668498993,-0.053729764082270315,0.0,0.0,3605,3605,0,0,0.6902238695070404,0.0,False,support
0.0001256688847206533,0.43626415729522705,-0.013130644196359509,0.0,0.0,692,692,0,0,0.6902238695070404,0.0,False,support
0.0005894871428608894,0.0,-0.1284759877243202,0.0,0.0,27044,18264,0,0,0.4958684401449752,0.0,False,support
0.0005894871428608894,0.07883504033088684,-0.12589943530027847,0.0,0.0,24047,17282,0,0,0.4958684401449752,0.0,False,support
0.0005894871428608894,0.3303774297237396,-0.10542215507185163,0.0,0.0,11280,11219,0,0,0.4958684401449752,0.0,False,support
0.0005894871428608894,0.39906635880470276,-0.07985578069066232,0.0,0.0,6569,6569,0,0,0.4958684401449752,0.0,False,support
0.0005894871428608894,0.4183928668498993,-0.0531626943769557,0.0,0.0,3550,3550,0,0,0.4958684401449752,0.0,False,support
0.0005894871428608894,0.43626415729522705,-0.012961987268724273,0.0,0.0,682,682,0,0,0.4958684401449752,0.0,False,support
0.012112128548324108,0.0,-0.11640944670744605,0.0,0.0,21985,14110,0,0,0.34626454713827104,0.0,False,support
0.012112128548324108,0.07883504033088684,-0.11569173222430174,0.0,0.0,19800,13903,0,0,0.34626454713827104,0.0,False,support
0.012112128548324108,0.3303774297237396,-0.09903584444253866,0.0,0.0,9871,9810,0,0,0.34626454713827104,0.0,False,support
0.012112128548324108,0.39906635880470276,-0.07935239421986451,0.0,0.0,6498,6498,0,0,0.34626454713827104,0.0,False,support
0.012112128548324108,0.4183928668498993,-0.05297567108033838,0.0,0.0,3533,3533,0,0,0.34626454713827104,0.0,False,support
0.012112128548324108,0.43626415729522705,-0.012924296660864087,0.0,0.0,680,680,0,0,0.34626454713827104,0.0,False,support
0.09875567257404327,0.0,-0.10777626802343707,0.0,0.0,17114,11838,0,0,0.2452509369069379,0.0,False,support
0.09875567257404327,0.07883504033088684,-0.10730271273002209,0.0,0.0,15971,11723,0,0,0.2452509369069379,0.0,False,support
0.09875567257404327,0.3303774297237396,-0.09408294216027013,0.0,0.0,8957,8907,0,0,0.2452509369069379,0.0,False,support
0.09875567257404327,0.39906635880470276,-0.07626673112978169,0.0,0.0,6106,6106,0,0,0.2452509369069379,0.0,False,support
0.09875567257404327,0.4183928668498993,-0.05036192791911942,0.0,0.0,3308,3308,0,0,0.2452509369069379,0.0,False,support
0.09875567257404327,0.43626415729522705,-0.011900823551470374,0.0,0.0,626,626,0,0,0.2452509369069379,0.0,False,support
0.29289013147354126,0.0,-0.1035041853588583,0.0,0.0,14307,10873,0,0,0.1947745416183341,0.0,False,support
0.29289013147354126,0.07883504033088684,-0.1032694065556099,0.0,0.0,13644,10820,0,0,0.1947745416183341,0.0,False,support
0.29289013147354126,0.3303774297237396,-0.09149775934886747,0.0,0.0,8490,8474,0,0,0.1947745416183341,0.0,False,support
0.29289013147354126,0.39906635880470276,-0.07386401227091166,0.0,0.0,5817,5817,0,0,0.1947745416183341,0.0,False,support
0.29289013147354126,0.4183928668498993,-0.048637582228089754,0.0,0.0,3166,3166,0,0,0.1947745416183341,0.0,False,support
0.29289013147354126,0.43626415729522705,-0.0112314032945805,0.0,0.0,591,591,0,0,0.1947745416183341,0.0,False,support
0.7086241841316223,0.0,-0.09835190131200225,0.0,0.0,10925,9824,0,0,0.1440550089257473,0.0,False,support
0.7086241841316223,0.07883504033088684,-0.09835190131200225,0.0,0.0,10687,9824,0,0,0.1440550089257473,0.0,False,support
0.7086241841316223,0.3303774297237396,-0.08727747043543588,0.0,0.0,7810,7807,0,0,0.1440550089257473,0.0,False,support
0.7086241841316223,0.39906635880470276,-0.06956277563067381,0.0,0.0,5319,5319,0,0,0.1440550089257473,0.0,False,support
0.7086241841316223,0.4183928668498993,-0.04589438694649489,0.0,0.0,2941,2941,0,0,0.1440550089257473,0.0,False,support
0.7086241841316223,0.43626415729522705,-0.011135379117145183,0.0,0.0,586,586,0,0,0.1440550089257473,0.0,False,support
0.9552810192108154,0.0,-0.08254646434056287,0.0,0.0,7336,7192,0,0,0.09436399179720195,0.0,False,support
0.9552810192108154,0.07883504033088684,-0.08254646434056287,0.0,0.0,7329,7192,0,0,0.09436399179720195,0.0,False,support
0.9552810192108154,0.3303774297237396,-0.07463859522611271,0.0,0.0,6068,6068,0,0,0.09436399179720195,0.0,False,support
0.9552810192108154,0.39906635880470276,-0.058797074900065666,0.0,0.0,4201,4201,0,0,0.09436399179720195,0.0,False,support
0.9552810192108154,0.4183928668498993,-0.03686394204678545,0.0,0.0,2256,2256,0,0,0.09436399179720195,0.0,False,support
0.9552810192108154,0.43626415729522705,-0.00818323352345346,0.0,0.0,431,431,0,0,0.09436399179720195,0.0,False,support
0.9946764707565308,0.0,-0.052307202817691856,0.0,0.0,3667,3667,0,0,0.04638480703862444,0.0,False,support
0.9946764707565308,0.07883504033088684,-0.052307202817691856,0.0,0.0,3667,3667,0,0,0.04638480703862444,0.0,False,support
0.9946764707565308,0.3303774297237396,-0.05107145216032613,0.0,0.0,3550,3550,0,0,0.04638480703862444,0.0,False,support
0.9946764707565308,0.39906635880470276,-0.03574747687062951,0.0,0.0,2247,2247,0,0,0.04638480703862444,0.0,False,support
0.9946764707565308,0.4183928668498993,-0.01671394657994918,0.0,0.0,938,938,0,0,0.04638480703862444,0.0,False,support
0.9946764707565308,0.43626415729522705,-0.003906878406891856,0.0,0.0,206,206,0,0,0.04638480703862444,0.0,False,support
0.9965572357177734,0.0,-0.024775258133066413,0.0,0.0,1463,1463,0,0,0.018483711820892906,0.0,False,support
0.9965572357177734,0.07883504033088684,-0.024775258133066413,0.0,0.0,1463,1463,0,0,0.018483711820892906,0.0,False,support
0.9965572357177734,0.3303774297237396,-0.024597505801849995,0.0,0.0,1451,1451,0,0,0.018483711820892906,0.0,False,support
0.9965572357177734,0.39906635880470276,-0.01942104413843232,0.0,0.0,1112,1112,0,0,0.018483711820892906,0.0,False,support
0.9965572357177734,0.4183928668498993,-0.010268716739042727,0.0,0.0,559,559,0,0,0.018483711820892906,0.0,False,support
0.9965572357177734,0.43626415729522705,-0.0022377058502552893,0.0,0.0,117,117,0,0,0.018483711820892906,0.0,False,support
0.99719101190567,0.0,-0.013237543653156547,0.0,0.0,734,734,0,0,0.009260210038397986,0.0,False,support
0.99719101190567,0.07883504033088684,-0.013237543653156547,0.0,0.0,734,734,0,0,0.009260210038397986,0.0,False,support
0.99719101190567,0.3303774297237396,-0.013237543653156547,0.0,0.0,734,734,0,0,0.009260210038397986,0.0,False,support
0.99719101190567,0.39906635880470276,-0.011658918095488247,0.0,0.0,641,641,0,0,0.009260210038397986,0.0,False,support
0.99719101190567,0.4183928668498993,-0.00745781300887155,0.0,0.0,401,401,0,0,0.009260210038397986,0.0,False,support
0.99719101190567,0.43626415729522705,-0.0018190149949638967,0.0,0.0,95,95,0,0,0.009260210038397986,0.0,False,support
,,0.0,0.0,0.0,0,0,0,0,0.0,,True,selected:global_fallback
