split,class,rows,ts_min,ts_max
D_global,benign,4780,1526344031665,1526876285400
D_global,ddos,2090771,1528095725370,1528096690380
D_global,dos,2332975,1528081322116,1528082860156
D_global,reconnaissance,304453,1526344332972,1526894683027
D_global,theft,194,1529283907851,1529380798358
D_expert,benign,2390,1526876286106,1526891632027
D_expert,ddos,1045385,1528096690380,1528097564508
D_expert,dos,1166487,1528082860156,1528083623679
D_expert,reconnaissance,152226,1526894683027,1526898852898
D_expert,theft,97,1529380798358,1529380852173
D_route,benign,2390,1526891632028,1526904994019
D_route,ddos,1045387,1528097564508,1528099437972
D_route,dos,1166489,1528083623679,1528085470296
D_route,reconnaissance,152227,1526898852898,1526949246531
D_route,theft,97,1529380852174,1529381373623
D_tune,benign,704,1526905079331,1526949464419
D_tune,ddos,572070,1528099437972,1528099725824
D_tune,dos,613319,1528085470296,1528085828161
D_tune,reconnaissance,77056,1526949246531,1526949253166
D_tune,theft,21,1529381448856,1529381461441
D_cal,benign,1056,1526949466121,1526958709002
D_cal,ddos,858106,1528099725824,1528100067275
D_cal,dos,919979,1528085828161,1528086436220
D_cal,reconnaissance,115586,1526949253166,1526967364857
D_cal,theft,33,1529381461441,1529381623694
test_dev_holdout,benign,7475,1526958823005,1529381736953
test_dev_holdout,ddos,1425033,1528100067275,1528104179511
test_dev_holdout,dos,1576325,1528086436220,1528089781913
test_dev_holdout,reconnaissance,266491,1526967364858,1526982417194
test_dev_holdout,theft,81,1529381623694,1529381736676
