method,class,precision,recall,f1,support
racepfn_system,benign,0.003400752415802873,0.8498996655518395,0.006774398043070158,7475
racepfn_system,ddos,0.0,0.0,0.0,1425033
racepfn_system,dos,1.0,0.0002854741249425087,0.0005707853054494141,1576325
racepfn_system,reconnaissance,0.1894186792079968,0.9999099406734187,0.3185017448048801,266491
racepfn_system,theft,0.72,0.6666666666666666,0.6923076923076923,81
racepfn_system,macro_avg,,,0.20363092409221836,3275405
racepfn_system,weighted_avg,,,0.026220973336078656,3275405
racepfn_system,tail_avg,,,0.6923076923076923,3275405
global_tabpfn,benign,0.003400752415802873,0.8498996655518395,0.006774398043070158,7475
global_tabpfn,ddos,0.0,0.0,0.0,1425033
global_tabpfn,dos,1.0,0.0002854741249425087,0.0005707853054494141,1576325
global_tabpfn,reconnaissance,0.1894186792079968,0.9999099406734187,0.3185017448048801,266491
global_tabpfn,theft,0.72,0.6666666666666666,0.6923076923076923,81
global_tabpfn,macro_avg,,,0.20363092409221836,3275405
global_tabpfn,weighted_avg,,,0.026220973336078656,3275405
global_tabpfn,tail_avg,,,0.6923076923076923,3275405
global_raw,benign,0.003400752415802873,0.8498996655518395,0.006774398043070158,7475
global_raw,ddos,0.0,0.0,0.0,1425033
global_raw,dos,1.0,0.0002854741249425087,0.0005707853054494141,1576325
global_raw,reconnaissance,0.1894186792079968,0.9999099406734187,0.3185017448048801,266491
global_raw,theft,0.72,0.6666666666666666,0.6923076923076923,81
global_raw,macro_avg,,,0.20363092409221836,3275405
global_raw,weighted_avg,,,0.026220973336078656,3275405
global_raw,tail_avg,,,0.6923076923076923,3275405
dense_oracle,benign,0.011610679047778698,0.917324414715719,0.02293111635777491,7475
dense_oracle,ddos,0.9830508474576272,0.00020350405920424298,0.0004069238799771,1425033
dense_oracle,dos,0.8856624319419237,0.0006191616576530855,0.0012374582151820654,1576325
dense_oracle,reconnaissance,0.09931779600218395,1.0,0.18068987214318985,266491
dense_oracle,theft,0.36574074074074076,0.9753086419753086,0.531986531986532,81
dense_oracle,macro_avg,,,0.1474503805165312,3275405
dense_oracle,weighted_avg,,,0.015539220951204006,3275405
dense_oracle,tail_avg,,,0.531986531986532,3275405
route_nearest_centroid,benign,0.008345124913020481,0.9096989966555183,0.0165385335671428,7475
route_nearest_centroid,ddos,0.2428087986463621,0.00020139884479868187,0.0004024638641439054,1425033
route_nearest_centroid,dos,0.7456647398843931,0.00024550774745055745,0.0004908538828190994,1576325
route_nearest_centroid,reconnaissance,0.10815182392193763,0.9976021704297706,0.19514737424705317,266491
route_nearest_centroid,theft,0.10833333333333334,0.9629629629629629,0.1947565543071161,81
route_nearest_centroid,macro_avg,,,0.08146715597365502,3275405
route_nearest_centroid,weighted_avg,,,0.016331320634954186,3275405
route_nearest_centroid,tail_avg,,,0.1947565543071161,3275405
route_top1_noverify,benign,0.014811153976782869,0.9101003344481605,0.02914794843945149,7475
route_top1_noverify,ddos,0.36538461538461536,5.33320982742154e-05,0.00010664862995100477,1425033
route_top1_noverify,dos,0.778395552025417,0.0006216992054303523,0.001242406109595432,1576325
route_top1_noverify,reconnaissance,0.09454897536797037,0.9985365359430525,0.17274148337702164,266491
route_top1_noverify,theft,0.39593908629441626,0.9629629629629629,0.5611510791366906,81
route_top1_noverify,macro_avg,,,0.15287791313854204,3275405
route_top1_noverify,weighted_avg,,,0.014779179498844825,3275405
route_top1_noverify,tail_avg,,,0.5611510791366906,3275405
