tau_pre,tau_post,delta_macro_f1,delta_tail_f1,delta_benign_fpr,accepted,changed,helpful,harmful,proposal_rate,harmful_fraction,feasible,reason
-inf,0.0,0.04924309497971968,-0.08659265814341033,-0.0033112582781457123,106555,5593,4921,16,1.0,0.0032408345148875837,False,"tail_f1,protected_class_f1"
-inf,0.010165527928620577,0.051326135751001645,-0.07649082677665253,-0.0033112582781457123,92663,5483,4860,16,1.0,0.003281378178835111,False,"tail_f1,protected_class_f1"
-inf,0.05387578904628754,0.05383192948456572,-0.06309162327610707,-0.0033112582781457123,61775,4796,4364,16,1.0,0.0036529680365296802,False,"tail_f1,protected_class_f1"
-inf,0.09556343406438828,0.06284952937455235,-0.026478864813394787,-0.0016556291390728006,30882,4179,4049,16,1.0,0.0039360393603936035,False,"tail_f1,protected_class_f1"
-inf,0.17503751814365387,0.06559087587506607,0.003999671845011599,0.0,12355,3590,3529,4,1.0,0.0011321822813472968,False,protected_class_f1
-inf,0.24450266361236572,0.0646479739059379,0.005352224361566127,0.0,6178,3421,3393,1,1.0,0.0002946375957572186,True,
-inf,0.8428281545639038,0.02894062203262393,0.0028144182065433787,0.0,1234,1228,1227,0,1.0,0.0,False,protected_class_f1
0.0,0.0,0.04924309497971968,-0.08659265814341033,-0.0033112582781457123,106555,5593,4921,16,1.0,0.0032408345148875837,False,"tail_f1,protected_class_f1"
0.0,0.010165527928620577,0.051326135751001645,-0.07649082677665253,-0.0033112582781457123,92663,5483,4860,16,1.0,0.003281378178835111,False,"tail_f1,protected_class_f1"
0.0,0.05387578904628754,0.05383192948456572,-0.06309162327610707,-0.0033112582781457123,61775,4796,4364,16,1.0,0.0036529680365296802,False,"tail_f1,protected_class_f1"
0.0,0.09556343406438828,0.06284952937455235,-0.026478864813394787,-0.0016556291390728006,30882,4179,4049,16,1.0,0.0039360393603936035,False,"tail_f1,protected_class_f1"
0.0,0.17503751814365387,0.06559087587506607,0.003999671845011599,0.0,12355,3590,3529,4,1.0,0.0011321822813472968,False,protected_class_f1
0.0,0.24450266361236572,0.0646479739059379,0.005352224361566127,0.0,6178,3421,3393,1,1.0,0.0002946375957572186,True,
0.0,0.8428281545639038,0.02894062203262393,0.0028144182065433787,0.0,1234,1228,1227,0,1.0,0.0,False,protected_class_f1
4.004856600658968e-05,0.0,0.04924309497971968,-0.08659265814341033,-0.0033112582781457123,106455,5593,4921,16,0.9993986085355415,0.0032408345148875837,False,"tail_f1,protected_class_f1"
4.004856600658968e-05,0.010165527928620577,0.051326135751001645,-0.07649082677665253,-0.0033112582781457123,92563,5483,4860,16,0.9993986085355415,0.003281378178835111,False,"tail_f1,protected_class_f1"
4.004856600658968e-05,0.05387578904628754,0.05383192948456572,-0.06309162327610707,-0.0033112582781457123,61775,4796,4364,16,0.9993986085355415,0.0036529680365296802,False,"tail_f1,protected_class_f1"
4.004856600658968e-05,0.09556343406438828,0.06284952937455235,-0.026478864813394787,-0.0016556291390728006,30882,4179,4049,16,0.9993986085355415,0.0039360393603936035,False,"tail_f1,protected_class_f1"
4.004856600658968e-05,0.17503751814365387,0.06559087587506607,0.003999671845011599,0.0,12355,3590,3529,4,0.9993986085355415,0.0011321822813472968,False,protected_class_f1
4.004856600658968e-05,0.24450266361236572,0.0646479739059379,0.005352224361566127,0.0,6178,3421,3393,1,0.9993986085355415,0.0002946375957572186,True,
4.004856600658968e-05,0.8428281545639038,0.02894062203262393,0.0028144182065433787,0.0,1234,1228,1227,0,0.9993986085355415,0.0,False,protected_class_f1
0.0032831982243806124,0.0,0.01677656559956875,-0.08688234282909424,-0.0033112582781457123,72971,3418,2748,16,0.7525993912915117,0.005788712011577424,False,"tail_f1,protected_class_f1"
0.0032831982243806124,0.010165527928620577,0.018962224809300432,-0.0768014029956553,-0.0033112582781457123,61243,3327,2706,16,0.7525993912915117,0.005878030859662013,False,"tail_f1,protected_class_f1"
0.0032831982243806124,0.05387578904628754,0.021725352837032474,-0.06343103126160454,-0.0033112582781457123,39855,2692,2262,16,0.7525993912915117,0.007023705004389816,False,"tail_f1,protected_class_f1"
0.0032831982243806124,0.09556343406438828,0.03094210080692894,-0.026901954426793218,-0.0016556291390728006,20333,2125,1997,16,0.7525993912915117,0.007948335817188276,False,"tail_f1,protected_class_f1"
0.0032831982243806124,0.17503751814365387,0.03527702866296811,0.0034984420831716267,0.0,7719,1691,1632,4,0.7525993912915117,0.0024449877750611247,False,protected_class_f1
