arm,class,is_target,context_rows,context_frac,support,f1,precision,recall,macro_f1_all_classes
balanced,backdoor,False,2000,0.1,40030,0.9978924790183192,0.9962897482507035,0.9995003747189608,0.6739103692332661
balanced,benign,False,2000,0.1,1474302,0.8887212636651134,0.9977925970480104,0.8011458981945354,0.6739103692332661
balanced,ddos,False,2000,0.1,103338,0.9678033337703262,0.9712127856551186,0.9644177359732141,0.6739103692332661
balanced,dos,False,2000,0.1,22458,0.9110225217820155,0.8458749904602,0.9870424792946834,0.6739103692332661
balanced,injection,True,2000,0.1,68891,0.8773016174323996,0.7989079897951885,0.972754060762654,0.6739103692332661
balanced,mitm,False,2000,0.1,1161,0.03090223242452311,0.015695739922544045,0.9913867355727821,0.6739103692332661
balanced,password,False,2000,0.1,210951,0.8917090467969953,0.8068003453900029,0.9965916255433727,0.6739103692332661
balanced,ransomware,False,2000,0.1,709,0.09309664694280079,0.048824219019377973,0.998589562764457,0.6739103692332661
balanced,scanning,False,2000,0.1,6029,0.21851893555530533,0.1231986795607,0.9656659479183944,0.6739103692332661
balanced,xss,False,2000,0.1,343854,0.8621356149448619,0.7683615047832301,0.9819807243772066,0.6739103692332661
majority,backdoor,False,222,0.0111011101110111,40030,0.992102359373644,0.9848130553572747,0.9995003747189608,0.6316639138833515
majority,benign,False,222,0.0111011101110111,1474302,0.7917838177487111,0.9974891541974724,0.6564157140124615,0.6316639138833515
majority,ddos,False,222,0.0111011101110111,103338,0.9589795437590797,0.9729420200370467,0.9454121426774275,0.6316639138833515
majority,dos,False,222,0.0111011101110111,22458,0.9512592861025548,0.9680095879044898,0.9350788137857333,0.6316639138833515
majority,injection,True,18000,0.9000900090009001,68891,0.3903577953542208,0.24259082302248583,0.9986645570538968,0.6316639138833515
majority,mitm,False,222,0.0111011101110111,1161,0.018475555028704002,0.009329490939875664,0.9397071490094746,0.6316639138833515
majority,password,False,222,0.0111011101110111,210951,0.8849213523775086,0.8104339392792516,0.9744869661674986,0.6316639138833515
majority,ransomware,False,222,0.0111011101110111,709,0.018713549629126323,0.009451633659826982,0.9322990126939351,0.6316639138833515
majority,scanning,False,222,0.0111011101110111,6029,0.5050410754294249,0.3514127963624553,0.8973295737269862,0.6316639138833515
majority,xss,False,222,0.0111011101110111,343854,0.8050048040305412,0.7491384319461419,0.8698750050893693,0.6316639138833515
