model,grouping,groups,replicates,delta_macro_f1_low,delta_macro_f1_high
global_calibrated,exact_vector,2082301,200,0.0,0.0
global_calibrated,time_block,15,200,0.0,0.0
designed_e1_raw,exact_vector,2082301,200,-0.019556487272750424,0.008639344656526634
designed_e1_raw,time_block,15,200,-0.06596088803247466,0.006725188650887445
designed_e1_calibrated,exact_vector,2082301,200,-0.019556487272750424,0.008639344656526634
designed_e1_calibrated,time_block,15,200,-0.06596088803247466,0.006725188650887445
designed_e2_raw,exact_vector,2082301,200,-0.08212619112856848,-0.07031663146337189
designed_e2_raw,time_block,15,200,-0.10686271479375536,-0.017915178048016574
designed_e2_calibrated,exact_vector,2082301,200,-0.08212619112856848,-0.07031663146337189
designed_e2_calibrated,time_block,15,200,-0.10686271479375536,-0.017915178048016574
designed_e3_raw,exact_vector,2082301,200,-0.09213523038854272,-0.0774248198425413
designed_e3_raw,time_block,15,200,-0.11733267189812806,-0.026257948686414116
designed_e3_calibrated,exact_vector,2082301,200,-0.09213523038854272,-0.0774248198425413
designed_e3_calibrated,time_block,15,200,-0.11733267189812806,-0.026257948686414116
designed_e4_raw,exact_vector,2082301,200,-0.0852530278012165,-0.07229111676760268
designed_e4_raw,time_block,15,200,-0.11522428065832037,-0.01604007102476921
designed_e4_calibrated,exact_vector,2082301,200,-0.0852530278012165,-0.07229111676760268
designed_e4_calibrated,time_block,15,200,-0.11522428065832037,-0.01604007102476921
matched_random_e1_raw,exact_vector,2082301,200,-0.013504277737799344,0.011749745449490078
matched_random_e1_raw,time_block,15,200,-0.05977954151970644,0.012809800124934313
matched_random_e1_calibrated,exact_vector,2082301,200,-0.013504277737799344,0.011749745449490078
matched_random_e1_calibrated,time_block,15,200,-0.05977954151970644,0.012809800124934313
matched_random_e2_raw,exact_vector,2082301,200,-0.08140849302656038,-0.06972380124137592
matched_random_e2_raw,time_block,15,200,-0.10598602050931609,-0.017601065745238616
matched_random_e2_calibrated,exact_vector,2082301,200,-0.08140849302656038,-0.06972380124137592
matched_random_e2_calibrated,time_block,15,200,-0.10598602050931609,-0.017601065745238616
matched_random_e3_raw,exact_vector,2082301,200,-0.09460490522537558,-0.08058887277702416
matched_random_e3_raw,time_block,15,200,-0.11762808174597772,-0.027238754920906525
matched_random_e3_calibrated,exact_vector,2082301,200,-0.09460490522537558,-0.08058887277702416
matched_random_e3_calibrated,time_block,15,200,-0.11762808174597772,-0.027238754920906525
matched_random_e4_raw,exact_vector,2082301,200,-0.08462775830221062,-0.07167021933015089
matched_random_e4_raw,time_block,15,200,-0.11449795283139404,-0.016224684389337655
matched_random_e4_calibrated,exact_vector,2082301,200,-0.08462775830221062,-0.07167021933015089
matched_random_e4_calibrated,time_block,15,200,-0.11449795283139404,-0.016224684389337655
balanced_random_e1_raw,exact_vector,2082301,200,-0.027337649696140248,-0.013721597192071397
balanced_random_e1_raw,time_block,15,200,-0.047018609602591244,0.05187399577604182
balanced_random_e1_calibrated,exact_vector,2082301,200,-0.027337649696140248,-0.013721597192071397
balanced_random_e1_calibrated,time_block,15,200,-0.047018609602591244,0.05187399577604182
balanced_random_e2_raw,exact_vector,2082301,200,-0.08067803911365588,-0.0687469381180257
balanced_random_e2_raw,time_block,15,200,-0.10691287763106105,-0.015203938500053119
balanced_random_e2_calibrated,exact_vector,2082301,200,-0.08067803911365588,-0.0687469381180257
balanced_random_e2_calibrated,time_block,15,200,-0.10691287763106105,-0.015203938500053119
balanced_random_e3_raw,exact_vector,2082301,200,-0.08469129870159298,-0.0727278130600733
balanced_random_e3_raw,time_block,15,200,-0.11115330307612321,-0.01879187368201322
balanced_random_e3_calibrated,exact_vector,2082301,200,-0.08469129870159298,-0.0727278130600733
balanced_random_e3_calibrated,time_block,15,200,-0.11115330307612321,-0.01879187368201322
balanced_random_e4_raw,exact_vector,2082301,200,-0.08532974686136195,-0.0730015141341965
balanced_random_e4_raw,time_block,15,200,-0.11351584602746122,-0.018433233880859178
balanced_random_e4_calibrated,exact_vector,2082301,200,-0.08532974686136195,-0.0730015141341965
balanced_random_e4_calibrated,time_block,15,200,-0.11351584602746122,-0.018433233880859178
