model,class,AP,R_at_FPR_001,R_at_FPR_01
global_raw,benign,0.9995802622880371,0.6589657729819324,0.9316624707837221
global_raw,bot,0.9979332094323645,0.9971113571806846,0.9971113571806846
global_raw,brute_force,0.9999998606915994,1.0,1.0
global_raw,ddos,0.9999901094040543,0.9999733516065175,1.0
global_raw,dos,0.9998517584708632,0.9998986905756908,0.9998986905756908
global_raw,infiltration,0.19853593043720197,0.15213909860443833,0.36410432395332876
global_raw,web_attacks,0.3105652594259148,0.952755905511811,0.968503937007874
global_calibrated,benign,0.9995802281509039,0.6576608200805142,0.930859741882503
global_calibrated,bot,0.9979135784657808,0.9971113571806846,0.9971113571806846
global_calibrated,brute_force,0.9999998550629132,1.0,1.0
global_calibrated,ddos,0.999988655730426,0.9998934064260697,1.0
global_calibrated,dos,0.9998423376112692,0.9998986905756908,0.9998986905756908
global_calibrated,infiltration,0.19919573363010426,0.15225348890414092,0.36410432395332876
global_calibrated,web_attacks,0.31099756847672827,0.9606299212598425,0.9763779527559056
designed_e1_raw,benign,0.9990512629942881,0.39359204404791037,0.7935433298280712
designed_e1_raw,bot,0.9975747647505102,0.9971113571806846,0.9971113571806846
designed_e1_raw,brute_force,0.999992685083044,1.0,1.0
designed_e1_raw,ddos,0.9998944777692413,0.999135830668494,0.9993033348560987
designed_e1_raw,dos,0.9993224686852871,0.9971633361193425,1.0
designed_e1_raw,infiltration,0.1623177379865721,0.14516129032258066,0.2919240448409975
designed_e1_raw,web_attacks,0.18609972264054309,0.6535433070866141,0.6929133858267716
designed_e1_calibrated,benign,0.9990292049992507,0.38520731633287497,0.7843045950856703
designed_e1_calibrated,bot,0.9974751377690529,0.9971113571806846,0.9971113571806846
designed_e1_calibrated,brute_force,0.9999929306094182,1.0,1.0
designed_e1_calibrated,ddos,0.9998967299714683,0.9991586721486219,0.999310948682808
designed_e1_calibrated,dos,0.999405775256057,0.9976698832408885,1.0
designed_e1_calibrated,infiltration,0.16279580811089103,0.14516129032258066,0.2928391672386182
designed_e1_calibrated,web_attacks,0.19776146243879356,0.6535433070866141,0.7007874015748031
designed_e2_raw,benign,0.9995845010321225,0.6038745902934277,0.9242422242942943
designed_e2_raw,bot,0.9976917375793785,0.9971113571806846,0.9971113571806846
designed_e2_raw,brute_force,1.0,1.0,1.0
designed_e2_raw,ddos,0.999999986203486,1.0,1.0
designed_e2_raw,dos,0.9995130532677171,0.9998986905756908,1.0
designed_e2_raw,infiltration,0.1738284537861425,0.14676275451841683,0.3444291924044841
designed_e2_raw,web_attacks,0.18000202254241662,0.9763779527559056,0.9921259842519685
designed_e2_calibrated,benign,0.9995845010555864,0.6038745902934277,0.9242422242942943
designed_e2_calibrated,bot,0.9976917375793785,0.9971113571806846,0.9971113571806846
designed_e2_calibrated,brute_force,1.0,1.0,1.0
designed_e2_calibrated,ddos,0.999999986203486,1.0,1.0
designed_e2_calibrated,dos,0.999513053267717,0.9998986905756908,1.0
designed_e2_calibrated,infiltration,0.17382845288332008,0.14676275451841683,0.3444291924044841
designed_e2_calibrated,web_attacks,0.18000202254241662,0.9763779527559056,0.9921259842519685
designed_e3_raw,benign,0.9994986921395514,0.6177939622268733,0.9095487788830644
designed_e3_raw,bot,0.9973862076006355,0.9971113571806846,0.9971113571806846
designed_e3_raw,brute_force,0.9999901878347486,0.9999469439728353,1.0
designed_e3_raw,ddos,0.9999979355504952,1.0,1.0
designed_e3_raw,dos,0.9999403713684143,0.9998986905756908,1.0
designed_e3_raw,infiltration,0.1421566624584216,0.14253031342942118,0.1934339967970716
designed_e3_raw,web_attacks,0.2548971024130239,0.968503937007874,0.9763779527559056
designed_e3_calibrated,benign,0.9994986921332001,0.6177939622268733,0.9095487788830644
designed_e3_calibrated,bot,0.997386207600967,0.9971113571806846,0.9971113571806846
designed_e3_calibrated,brute_force,0.9999901878347485,0.9999469439728353,1.0
designed_e3_calibrated,ddos,0.9999979355504962,1.0,1.0
designed_e3_calibrated,dos,0.9999403713684143,0.9998986905756908,1.0
designed_e3_calibrated,infiltration,0.14215666061972917,0.14253031342942118,0.1934339967970716
designed_e3_calibrated,web_attacks,0.2548971024130239,0.968503937007874,0.9763779527559056
designed_e4_raw,benign,0.9995423483320789,0.6167506785868201,0.913770175209062
designed_e4_raw,bot,0.9976104913367212,0.9971113571806846,0.9971113571806846
designed_e4_raw,brute_force,0.9999982986024507,1.0,1.0
designed_e4_raw,ddos,0.999999734207525,1.0,1.0
designed_e4_raw,dos,0.9999388560384577,1.0,1.0
designed_e4_raw,infiltration,0.15939854522848315,0.14962251201098148,0.20327156257149392
designed_e4_raw,web_attacks,0.2314233652459123,0.9606299212598425,0.984251968503937
designed_e4_calibrated,benign,0.9995393169478023,0.6167190068030237,0.9092309299099655
designed_e4_calibrated,bot,0.9975901490194125,0.9971113571806846,0.9971113571806846
designed_e4_calibrated,brute_force,0.999998435759738,1.0,1.0
designed_e4_calibrated,ddos,0.9999997200753309,1.0,1.0
designed_e4_calibrated,dos,0.999940393514024,1.0,1.0
designed_e4_calibrated,infiltration,0.15941207380484898,0.14962251201098148,0.20395790436970945
designed_e4_calibrated,web_attacks,0.23033824560344945,0.9606299212598425,0.984251968503937
matched_random_e1_raw,benign,0.999545013791538,0.6613750908207252,0.9158993485792755
matched_random_e1_raw,bot,0.9976911663659046,0.9971113571806846,0.9971113571806846
matched_random_e1_raw,brute_force,0.9999884593047595,1.0,1.0
matched_random_e1_raw,ddos,0.9999965439943339,1.0,1.0
matched_random_e1_raw,dos,0.9997945589887943,0.9998986905756908,0.9998986905756908
matched_random_e1_raw,infiltration,0.1873761058575143,0.1602608098833219,0.3475177304964539
matched_random_e1_raw,web_attacks,0.27826542736821597,0.6850393700787402,0.9763779527559056
matched_random_e1_calibrated,benign,0.9995412249436643,0.6582972721168026,0.9160399863811329
matched_random_e1_calibrated,bot,0.9976558830245358,0.9971113571806846,0.9971113571806846
matched_random_e1_calibrated,brute_force,0.9999901661519679,1.0,1.0
matched_random_e1_calibrated,ddos,0.999996476469359,1.0,1.0
matched_random_e1_calibrated,dos,0.9998158148202486,0.9998986905756908,0.9998986905756908
matched_random_e1_calibrated,infiltration,0.1873126683119365,0.1602608098833219,0.3475177304964539
matched_random_e1_calibrated,web_attacks,0.28067920774696253,0.7244094488188977,0.9763779527559056
matched_random_e2_raw,benign,0.9995901115435393,0.6146301772526462,0.925860501628269
matched_random_e2_raw,bot,0.9977723457548098,0.9971113571806846,0.9971113571806846
matched_random_e2_raw,brute_force,0.9999999690347404,1.0,1.0
matched_random_e2_raw,ddos,0.9999999856639341,1.0,1.0
matched_random_e2_raw,dos,0.9995643978196177,0.9998986905756908,1.0
matched_random_e2_raw,infiltration,0.17614117279591374,0.1471059254175246,0.3444291924044841
matched_random_e2_raw,web_attacks,0.17902096492042205,0.9763779527559056,0.9921259842519685
matched_random_e2_calibrated,benign,0.9995902163076464,0.6184865939748956,0.9256086355380791
matched_random_e2_calibrated,bot,0.9977696566837284,0.9971113571806846,0.9971113571806846
matched_random_e2_calibrated,brute_force,0.9999999605887193,1.0,1.0
matched_random_e2_calibrated,ddos,0.9999999839822608,1.0,1.0
matched_random_e2_calibrated,dos,0.9995624467132609,0.9998986905756908,1.0
matched_random_e2_calibrated,infiltration,0.17625643720423217,0.14664836421871424,0.34397163120567376
matched_random_e2_calibrated,web_attacks,0.17837434748379166,0.9763779527559056,0.9921259842519685
matched_random_e3_raw,benign,0.9993850364687811,0.5895808126301041,0.8322055287623157
matched_random_e3_raw,bot,0.9972835913539964,0.9971113571806846,0.9971113571806846
matched_random_e3_raw,brute_force,0.9999781546927952,0.9998938879456706,1.0
matched_random_e3_raw,ddos,0.9999990121601648,1.0,1.0
matched_random_e3_raw,dos,0.9999454831815813,0.9998986905756908,1.0
matched_random_e3_raw,infiltration,0.13034574106575367,0.1369251887439945,0.17616106154198125
matched_random_e3_raw,web_attacks,0.24764888973680155,0.9606299212598425,0.9921259842519685
