model,class,window,validation_FPR_target,threshold,positives,negatives,TP,FP,recall,FPR
global_raw,benign,full_test,0.001,0.9830394387245178,2652203,390270,1523591,311,0.57446243745294,0.0007968842083685653
global_raw,benign,time_quartile_1,0.001,0.9830394387245178,420631,339986,227286,0,0.5403453383131533,0.0
global_raw,benign,time_quartile_2,0.001,0.9830394387245178,752591,8028,437608,311,0.5814685533045173,0.038739412057797705
global_raw,benign,time_quartile_3,0.001,0.9830394387245178,759904,714,427771,0,0.5629276856023919,0.0
global_raw,benign,time_quartile_4,0.001,0.9830394387245178,719077,41542,430926,0,0.5992765726062717,0.0
global_raw,benign,full_test,0.01,0.8520304560661316,2652203,390270,2359375,2929,0.8895906535057837,0.007505060599072437
global_raw,benign,time_quartile_1,0.01,0.8520304560661316,420631,339986,378728,1,0.9003806186419926,2.9412975828416463e-06
global_raw,benign,time_quartile_2,0.01,0.8520304560661316,752591,8028,669629,2739,0.8897648257818656,0.34118086696562033
global_raw,benign,time_quartile_3,0.01,0.8520304560661316,759904,714,675106,189,0.88840958857961,0.2647058823529412
global_raw,benign,time_quartile_4,0.01,0.8520304560661316,719077,41542,635912,0,0.8843447920041942,0.0
global_raw,bot,full_test,0.001,0.008340119384229183,41542,3000931,41542,10233,1.0,0.003409941781400505
global_raw,bot,time_quartile_1,0.001,0.008340119384229183,0,760617,0,9614,,0.012639738528063401
global_raw,bot,time_quartile_2,0.001,0.008340119384229183,0,760619,0,198,,0.00026031429664523235
global_raw,bot,time_quartile_3,0.001,0.008340119384229183,0,760618,0,102,,0.0001341014806381127
global_raw,bot,time_quartile_4,0.001,0.008340119384229183,41542,719077,41542,319,1.0,0.0004436242572075035
global_raw,bot,full_test,0.01,0.004880782216787338,41542,3000931,41542,39937,1.0,0.013308203354225738
global_raw,bot,time_quartile_1,0.01,0.004880782216787338,0,760617,0,39153,,0.0514753154347063
global_raw,bot,time_quartile_2,0.01,0.004880782216787338,0,760619,0,262,,0.000344456291520459
global_raw,bot,time_quartile_3,0.01,0.004880782216787338,0,760618,0,128,,0.0001682842109968473
global_raw,bot,time_quartile_4,0.01,0.004880782216787338,41542,719077,41542,394,1.0,0.000547924631159111
global_raw,brute_force,full_test,0.001,0.000214698477066122,37696,3004777,37696,4622,1.0,0.0015382173119669114
global_raw,brute_force,time_quartile_1,0.001,0.000214698477066122,37696,722921,37696,530,1.0,0.0007331368157793175
global_raw,brute_force,time_quartile_2,0.001,0.000214698477066122,0,760619,0,380,,0.0004995930945716581
global_raw,brute_force,time_quartile_3,0.001,0.000214698477066122,0,760618,0,373,,0.0004903907086080003
global_raw,brute_force,time_quartile_4,0.001,0.000214698477066122,0,760619,0,3339,,0.0043898456388809645
global_raw,brute_force,full_test,0.01,6.65414409013465e-05,37696,3004777,37696,37233,1.0,0.01239126896937776
global_raw,brute_force,time_quartile_1,0.01,6.65414409013465e-05,37696,722921,37696,32109,1.0,0.0444156415431285
global_raw,brute_force,time_quartile_2,0.01,6.65414409013465e-05,0,760619,0,687,,0.0009032117262387608
global_raw,brute_force,time_quartile_3,0.01,6.65414409013465e-05,0,760618,0,706,,0.0009281926012794859
global_raw,brute_force,time_quartile_4,0.01,6.65414409013465e-05,0,760619,0,3731,,0.004905215357491727
global_raw,ddos,full_test,0.001,0.0009075201232917607,262680,2779793,262680,4819,1.0,0.0017335823206979801
global_raw,ddos,time_quartile_1,0.001,0.0009075201232917607,262680,497937,262680,660,1.0,0.0013254688846179336
global_raw,ddos,time_quartile_2,0.001,0.0009075201232917607,0,760619,0,436,,0.0005732173400874814
global_raw,ddos,time_quartile_3,0.001,0.0009075201232917607,0,760618,0,355,,0.0004667257414365687
global_raw,ddos,time_quartile_4,0.001,0.0009075201232917607,0,760619,0,3368,,0.004427972480308801
global_raw,ddos,full_test,0.01,0.00012084897753084078,262680,2779793,262680,23589,1.0,0.00848588366112153
global_raw,ddos,time_quartile_1,0.01,0.00012084897753084078,262680,497937,262680,2530,1.0,0.005080964057702079
global_raw,ddos,time_quartile_2,0.01,0.00012084897753084078,0,760619,0,1084,,0.0014251550381991509
global_raw,ddos,time_quartile_3,0.01,0.00012084897753084078,0,760618,0,1400,,0.0018406085577780174
global_raw,ddos,time_quartile_4,0.01,0.00012084897753084078,0,760619,0,18575,,0.024420899293864602
global_raw,dos,full_test,0.001,0.0022015036083757877,39483,3002990,39483,16082,1.0,0.005355329188575387
global_raw,dos,time_quartile_1,0.001,0.0022015036083757877,39483,721134,39483,11602,1.0,0.016088549423546802
global_raw,dos,time_quartile_2,0.001,0.0022015036083757877,0,760619,0,387,,0.000508796125261136
global_raw,dos,time_quartile_3,0.001,0.0022015036083757877,0,760618,0,651,,0.0008558829793667781
global_raw,dos,time_quartile_4,0.001,0.0022015036083757877,0,760619,0,3442,,0.004525261661883282
global_raw,dos,full_test,0.01,0.0007712091901339591,39483,3002990,39483,48893,1.0,0.01628143949863303
global_raw,dos,time_quartile_1,0.01,0.0007712091901339591,39483,721134,39483,43683,1.0,0.06057542703575202
global_raw,dos,time_quartile_2,0.01,0.0007712091901339591,0,760619,0,616,,0.0008098667006740562
global_raw,dos,time_quartile_3,0.01,0.0007712091901339591,0,760618,0,927,,0.0012187458093287301
global_raw,dos,time_quartile_4,0.01,0.0007712091901339591,0,760619,0,3667,,0.004821073362616501
global_raw,infiltration,full_test,0.001,0.9953670501708984,8742,3033731,874,50,0.09997712194005948,1.6481355795883024e-05
global_raw,infiltration,time_quartile_1,0.001,0.9953670501708984,0,760617,0,44,,5.784777358381419e-05
global_raw,infiltration,time_quartile_2,0.001,0.9953670501708984,8028,752591,874,6,0.1088689586447434,7.972457815732582e-06
global_raw,infiltration,time_quartile_3,0.001,0.9953670501708984,714,759904,0,0,0.0,0.0
global_raw,infiltration,time_quartile_4,0.001,0.9953670501708984,0,760619,0,0,,0.0
global_raw,infiltration,full_test,0.01,0.41516196727752686,8742,3033731,2873,15493,0.32864333104552734,0.005106912906912313
global_raw,infiltration,time_quartile_1,0.01,0.41516196727752686,0,760617,0,2202,,0.0028950181234445194
global_raw,infiltration,time_quartile_2,0.01,0.41516196727752686,8028,752591,2781,4391,0.34641255605381166,0.005834510378146962
global_raw,infiltration,time_quartile_3,0.01,0.41516196727752686,714,759904,92,5128,0.12885154061624648,0.006748220827894049
global_raw,infiltration,time_quartile_4,0.01,0.41516196727752686,0,760619,0,3772,,0.004959118822958669
global_raw,web_attacks,full_test,0.001,0.5498043298721313,127,3042346,107,320,0.84251968503937,0.00010518198784753608
global_raw,web_attacks,time_quartile_1,0.001,0.5498043298721313,127,760490,107,99,0.84251968503937,0.00013017922655130245
global_raw,web_attacks,time_quartile_2,0.001,0.5498043298721313,0,760619,0,168,,0.0002208727365474699
global_raw,web_attacks,time_quartile_3,0.001,0.5498043298721313,0,760618,0,25,,3.2868009960321736e-05
global_raw,web_attacks,time_quartile_4,0.001,0.5498043298721313,0,760619,0,28,,3.681212275791165e-05
global_raw,web_attacks,full_test,0.01,0.00788805354386568,127,3042346,127,28337,1.0,0.009314193717611344
global_raw,web_attacks,time_quartile_1,0.01,0.00788805354386568,127,760490,127,14191,1.0,0.018660337414035687
global_raw,web_attacks,time_quartile_2,0.01,0.00788805354386568,0,760619,0,4048,,0.005321981175858084
global_raw,web_attacks,time_quartile_3,0.01,0.00788805354386568,0,760618,0,3879,,0.0050998004254435205
global_raw,web_attacks,time_quartile_4,0.01,0.00788805354386568,0,760619,0,6219,,0.008176235408266163
global_calibrated,benign,full_test,0.001,0.9620804786682129,2652203,390270,1519782,308,0.5730262728757942,0.0007891972224357496
global_calibrated,benign,time_quartile_1,0.001,0.9620804786682129,420631,339986,226751,0,0.5390734396656451,0.0
global_calibrated,benign,time_quartile_2,0.001,0.9620804786682129,752591,8028,436700,308,0.5802620546884031,0.038365719980069754
global_calibrated,benign,time_quartile_3,0.001,0.9620804786682129,759904,714,426508,0,0.5612656335537121,0.0
global_calibrated,benign,time_quartile_4,0.001,0.9620804786682129,719077,41542,429823,0,0.5977426617733567,0.0
global_calibrated,benign,full_test,0.01,0.8017987012863159,2652203,390270,2358217,2927,0.8891540353434485,0.007499935941783893
global_calibrated,benign,time_quartile_1,0.01,0.8017987012863159,420631,339986,378433,1,0.8996792913503759,2.9412975828416463e-06
global_calibrated,benign,time_quartile_2,0.01,0.8017987012863159,752591,8028,669512,2737,0.8896093628544588,0.3409317389138017
global_calibrated,benign,time_quartile_3,0.01,0.8017987012863159,759904,714,674775,189,0.8879740072430202,0.2647058823529412
global_calibrated,benign,time_quartile_4,0.01,0.8017987012863159,719077,41542,635497,0,0.8837676632683287,0.0
global_calibrated,bot,full_test,0.001,0.019652152433991432,41542,3000931,41542,9482,1.0,0.0031596861107436327
global_calibrated,bot,time_quartile_1,0.001,0.019652152433991432,0,760617,0,8886,,0.011682620819676658
global_calibrated,bot,time_quartile_2,0.001,0.019652152433991432,0,760619,0,190,,0.00024979654728582906
global_calibrated,bot,time_quartile_3,0.001,0.019652152433991432,0,760618,0,98,,0.00012884259904446122
global_calibrated,bot,time_quartile_4,0.001,0.019652152433991432,41542,719077,41542,308,1.0,0.00042832686902793444
global_calibrated,bot,full_test,0.01,0.013397850096225739,41542,3000931,41542,39748,1.0,0.013245222899160294
global_calibrated,bot,time_quartile_1,0.01,0.013397850096225739,0,760617,0,38990,,0.0512610157280208
global_calibrated,bot,time_quartile_2,0.01,0.013397850096225739,0,760619,0,252,,0.00033130910482120484
global_calibrated,bot,time_quartile_3,0.01,0.013397850096225739,0,760618,0,122,,0.00016039588860637007
global_calibrated,bot,time_quartile_4,0.01,0.013397850096225739,41542,719077,41542,384,1.0,0.0005340179146322299
global_calibrated,brute_force,full_test,0.001,0.0010876173619180918,37696,3004777,37696,4580,1.0,0.0015242395691926556
global_calibrated,brute_force,time_quartile_1,0.001,0.0010876173619180918,37696,722921,37696,515,1.0,0.000712387660615752
global_calibrated,brute_force,time_quartile_2,0.001,0.0010876173619180918,0,760619,0,369,,0.00048513118920247853
global_calibrated,brute_force,time_quartile_3,0.001,0.0010876173619180918,0,760618,0,368,,0.000483817106615936
global_calibrated,brute_force,time_quartile_4,0.001,0.0010876173619180918,0,760619,0,3328,,0.004375383733511784
global_calibrated,brute_force,full_test,0.01,0.00043057402945123613,37696,3004777,37696,35226,1.0,0.011723332546807966
global_calibrated,brute_force,time_quartile_1,0.01,0.00043057402945123613,37696,722921,37696,30131,1.0,0.04167951961555965
global_calibrated,brute_force,time_quartile_2,0.01,0.00043057402945123613,0,760619,0,674,,0.0008861203835297304
global_calibrated,brute_force,time_quartile_3,0.01,0.00043057402945123613,0,760618,0,695,,0.0009137306768969443
