model,class,support,TP,FP,FN,f1
global_raw,benign,2652203,2643117,8895,9086,0.9966100544566915
global_raw,bot,41542,41418,5,124,0.9984451274633882
global_raw,brute_force,37696,37676,0,20,0.9997346494719525
global_raw,ddos,262680,260418,5,2262,0.9956662454621747
global_raw,dos,39483,38871,27,612,0.9918475140659089
global_raw,infiltration,8742,2698,8684,6044,0.26813754720731464
global_raw,web_attacks,127,114,545,13,0.2900763358778626
global_calibrated,benign,2652203,2643117,8895,9086,0.9966100544566915
global_calibrated,bot,41542,41418,5,124,0.9984451274633882
global_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
global_calibrated,ddos,262680,260418,5,2262,0.9956662454621747
global_calibrated,dos,39483,38871,27,612,0.9918475140659089
global_calibrated,infiltration,8742,2698,8684,6044,0.26813754720731464
global_calibrated,web_attacks,127,114,545,13,0.2900763358778626
designed_e1_raw,benign,2652203,2594590,6770,57613,0.9877448885641992
designed_e1_raw,bot,41542,41413,4,129,0.9983967984184959
designed_e1_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e1_raw,ddos,262680,262052,4,628,0.9987955848274179
designed_e1_raw,dos,39483,38867,20,616,0.9918846497384203
designed_e1_raw,infiltration,8742,3118,57266,5624,0.09021207649798918
designed_e1_raw,web_attacks,127,118,575,9,0.28780487804878047
designed_e1_calibrated,benign,2652203,2594590,6770,57613,0.9877448885641992
designed_e1_calibrated,bot,41542,41413,4,129,0.9983967984184959
designed_e1_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e1_calibrated,ddos,262680,262052,4,628,0.9987955848274179
designed_e1_calibrated,dos,39483,38867,20,616,0.9918846497384203
designed_e1_calibrated,infiltration,8742,3118,57266,5624,0.09021207649798918
designed_e1_calibrated,web_attacks,127,118,575,9,0.28780487804878047
designed_e2_raw,benign,2652203,2128794,2612,523409,0.8900367902142504
designed_e2_raw,bot,41542,41417,61,125,0.9977595760057817
designed_e2_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e2_raw,ddos,262680,262559,16,121,0.9997391743058134
designed_e2_raw,dos,39483,38857,3,626,0.991971203553604
designed_e2_raw,infiltration,8742,7130,523252,1612,0.026450315697316387
designed_e2_raw,web_attacks,127,19,77,108,0.17040358744394618
designed_e2_calibrated,benign,2652203,2128794,2612,523409,0.8900367902142504
designed_e2_calibrated,bot,41542,41417,61,125,0.9977595760057817
designed_e2_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e2_calibrated,ddos,262680,262559,16,121,0.9997391743058134
designed_e2_calibrated,dos,39483,38857,3,626,0.991971203553604
designed_e2_calibrated,infiltration,8742,7130,523252,1612,0.026450315697316387
designed_e2_calibrated,web_attacks,127,19,77,108,0.17040358744394618
designed_e3_raw,benign,2652203,2542755,9469,109448,0.9771507987334629
designed_e3_raw,bot,41542,41374,13,168,0.9978174100736775
designed_e3_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e3_raw,ddos,262680,260729,1,1951,0.9962706100380199
designed_e3_raw,dos,39483,38868,14,615,0.9919734575384419
designed_e3_raw,infiltration,8742,1861,108912,6881,0.031142534409906705
designed_e3_raw,web_attacks,127,113,688,14,0.2435344827586207
designed_e3_calibrated,benign,2652203,2542755,9469,109448,0.9771507987334629
designed_e3_calibrated,bot,41542,41374,13,168,0.9978174100736775
designed_e3_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e3_calibrated,ddos,262680,260729,1,1951,0.9962706100380199
designed_e3_calibrated,dos,39483,38868,14,615,0.9919734575384419
designed_e3_calibrated,infiltration,8742,1861,108912,6881,0.031142534409906705
designed_e3_calibrated,web_attacks,127,113,688,14,0.2435344827586207
designed_e4_raw,benign,2652203,1815011,599,837192,0.8124829754513002
designed_e4_raw,bot,41542,41422,77,120,0.9976276778940524
designed_e4_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e4_raw,ddos,262680,262639,13,41,0.9998972078609336
designed_e4_raw,dos,39483,39209,22,274,0.9962395507787687
designed_e4_raw,infiltration,8742,8175,834733,567,0.019198027358656725
designed_e4_raw,web_attacks,127,123,2774,4,0.08134920634920635
designed_e4_calibrated,benign,2652203,1815011,599,837192,0.8124829754513002
