arm,region,model,rows,classes_present,macro_f1,present_class_macro_f1,accuracy
designed,1,global,2817460,7,0.4277178534306246,0.4277178534306246,0.9975190419739766
designed,1,e1,2817460,7,0.42858271330614134,0.42858271330614134,0.9977163828412826
designed,1,e2,2817460,7,0.418151340452947,0.418151340452947,0.8554840175193259
designed,1,e3,2817460,7,0.42656409373156606,0.42656409373156606,0.9592757306226175
designed,1,e4,2817460,7,0.4324043386868558,0.4324043386868558,0.7520010931832217
designed,1,region_constant,2817460,7,0.13468011446488865,0.13468011446488865,0.8917194920247314
designed,2,global,1266,4,0.07414043390218741,0.12974575932882798,0.18562401263823064
designed,2,e1,1266,4,0.07581142018869284,0.1326699853302125,0.18088467614533965
designed,2,e2,1266,4,0.11351565639999817,0.1986523986999968,0.38704581358609796
designed,2,e3,1266,4,0.10296790887415562,0.18019384052977233,0.2693522906793049
designed,2,e4,1266,4,0.15384178379227884,0.269223121636488,0.3791469194312796
designed,2,region_constant,1266,4,0.02473716759431045,0.04329004329004329,0.0947867298578199
designed,3,global,184784,5,0.4117698640698028,0.5764778096977239,0.9453091176725258
designed,3,e1,184784,5,0.4060641896358152,0.5684898654901412,0.6908336219586111
designed,3,e2,184784,5,0.32575830757248686,0.4560616306014816,0.3611459866655122
designed,3,e3,184784,5,0.4222952889744732,0.5912134045642625,0.9815135509567928
designed,3,e4,184784,5,0.2933873888698592,0.41074234441780294,0.2496157675989263
designed,3,region_constant,184784,5,0.12277800434269844,0.1718892060797778,0.7535338557450861
designed,4,global,38963,3,0.2545199716787002,0.5938799339169671,0.9991273772553448
designed,4,e1,38963,3,0.25340477822269497,0.5912778158529549,0.9989990503811308
designed,4,e2,38963,3,0.2654793874929625,0.6194519041502459,0.9993070348792444
designed,4,e3,38963,3,0.27212479660607397,0.6349578587475059,0.9995636886276724
designed,4,e4,38963,3,0.23736740030957534,0.5538572673890091,0.9988193927572312
designed,4,region_constant,38963,3,0.14269196038557258,0.332947907566336,0.997690116264148
