model,grouping,groups,replicates,delta_macro_f1_low,delta_macro_f1_high
global_calibrated,exact_vector,2082301,200,0.0,0.0
global_calibrated,time_block,15,200,0.0,0.0
designed_e1_raw,exact_vector,2082301,200,-0.009568739720043701,-0.0052264609871103
designed_e1_raw,time_block,15,200,-0.021448182061863982,0.006083834693527395
designed_e1_calibrated,exact_vector,2082301,200,-0.009568739720043701,-0.0052264609871103
designed_e1_calibrated,time_block,15,200,-0.021448182061863982,0.006083834693527395
designed_e2_raw,exact_vector,2082301,200,-0.08074932620844251,-0.06072301515639299
designed_e2_raw,time_block,15,200,-0.10356893622690636,-0.015779994589746982
designed_e2_calibrated,exact_vector,2082301,200,-0.08074932620844251,-0.06072301515639299
designed_e2_calibrated,time_block,15,200,-0.10356893622690636,-0.015779994589746982
designed_e3_raw,exact_vector,2082301,200,-0.10601886988888218,-0.09062468390376865
designed_e3_raw,time_block,15,200,-0.1221724421371498,-0.02530058613740562
designed_e3_calibrated,exact_vector,2082301,200,-0.10601886988888218,-0.09062468390376865
designed_e3_calibrated,time_block,15,200,-0.1221724421371498,-0.02530058613740562
designed_e4_raw,exact_vector,2082301,200,-0.0959620293459307,-0.0824114709020761
designed_e4_raw,time_block,15,200,-0.11484893728782014,-0.017171778226473484
designed_e4_calibrated,exact_vector,2082301,200,-0.0959620293459307,-0.0824114709020761
designed_e4_calibrated,time_block,15,200,-0.11484893728782014,-0.017171778226473484
matched_random_e1_raw,exact_vector,2082301,200,0.011411363862246286,0.02887697136938427
matched_random_e1_raw,time_block,15,200,-0.030231971022614202,0.02997816558294127
matched_random_e1_calibrated,exact_vector,2082301,200,0.011411363862246286,0.02887697136938427
matched_random_e1_calibrated,time_block,15,200,-0.030231971022614202,0.02997816558294127
matched_random_e2_raw,exact_vector,2082301,200,-0.06869346602765568,-0.057415694254975565
matched_random_e2_raw,time_block,15,200,-0.0821292869195154,-0.002930077186501384
matched_random_e2_calibrated,exact_vector,2082301,200,-0.06869346602765568,-0.057415694254975565
matched_random_e2_calibrated,time_block,15,200,-0.0821292869195154,-0.002930077186501384
matched_random_e3_raw,exact_vector,2082301,200,-0.09261985909917587,-0.07895908648609401
matched_random_e3_raw,time_block,15,200,-0.11002632078199757,-0.01898144389653024
matched_random_e3_calibrated,exact_vector,2082301,200,-0.09261985909917587,-0.07895908648609401
matched_random_e3_calibrated,time_block,15,200,-0.11002632078199757,-0.01898144389653024
matched_random_e4_raw,exact_vector,2082301,200,-0.09315902031239866,-0.07985832598237676
matched_random_e4_raw,time_block,15,200,-0.11308392234122976,-0.015906651011110218
matched_random_e4_calibrated,exact_vector,2082301,200,-0.09315902031239866,-0.07985832598237676
matched_random_e4_calibrated,time_block,15,200,-0.11308392234122976,-0.015906651011110218
