model,class,support,TP,FP,FN,f1
global_raw,benign,2652203,2643033,9119,9170,0.9965520784336644
global_raw,bot,41542,41422,5,120,0.9984934132025214
global_raw,brute_force,37696,37676,0,20,0.9997346494719525
global_raw,ddos,262680,260238,5,2442,0.9953205347632443
global_raw,dos,39483,38871,23,612,0.9918981333809663
global_raw,infiltration,8742,2745,8784,5997,0.270830250110996
global_raw,web_attacks,127,114,438,13,0.33578792341678937
global_calibrated,benign,2652203,2643033,9119,9170,0.9965520784336644
global_calibrated,bot,41542,41422,5,120,0.9984934132025214
global_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
global_calibrated,ddos,262680,260238,5,2442,0.9953205347632443
global_calibrated,dos,39483,38871,23,612,0.9918981333809663
global_calibrated,infiltration,8742,2745,8784,5997,0.270830250110996
global_calibrated,web_attacks,127,114,438,13,0.33578792341678937
designed_e1_raw,benign,2652203,2649622,10231,2581,0.9975881278360017
designed_e1_raw,bot,41542,41417,14,125,0.9983247562460077
designed_e1_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e1_raw,ddos,262680,260562,3,2118,0.9959464495599576
designed_e1_raw,dos,39483,38868,66,615,0.9913156585944374
designed_e1_raw,infiltration,8742,1181,2340,7561,0.1926119220419147
designed_e1_raw,web_attacks,127,114,379,13,0.36774193548387096
designed_e1_calibrated,benign,2652203,2649622,10231,2581,0.9975881278360017
designed_e1_calibrated,bot,41542,41417,14,125,0.9983247562460077
designed_e1_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e1_calibrated,ddos,262680,260562,3,2118,0.9959464495599576
designed_e1_calibrated,dos,39483,38868,66,615,0.9913156585944374
designed_e1_calibrated,infiltration,8742,1181,2340,7561,0.1926119220419147
designed_e1_calibrated,web_attacks,127,114,379,13,0.36774193548387096
designed_e2_raw,benign,2652203,2202925,3384,449278,0.9068311450090069
designed_e2_raw,bot,41542,41417,67,125,0.997687471394503
designed_e2_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e2_raw,ddos,262680,262598,28,82,0.9997905982417867
designed_e2_raw,dos,39483,38871,16,612,0.9919867296159245
designed_e2_raw,infiltration,8742,6304,449094,2438,0.027164217692937476
designed_e2_raw,web_attacks,127,20,73,107,0.18181818181818182
designed_e2_calibrated,benign,2652203,2202925,3384,449278,0.9068311450090069
designed_e2_calibrated,bot,41542,41417,67,125,0.997687471394503
designed_e2_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e2_calibrated,ddos,262680,262598,28,82,0.9997905982417867
designed_e2_calibrated,dos,39483,38871,16,612,0.9919867296159245
designed_e2_calibrated,infiltration,8742,6304,449094,2438,0.027164217692937476
designed_e2_calibrated,web_attacks,127,20,73,107,0.18181818181818182
designed_e3_raw,benign,2652203,1874938,5126,777265,0.8273731446095298
designed_e3_raw,bot,41542,41417,31,125,0.9981202554524642
designed_e3_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e3_raw,ddos,262680,258527,11,4153,0.9920110203408171
designed_e3_raw,dos,39483,39255,27,228,0.9967625214244906
designed_e3_raw,infiltration,8742,7818,774874,924,0.019756543186165872
designed_e3_raw,web_attacks,127,123,2650,4,0.08482758620689655
designed_e3_calibrated,benign,2652203,1874938,5126,777265,0.8273731446095298
designed_e3_calibrated,bot,41542,41417,31,125,0.9981202554524642
designed_e3_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e3_calibrated,ddos,262680,258527,11,4153,0.9920110203408171
designed_e3_calibrated,dos,39483,39255,27,228,0.9967625214244906
designed_e3_calibrated,infiltration,8742,7818,774874,924,0.019756543186165872
designed_e3_calibrated,web_attacks,127,123,2650,4,0.08482758620689655
designed_e4_raw,benign,2652203,2060581,2138,591622,0.8740679061074605
designed_e4_raw,bot,41542,41422,82,120,0.9975676131300725
designed_e4_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e4_raw,ddos,262680,262626,40,54,0.9998210703041425
designed_e4_raw,dos,39483,38821,117,662,0.9900664362861988
designed_e4_raw,infiltration,8742,7232,588466,1510,0.023929587717556745
designed_e4_raw,web_attacks,127,123,3149,4,0.07237422771403354
designed_e4_calibrated,benign,2652203,2060581,2138,591622,0.8740679061074605
designed_e4_calibrated,bot,41542,41422,82,120,0.9975676131300725
designed_e4_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e4_calibrated,ddos,262680,262626,40,54,0.9998210703041425
designed_e4_calibrated,dos,39483,38821,117,662,0.9900664362861988
designed_e4_calibrated,infiltration,8742,7232,588466,1510,0.023929587717556745
designed_e4_calibrated,web_attacks,127,123,3149,4,0.07237422771403354
designed_fixed_region,benign,2652203,2639599,8610,12604,0.9959976696151167
designed_fixed_region,bot,41542,41417,14,125,0.9983247562460077
designed_fixed_region,brute_force,37696,37676,0,20,0.9997346494719525
designed_fixed_region,ddos,262680,260627,3,2053,0.996071162408515
designed_fixed_region,dos,39483,38821,6,662,0.9914697995147491
designed_fixed_region,infiltration,8742,2818,12530,5924,0.23395599833956
designed_fixed_region,web_attacks,127,25,327,102,0.10438413361169102
designed_validation_region_reference,benign,2652203,2209153,3222,443050,0.9082609015622732
designed_validation_region_reference,bot,41542,41417,66,125,0.9976994881059922
designed_validation_region_reference,brute_force,37696,37676,0,20,0.9997346494719525
designed_validation_region_reference,ddos,262680,262620,26,60,0.9998362921309816
designed_validation_region_reference,dos,39483,38821,69,662,0.9906728082375308
designed_validation_region_reference,infiltration,8742,6191,442456,2551,0.027071048932090627
designed_validation_region_reference,web_attacks,127,119,637,8,0.2695356738391846
