arm,region,model,rows,classes_present,macro_f1,present_class_macro_f1,accuracy
designed,1,global,2980471,7,0.5703476111927301,0.5703476111927301,0.997270565625366
designed,1,e1,2980471,7,0.5704247548367841,0.5704247548367841,0.9973638394736939
designed,1,e2,2980471,7,0.5604205057460765,0.5604205057460765,0.8536684302581706
designed,1,e3,2980471,7,0.5474911805349437,0.5474911805349437,0.7419253534089075
designed,1,e4,2980471,7,0.5557318174320159,0.5557318174320159,0.8064061015859574
designed,1,region_constant,2980471,7,0.134014709683225,0.134014709683225,0.8834217813224823
designed,2,global,724,4,0.0809950248756219,0.1417412935323383,0.2513812154696133
designed,2,e1,724,4,0.09842240267320489,0.17223920467810855,0.287292817679558
designed,2,e2,724,4,0.14380490757814407,0.25165858826175214,0.600828729281768
designed,2,e3,724,4,0.07192403908349575,0.12586706839611755,0.20994475138121546
designed,2,e4,724,4,0.09347700842846474,0.1635847647498133,0.287292817679558
designed,2,region_constant,724,4,0.040332147093712925,0.07058125741399762,0.1643646408839779
designed,3,global,21204,4,0.3551353305670642,0.6214868284923624,0.5760705527259008
designed,3,e1,21204,4,0.22454410078222617,0.3929521763688958,0.8130069798151293
designed,3,e2,21204,4,0.35541584531100384,0.6219777292942568,0.2682041124316167
designed,3,e3,21204,4,0.3924022356265821,0.6867039123465187,0.4100169779286927
designed,3,e4,21204,4,0.2874200217912464,0.5029850381346812,0.2623561592152424
designed,3,region_constant,21204,4,0.03489513715563231,0.06106649002235655,0.13912469345406528
designed,4,global,40074,6,0.22538350069755442,0.2629474174804802,0.9823326845336128
designed,4,e1,40074,6,0.22693809670057583,0.26476111281733844,0.9826570843938713
designed,4,e2,40074,6,0.2967968162897723,0.34626295233806764,0.9820581923441632
designed,4,e3,40074,6,0.32006993133397177,0.3734149198896337,0.9886959125617607
designed,4,e4,40074,6,0.3402512909462113,0.3969598394372465,0.9791885012726456
designed,4,region_constant,40074,6,0.14160752718138844,0.16520878171161987,0.9826570843938713
