model,class,support,TP,FP,FN,f1
global_raw,backdoor,40030,40012,62,18,0.9990012983121942
global_raw,benign,1474302,1285073,37437,189229,0.918955582284401
global_raw,ddos,103338,100404,1102,2934,0.9802972017730566
global_raw,dos,22458,22086,656,372,0.9772566371681416
global_raw,injection,68891,65633,11119,3258,0.901286021298655
global_raw,mitm,1161,1041,16490,120,0.11138454953991012
global_raw,password,210951,210283,50249,668,0.8920067107403661
global_raw,ransomware,709,648,9389,61,0.12060301507537688
global_raw,scanning,6029,114,32,5915,0.036923076923076927
global_raw,xss,343854,314009,105884,29845,0.8222853903190455
global_calibrated,backdoor,40030,40012,62,18,0.9990012983121942
global_calibrated,benign,1474302,1285073,37437,189229,0.918955582284401
global_calibrated,ddos,103338,100404,1102,2934,0.9802972017730566
global_calibrated,dos,22458,22086,656,372,0.9772566371681416
global_calibrated,injection,68891,65633,11119,3258,0.901286021298655
global_calibrated,mitm,1161,1041,16490,120,0.11138454953991012
global_calibrated,password,210951,210283,50249,668,0.8920067107403661
global_calibrated,ransomware,709,648,9389,61,0.12060301507537688
global_calibrated,scanning,6029,114,32,5915,0.036923076923076927
global_calibrated,xss,343854,314009,105884,29845,0.8222853903190455
designed_e1_raw,backdoor,40030,40014,73,16,0.9988891246551918
designed_e1_raw,benign,1474302,1236143,3936,238159,0.9108102362932838
designed_e1_raw,ddos,103338,101236,4174,2102,0.9699350412938088
designed_e1_raw,dos,22458,21216,688,1242,0.956494296920788
designed_e1_raw,injection,68891,65614,5559,3277,0.9369145533470413
designed_e1_raw,mitm,1161,1124,56619,37,0.03816379193263615
designed_e1_raw,password,210951,210538,50472,413,0.8921838880754978
designed_e1_raw,ransomware,709,648,8517,61,0.13125379785294713
designed_e1_raw,scanning,6029,3888,1438,2141,0.6848084544253633
designed_e1_raw,xss,343854,343111,116715,743,0.8538497909615768
designed_e1_calibrated,backdoor,40030,40014,73,16,0.9988891246551918
designed_e1_calibrated,benign,1474302,1236143,3936,238159,0.9108102362932838
designed_e1_calibrated,ddos,103338,101236,4174,2102,0.9699350412938088
designed_e1_calibrated,dos,22458,21216,688,1242,0.956494296920788
designed_e1_calibrated,injection,68891,65614,5559,3277,0.9369145533470413
designed_e1_calibrated,mitm,1161,1124,56619,37,0.03816379193263615
designed_e1_calibrated,password,210951,210538,50472,413,0.8921838880754978
designed_e1_calibrated,ransomware,709,648,8517,61,0.13125379785294713
designed_e1_calibrated,scanning,6029,3888,1438,2141,0.6848084544253633
designed_e1_calibrated,xss,343854,343111,116715,743,0.8538497909615768
designed_e2_raw,backdoor,40030,40010,125,20,0.9981912305869145
designed_e2_raw,benign,1474302,1235880,2003,238422,0.9113537608975789
designed_e2_raw,ddos,103338,101736,3641,1602,0.9748796205351795
designed_e2_raw,dos,22458,21879,1235,579,0.9601948564908277
designed_e2_raw,injection,68891,66215,21279,2676,0.8468203472200019
designed_e2_raw,mitm,1161,1146,69908,15,0.03173855847123174
designed_e2_raw,password,210951,209154,50079,1797,0.8896687254351487
designed_e2_raw,ransomware,709,648,12250,61,0.095245094436687
designed_e2_raw,scanning,6029,5504,6686,525,0.6042044019979143
designed_e2_raw,xss,343854,316219,106126,27635,0.8254226382441116
