arm,expert,block_rows,backdoor,benign,ddos,dos,injection,mitm,password,ransomware,scanning,xss
designed,1,186000,2266,31482,25843,1114,35361,434,44640,0,0,44860
designed,2,4485,0,0,0,0,0,16,0,0,4469,0
designed,3,5095,72,0,74,1315,3394,221,9,0,1,9
designed,4,537,0,0,0,0,0,0,0,537,0,0
matched_random,1,186000,2266,31482,25843,1114,35361,434,44640,0,0,44860
matched_random,2,4485,0,0,0,0,0,16,0,0,4469,0
matched_random,3,5095,72,0,74,1315,3394,221,9,0,1,9
matched_random,4,537,0,0,0,0,0,0,0,537,0,0
balanced_random,1,186000,27184,27184,27184,17071,27183,821,27183,537,4470,27183
balanced_random,2,4485,449,449,449,449,449,448,448,448,448,448
balanced_random,3,5095,510,510,510,510,510,509,509,509,509,509
balanced_random,4,537,54,54,54,54,54,54,54,53,53,53
