model,grouping,groups,replicates,delta_macro_f1_low,delta_macro_f1_high
global_calibrated,exact_vector,1025762,200,0.0,0.0
global_calibrated,time_block,54,200,0.0,0.0
designed_e1_raw,exact_vector,1025762,200,0.04469916047458382,0.05606170060953628
designed_e1_raw,time_block,54,200,-0.006945248151587509,0.07359949181846405
designed_e1_calibrated,exact_vector,1025762,200,0.04469916047458382,0.05606170060953628
designed_e1_calibrated,time_block,54,200,-0.006945248151587509,0.07359949181846405
designed_e2_raw,exact_vector,1025762,200,0.027482365138759728,0.037930003169918174
designed_e2_raw,time_block,54,200,-0.019286513266591282,0.06173470324846911
designed_e2_calibrated,exact_vector,1025762,200,0.027482365138759728,0.037930003169918174
designed_e2_calibrated,time_block,54,200,-0.019286513266591282,0.06173470324846911
designed_e3_raw,exact_vector,1025762,200,-0.016606649666508468,0.01307238807429412
designed_e3_raw,time_block,54,200,-0.07836438137496671,0.048487674003885234
designed_e3_calibrated,exact_vector,1025762,200,-0.016606649666508468,0.01307238807429412
designed_e3_calibrated,time_block,54,200,-0.07836438137496671,0.048487674003885234
designed_e4_raw,exact_vector,1025762,200,0.008077137720377976,0.02763534977225837
designed_e4_raw,time_block,54,200,-0.04363915266441171,0.04603686959584987
designed_e4_calibrated,exact_vector,1025762,200,0.008077137720377976,0.02763534977225837
designed_e4_calibrated,time_block,54,200,-0.04363915266441171,0.04603686959584987
matched_random_e1_raw,exact_vector,1025762,200,-0.0002350070519972741,0.009359214876495228
matched_random_e1_raw,time_block,54,200,-0.020327568567738305,0.027733606790077425
matched_random_e1_calibrated,exact_vector,1025762,200,-0.0002350070519972741,0.009359214876495228
matched_random_e1_calibrated,time_block,54,200,-0.020327568567738305,0.027733606790077425
matched_random_e2_raw,exact_vector,1025762,200,0.02978288872500651,0.03967038692403419
matched_random_e2_raw,time_block,54,200,-0.01685431982281873,0.06285925643978978
matched_random_e2_calibrated,exact_vector,1025762,200,0.02978288872500651,0.03967038692403419
matched_random_e2_calibrated,time_block,54,200,-0.01685431982281873,0.06285925643978978
matched_random_e3_raw,exact_vector,1025762,200,0.010251664909392003,0.02688009342392415
matched_random_e3_raw,time_block,54,200,-0.035987130244934586,0.04683460927641507
matched_random_e3_calibrated,exact_vector,1025762,200,0.010251664909392003,0.02688009342392415
matched_random_e3_calibrated,time_block,54,200,-0.035987130244934586,0.04683460927641507
matched_random_e4_raw,exact_vector,1025762,200,0.008077137720377976,0.02763534977225837
matched_random_e4_raw,time_block,54,200,-0.04363915266441171,0.04603686959584987
matched_random_e4_calibrated,exact_vector,1025762,200,0.008077137720377976,0.02763534977225837
matched_random_e4_calibrated,time_block,54,200,-0.04363915266441171,0.04603686959584987
balanced_random_e1_raw,exact_vector,1025762,200,0.04657152229857024,0.05598382236354413
balanced_random_e1_raw,time_block,54,200,-0.009492733298708905,0.07382092840283977
balanced_random_e1_calibrated,exact_vector,1025762,200,0.04657152229857024,0.05598382236354413
balanced_random_e1_calibrated,time_block,54,200,-0.009492733298708905,0.07382092840283977
balanced_random_e2_raw,exact_vector,1025762,200,0.0408940533972204,0.05243257181019314
balanced_random_e2_raw,time_block,54,200,-0.02381750198953148,0.06673861074749785
balanced_random_e2_calibrated,exact_vector,1025762,200,0.0408940533972204,0.05243257181019314
balanced_random_e2_calibrated,time_block,54,200,-0.02381750198953148,0.06673861074749785
balanced_random_e3_raw,exact_vector,1025762,200,0.041478663373511034,0.054372059096436845
balanced_random_e3_raw,time_block,54,200,-0.030875844885742,0.0668565575428343
balanced_random_e3_calibrated,exact_vector,1025762,200,0.041478663373511034,0.054372059096436845
balanced_random_e3_calibrated,time_block,54,200,-0.030875844885742,0.0668565575428343
balanced_random_e4_raw,exact_vector,1025762,200,0.030872671229699996,0.050675645433630734
balanced_random_e4_raw,time_block,54,200,-0.02130582326457214,0.06165675733157639
balanced_random_e4_calibrated,exact_vector,1025762,200,0.030872671229699996,0.050675645433630734
balanced_random_e4_calibrated,time_block,54,200,-0.02130582326457214,0.06165675733157639
