model,class,AP,R_at_FPR_001,R_at_FPR_01
global_raw,backdoor,0.9995180361128564,0.9995503372470647,0.9996502623032726
global_raw,benign,0.9686391885506401,0.3263469763996793,0.8305123373637152
global_raw,ddos,0.993369798160172,0.9859296676924268,0.9942518724960808
global_raw,dos,0.9776023558032739,0.9772464155312138,0.9775135809065811
global_raw,injection,0.9563839574030543,0.8583849849762668,0.9643204482443279
global_raw,mitm,0.7124405688006659,0.7321274763135228,0.8544358311800172
global_raw,password,0.6388776733839641,0.0016923361349318088,0.04267815748680973
global_raw,ransomware,0.07097055750540394,0.06488011283497884,0.9139633286318759
global_raw,scanning,0.20383571419186933,0.14131696798805773,0.2977276496931498
global_raw,xss,0.7445845485999332,0.01754814543381784,0.14754227084751087
global_calibrated,backdoor,0.9995191912934073,0.9995503372470647,0.9996502623032726
global_calibrated,benign,0.9684940744441661,0.31574534932462955,0.8320852851044087
global_calibrated,ddos,0.9932023570406944,0.9860844994097041,0.9917745650196442
global_calibrated,dos,0.9746955396008102,0.971947635586428,0.9745747617775403
global_calibrated,injection,0.9537447903147453,0.8495304176162344,0.9625350190881247
global_calibrated,mitm,0.7179279925867807,0.7416020671834626,0.8621877691645133
global_calibrated,password,0.6386601360785267,0.00172551919640106,0.042502761304757976
global_calibrated,ransomware,0.0716123530385007,0.06488011283497884,0.9139633286318759
global_calibrated,scanning,0.23779893465027216,0.15043954221263892,0.36092220932161223
global_calibrated,xss,0.7445605426906718,0.017513246901301134,0.14837692741686878
designed_e1_raw,backdoor,0.9994395189489297,0.9996002997751686,0.9999000749437922
designed_e1_raw,benign,0.9715659216374625,0.7991510558894989,0.8652114695632238
designed_e1_raw,ddos,0.9875341054165382,0.982436277071358,0.9877102324411156
designed_e1_raw,dos,0.9860530846723375,0.9853059043547956,0.9864190934188263
designed_e1_raw,injection,0.972522571577928,0.9176234921833041,0.9708815375012702
designed_e1_raw,mitm,0.7518502406122649,0.8311800172265289,0.9190353143841516
designed_e1_raw,password,0.6709310632440375,0.006446994799740224,0.07610298126105114
designed_e1_raw,ransomware,0.06957363770042758,0.022566995768688293,0.9590973201692524
designed_e1_raw,scanning,0.7354949822637319,0.6442196052413336,0.8898656493614198
designed_e1_raw,xss,0.7244490277647492,0.007125117055494483,0.1069436446864076
designed_e1_calibrated,backdoor,0.9994395188673316,0.9996002997751686,0.9999000749437922
designed_e1_calibrated,benign,0.9715655204459374,0.7991510558894989,0.8652114695632238
designed_e1_calibrated,ddos,0.9875341051778549,0.982436277071358,0.9877102324411156
designed_e1_calibrated,dos,0.9860530867882243,0.9853059043547956,0.9864190934188263
designed_e1_calibrated,injection,0.9725225725137768,0.9176234921833041,0.9708815375012702
designed_e1_calibrated,mitm,0.7518500930143222,0.8311800172265289,0.9190353143841516
designed_e1_calibrated,password,0.6709307635666647,0.006442254362387474,0.07611246213575665
designed_e1_calibrated,ransomware,0.06957319469347745,0.022566995768688293,0.9590973201692524
designed_e1_calibrated,scanning,0.735494970007225,0.6442196052413336,0.8898656493614198
designed_e1_calibrated,xss,0.7244421877266977,0.007125117055494483,0.10701053354039795
designed_e2_raw,backdoor,0.9980792784826025,0.9995003747189608,0.9995003747189608
designed_e2_raw,benign,0.9741148851741144,0.8089231378645624,0.8618146078618899
designed_e2_raw,ddos,0.9920833233197572,0.9817492113259402,0.987739263388105
designed_e2_raw,dos,0.9924599901375452,0.9852168492296731,0.9959479918069285
designed_e2_raw,injection,0.9677417638349648,0.9024691178818713,0.9672090693994861
designed_e2_raw,mitm,0.6266021884866244,0.8664944013781223,0.9259259259259259
designed_e2_raw,password,0.6336004546833182,0.0013273224587700462,0.041019004413347174
designed_e2_raw,ransomware,0.044990311285484676,0.004231311706629055,0.9732016925246827
designed_e2_raw,scanning,0.8881943287364527,0.9178968319787693,0.974954387128877
designed_e2_raw,xss,0.7465651460496595,0.014645750812844987,0.1403095499834232
designed_e2_calibrated,backdoor,0.9980722981089555,0.9995003747189608,0.9995003747189608
designed_e2_calibrated,benign,0.9740316684434418,0.8288247591063432,0.8607951423792412
designed_e2_calibrated,ddos,0.9920557843052522,0.9814782558207049,0.9876231396001471
designed_e2_calibrated,dos,0.9924765051332699,0.984192715290765,0.9960815744946122
designed_e2_calibrated,injection,0.9681006576814826,0.9007127200940617,0.9678477595041443
designed_e2_calibrated,mitm,0.6425485746078518,0.8690783807062877,0.9267872523686477
designed_e2_calibrated,password,0.6338254419734395,0.0012562158984787937,0.041042706600110924
designed_e2_calibrated,ransomware,0.04419569095900459,0.004231311706629055,0.9732016925246827
designed_e2_calibrated,scanning,0.8710966556785219,0.9037983081771438,0.9724664123403549
designed_e2_calibrated,xss,0.7463383980984417,0.014430543195658622,0.13922187905331915
designed_e3_raw,backdoor,0.9991715617936905,0.9998501124156882,0.9998501124156882
designed_e3_raw,benign,0.9734258504826523,0.6554186320034837,0.8666053495145499
designed_e3_raw,ddos,0.983556260460192,0.8479358996690473,0.986829627049101
designed_e3_raw,dos,0.9953020489337995,0.9889126369222548,0.9984415353103571
designed_e3_raw,injection,0.9866970570478037,0.914081665239291,0.9929889245329578
designed_e3_raw,mitm,0.7626719062900924,0.8518518518518519,0.9104220499569337
designed_e3_raw,password,0.6461549354987847,0.006456475674445725,0.0688027077378159
designed_e3_raw,ransomware,0.0658149572074632,0.007052186177715092,0.923836389280677
designed_e3_raw,scanning,0.8326628421918313,0.7857024382152927,0.9565433736938133
designed_e3_raw,xss,0.7416201932592159,0.017088648089014523,0.13666265333542724
designed_e3_calibrated,backdoor,0.999084566442014,0.9998501124156882,0.9998501124156882
designed_e3_calibrated,benign,0.97348220705902,0.6640376259409537,0.8668875169402198
designed_e3_calibrated,ddos,0.9830511293428673,0.8446263717122453,0.9865683485261956
designed_e3_calibrated,dos,0.9953042350933918,0.9885118888592038,0.9984415353103571
designed_e3_calibrated,injection,0.986283647051747,0.9096108345066845,0.9925099069544643
designed_e3_calibrated,mitm,0.763583700882901,0.8475452196382429,0.9130060292850991
designed_e3_calibrated,password,0.6461062844448004,0.006537063109442477,0.0690018061066314
designed_e3_calibrated,ransomware,0.06567495843395142,0.00846262341325811,0.923836389280677
designed_e3_calibrated,scanning,0.8000935821512377,0.7566760656825344,0.9444352297230054
designed_e3_calibrated,xss,0.7416779311495939,0.017181710842392412,0.1377997638532633
designed_e4_raw,backdoor,0.9987561753570559,0.9995003747189608,0.9996002997751686
designed_e4_raw,benign,0.9713631259500425,0.6899217392366015,0.8668380019833114
designed_e4_raw,ddos,0.9851260903752571,0.977994542181966,0.9855038804699142
designed_e4_raw,dos,0.9720251231904286,0.9292011755276516,0.987354172232612
designed_e4_raw,injection,0.8772284711268934,0.374315948382227,0.9475838643654468
designed_e4_raw,mitm,0.5473071086133958,0.7795004306632214,0.9655469422911284
designed_e4_raw,password,0.641909489664041,0.006181530307986215,0.04432308924821404
designed_e4_raw,ransomware,0.06881540692443819,0.0,0.998589562764457
designed_e4_raw,scanning,0.7211910357371982,0.6672748382816387,0.8858848896997844
designed_e4_raw,xss,0.7151192295626788,0.007988855735282997,0.08893309369674339
designed_e4_calibrated,backdoor,0.9987968676235366,0.9995003747189608,0.9996002997751686
designed_e4_calibrated,benign,0.9713429067845705,0.703542422108903,0.8666453684523252
designed_e4_calibrated,ddos,0.985237516217995,0.9774623081538253,0.9856587121871916
designed_e4_calibrated,dos,0.973617799456307,0.9293792857778965,0.9872205895449283
designed_e4_calibrated,injection,0.8787966308744024,0.38189313553294335,0.9549433162532116
designed_e4_calibrated,mitm,0.5621257883538935,0.7734711455641688,0.9603789836347976
designed_e4_calibrated,password,0.6405557212841585,0.006129385497105963,0.04400547994557978
designed_e4_calibrated,ransomware,0.06715226268163242,0.0,0.998589562764457
designed_e4_calibrated,scanning,0.6703692802719018,0.6289600265383978,0.8459114280975286
designed_e4_calibrated,xss,0.7153490405525037,0.00798594752423994,0.08773781895804615
matched_random_e1_raw,backdoor,0.9994083811541021,0.9997002248313764,0.9998001498875844
matched_random_e1_raw,benign,0.9712941224800561,0.7045245818021002,0.843546301911006
matched_random_e1_raw,ddos,0.9865083853273422,0.9477539724012464,0.9880392498403298
matched_random_e1_raw,dos,0.9866932794079465,0.9864636209813875,0.9880666132335916
matched_random_e1_raw,injection,0.9858268062623156,0.9392518616364982,0.9948324164259482
matched_random_e1_raw,mitm,0.6949315442723923,0.7631352282515074,0.8363479758828596
matched_random_e1_raw,password,0.7283953950912941,0.009243852837862821,0.280553303847813
matched_random_e1_raw,ransomware,0.07443836256423528,0.05782792665726375,0.9590973201692524
matched_random_e1_raw,scanning,0.789031422123383,0.7885221429756178,0.8633272516171836
matched_random_e1_raw,xss,0.7284704547136144,0.0,0.10602464999680097
matched_random_e1_calibrated,backdoor,0.9994083814593857,0.9997002248313764,0.9998001498875844
matched_random_e1_calibrated,benign,0.9712939894147476,0.7045245818021002,0.843546301911006
matched_random_e1_calibrated,ddos,0.9865083825172016,0.9477539724012464,0.9880392498403298
matched_random_e1_calibrated,dos,0.9866932794022341,0.9864636209813875,0.9880666132335916
matched_random_e1_calibrated,injection,0.9858268053309395,0.9392518616364982,0.9948324164259482
matched_random_e1_calibrated,mitm,0.694930467766749,0.7631352282515074,0.8363479758828596
matched_random_e1_calibrated,password,0.7283955426449473,0.009243852837862821,0.28054856341046025
matched_random_e1_calibrated,ransomware,0.07443906134978966,0.05782792665726375,0.9590973201692524
matched_random_e1_calibrated,scanning,0.7890314220755339,0.7885221429756178,0.8633272516171836
matched_random_e1_calibrated,xss,0.7284729418369092,0.0,0.10594612829863838
matched_random_e2_raw,backdoor,0.9981383606982045,0.9995003747189608,0.9995003747189608
matched_random_e2_raw,benign,0.9743160473956808,0.805130156507961,0.8709857274832429
matched_random_e2_raw,ddos,0.992797917644972,0.9815750256440032,0.9876812014941261
matched_random_e2_raw,dos,0.9937032904176841,0.986953424169561,0.9966604328079081
matched_random_e2_raw,injection,0.9701895427223447,0.9100317893483909,0.9684283868720153
matched_random_e2_raw,mitm,0.7066000671072075,0.8639104220499569,0.9336778639104221
matched_random_e2_raw,password,0.6348550052243045,0.0016212295746405563,0.04136979677745069
matched_random_e2_raw,ransomware,0.06741060076947837,0.00846262341325811,0.9732016925246827
matched_random_e2_raw,scanning,0.8970791318314729,0.9207165367390944,0.9741250621993697
matched_random_e2_raw,xss,0.7368262367740633,0.011583404584503888,0.12070820755320572
matched_random_e2_calibrated,backdoor,0.9980905848700845,0.9995003747189608,0.9995003747189608
matched_random_e2_calibrated,benign,0.9742618079554943,0.8287677829915445,0.8699628705651895
matched_random_e2_calibrated,ddos,0.9927308712998696,0.9812363312624591,0.9876231396001471
matched_random_e2_calibrated,dos,0.9937208782746464,0.9870424792946834,0.9963932674325408
matched_random_e2_calibrated,injection,0.970260915231678,0.9105688696636716,0.9686896691875572
matched_random_e2_calibrated,mitm,0.7069692974384086,0.8613264427217916,0.9362618432385874
matched_random_e2_calibrated,password,0.635115096632834,0.0015690847637603045,0.04130343065451218
matched_random_e2_calibrated,ransomware,0.06634555652499559,0.00846262341325811,0.9732016925246827
matched_random_e2_calibrated,scanning,0.8817541822469642,0.9056228230220601,0.972134682368552
matched_random_e2_calibrated,xss,0.7366369137975203,0.011304216324370227,0.11955364776911132
matched_random_e3_raw,backdoor,0.9984525735326791,0.9995003747189608,0.9995503372470647
matched_random_e3_raw,benign,0.9742563470017139,0.6737995336098032,0.8596590115186712
matched_random_e3_raw,ddos,0.9858671187997052,0.9816911494319611,0.9853393717703072
matched_random_e3_raw,dos,0.9858252457087245,0.9661590524534687,0.9944340546798468
matched_random_e3_raw,injection,0.967440615000547,0.7553526585475606,0.9921760462179385
matched_random_e3_raw,mitm,0.4897331436477289,0.8380706287683032,0.9448751076658053
matched_random_e3_raw,password,0.6466503448139669,0.00690681722295699,0.05819834937971377
matched_random_e3_raw,ransomware,0.07006617955729598,0.015514809590973202,0.9717912552891397
matched_random_e3_raw,scanning,0.7628102323527258,0.7059213799966827,0.9444352297230054
matched_random_e3_raw,xss,0.7136566265656986,0.006944807970824827,0.07632309061403968
matched_random_e3_calibrated,backdoor,0.9984377121526218,0.9995003747189608,0.9995503372470647
matched_random_e3_calibrated,benign,0.9742460179907858,0.6891640925671945,0.8575447906873896
matched_random_e3_calibrated,ddos,0.9858314757739735,0.9812363312624591,0.9855135574522441
matched_random_e3_calibrated,dos,0.9856164693361542,0.9655356665776116,0.9938997239291121
matched_random_e3_calibrated,injection,0.9664227639617247,0.7476303145548765,0.9924082971650868
matched_random_e3_calibrated,mitm,0.5040872800791109,0.8372093023255814,0.9474590869939707
matched_random_e3_calibrated,password,0.6447741035182842,0.0068357106626657374,0.058018212760309266
matched_random_e3_calibrated,ransomware,0.07020338436434136,0.015514809590973202,0.9661495063469676
matched_random_e3_calibrated,scanning,0.7225265661415362,0.6742411676895007,0.9210482667108973
matched_random_e3_calibrated,xss,0.7136946036915576,0.006883735538920588,0.07590721643488224
matched_random_e4_raw,backdoor,0.9987561753570559,0.9995003747189608,0.9996002997751686
matched_random_e4_raw,benign,0.9713631259500425,0.6899217392366015,0.8668380019833114
matched_random_e4_raw,ddos,0.9851260903752571,0.977994542181966,0.9855038804699142
matched_random_e4_raw,dos,0.9720251231904286,0.9292011755276516,0.987354172232612
matched_random_e4_raw,injection,0.8772284711268934,0.374315948382227,0.9475838643654468
matched_random_e4_raw,mitm,0.5473071086133958,0.7795004306632214,0.9655469422911284
matched_random_e4_raw,password,0.641909489664041,0.006181530307986215,0.04432308924821404
matched_random_e4_raw,ransomware,0.06881540692443819,0.0,0.998589562764457
