dataset,cls,support,f1_622,f1_82,delta
cic2018,benign,100000,0.876102,0.881756,0.005654
cic2018,bot,41542,0.997805,0.99778,-2.4e-05
cic2018,brute_force,100000,0.904438,0.904438,0.0
cic2018,ddos,100000,0.992332,0.999815,0.007483
cic2018,dos,60594,0.782214,0.782263,4.9e-05
cic2018,infiltration,37631,0.488323,0.487164,-0.001159
cic2018,web_attacks,509,0.603214,0.090056,-0.513158
cic2018,macro_avg,440276,0.806347,0.734753,-0.071594
cic2018,weighted_avg,440276,0.874039,0.876335,0.002296
cic2018,tail_avg,440276,0.696447,0.525,-0.171447
bot_iot,benign,10399,0.835749,0.833882,-0.001867
bot_iot,ddos,100000,0.031101,0.475174,0.444073
bot_iot,dos,100000,0.65199,0.677536,0.025546
bot_iot,reconnaissance,100000,0.958685,0.974213,0.015528
bot_iot,theft,323,0.387097,0.351351,-0.035745
bot_iot,macro_avg,310722,0.572925,0.662431,0.089507
bot_iot,weighted_avg,310722,0.556747,0.712783,0.156036
bot_iot,tail_avg,310722,0.387097,0.351351,-0.035745
ton_iot,backdoor,40678,0.999139,0.999102,-3.7e-05
ton_iot,benign,100000,0.610982,0.613275,0.002293
ton_iot,ddos,100000,0.983692,0.983898,0.000206
ton_iot,dos,40692,0.82464,0.825677,0.001037
ton_iot,injection,76356,0.961313,0.964601,0.003289
ton_iot,mitm,1204,0.745763,0.856137,0.110375
ton_iot,password,100000,0.980562,0.980765,0.000203
ton_iot,ransomware,795,0.818829,0.826754,0.007926
ton_iot,scanning,100000,0.00092,0.005166,0.004247
ton_iot,xss,100000,0.928172,0.929335,0.001162
ton_iot,macro_avg,659725,0.785401,0.798471,0.01307
ton_iot,weighted_avg,659725,0.757259,0.759142,0.001883
ton_iot,tail_avg,659725,0.782296,0.841446,0.05915
cic2017_full,bot,392,0.0,0.809917,0.809917
cic2017_full,ddos,25605,0.953105,0.956172,0.003067
cic2017_full,dos-goldeneye,2060,0.964336,0.964319,-1.7e-05
cic2017_full,dos-hulk,46026,0.97753,0.977642,0.000113
cic2017_full,dos-slowhttptest,1101,0.819533,0.861905,0.042372
cic2017_full,dos-slowloris,1160,0.808015,0.775448,-0.032567
cic2017_full,ftp-patator,1587,0.996205,0.995887,-0.000318
cic2017_full,heartbleed,3,0.8,0.8,0.0
cic2017_full,infiltration,8,0.857143,0.857143,0.0
cic2017_full,normal,100000,0.979788,0.982071,0.002284
cic2017_full,portscan,31762,0.985019,0.984514,-0.000505
cic2017_full,ssh-patator,1180,0.999152,0.998302,-0.00085
cic2017_full,web-attack-brute-force,302,0.689103,0.725038,0.035936
cic2017_full,web-attack-sql-injection,5,0.5,0.666667,0.166667
cic2017_full,web-attack-xss,131,0.270073,0.298851,0.028778
cic2017_full,macro_avg,211322,0.773267,0.843592,0.070325
cic2017_full,weighted_avg,211322,0.972461,0.975472,0.003011
cic2017_full,tail_avg,211322,0.623264,0.66954,0.046276
