expert,class,rows,helpful,harmful,neutral
1,benign,100000,6,17378,82616
1,bot,31156,0,0,31156
1,brute_force,28256,0,0,28256
1,ddos,100000,0,0,100000
1,dos,29613,0,0,29613
1,infiltration,7537,3934,23,3580
1,web_attacks,115,8,0,107
2,benign,100000,97,7,99896
2,bot,31156,0,0,31156
2,brute_force,28256,0,0,28256
2,ddos,100000,0,0,100000
2,dos,29613,0,0,29613
2,infiltration,7537,1,891,6645
2,web_attacks,115,3,1,111
3,benign,100000,3,16754,83243
3,bot,31156,0,0,31156
3,brute_force,28256,0,0,28256
3,ddos,100000,0,0,100000
3,dos,29613,0,0,29613
3,infiltration,7537,3277,21,4239
3,web_attacks,115,6,0,109
4,benign,100000,2,17020,82978
4,bot,31156,0,0,31156
4,brute_force,28256,0,0,28256
4,ddos,100000,0,0,100000
4,dos,29613,0,0,29613
4,infiltration,7537,3477,22,4038
4,web_attacks,115,8,0,107
5,benign,100000,7,16965,83028
5,bot,31156,0,0,31156
5,brute_force,28256,0,0,28256
5,ddos,100000,0,0,100000
5,dos,29613,1,0,29612
5,infiltration,7537,3946,25,3566
5,web_attacks,115,8,0,107
6,benign,100000,0,29649,70351
6,bot,31156,0,0,31156
6,brute_force,28256,0,0,28256
6,ddos,100000,0,0,100000
6,dos,29613,0,10,29603
6,infiltration,7537,4563,2,2972
6,web_attacks,115,11,0,104
7,benign,100000,8,20844,79148
7,bot,31156,0,0,31156
7,brute_force,28256,0,0,28256
7,ddos,100000,0,0,100000
7,dos,29613,0,10,29603
7,infiltration,7537,3523,26,3988
7,web_attacks,115,6,0,109
8,benign,100000,48,18861,81091
8,bot,31156,0,0,31156
8,brute_force,28256,0,0,28256
8,ddos,100000,0,0,100000
8,dos,29613,0,0,29613
8,infiltration,7537,3627,36,3874
8,web_attacks,115,0,79,36
