arm,split,rows,macro_f1,tail_f1,benign_fpr,accuracy,delta_macro_f1,delta_tail_f1,delta_benign_fpr,proposed,accepted,logical_expert_calls,diagnostic_all_expert_policy,changed,helpful,harmful
legacy,cal_confirm,35879,0.8530345958547496,0.6741911416821341,0.005785837651122616,0.9658017224560328,0.0,0.0,0.0,0,0,0,False,0,0,0
hdn,cal_confirm,35879,0.8530345958547496,0.6741911416821341,0.005785837651122616,0.9658017224560328,0.0,0.0,0.0,0,0,0,False,0,0,0
global,full_test,3042473,0.8106530623034781,0.5619688283502156,0.0016318509556018101,0.996188298137732,0.0,0.0,0.0,0,0,0,False,0,0,0
correctness_oracle,full_test,3042473,0.962639709037386,0.9153958936559804,6.673697299941495e-05,0.9995030358527421,0.15198664673390794,0.35342706530576484,-0.0015651139826023952,0,10085,0,False,10085,10085,0
expert1_always,full_test,3042473,0.7020462869049806,0.3452153188394038,0.18978147600315665,0.8336205448659693,-0.1086067753984975,-0.21675350951081174,0.18814962504755484,0,504540,0,False,504540,4605,499213
expert2_always,full_test,3042473,0.7945857718699603,0.5269582499326736,0.00019191592800404944,0.9956597807112832,-0.016067290433517845,-0.03501057841754196,-0.0014399350275977607,0,9480,0,False,9480,3903,5511
expert3_always,full_test,3042473,0.7130264278246633,0.36514318810377094,0.17407227124017277,0.8471716922385178,-0.09762663447881481,-0.1968256402464446,0.17244042028457096,0,463020,0,False,463020,4477,457856
expert4_always,full_test,3042473,0.7123898776408842,0.36432346390686815,0.17649667088077348,0.8450651821725287,-0.09826318466259387,-0.1976453644433474,0.17486481992517167,0,469046,0,False,469046,4266,464054
expert5_always,full_test,3042473,0.7069242749013213,0.35542481707100837,0.18861716090359604,0.8344553920445638,-0.10372878740215685,-0.20654401127920718,0.18698530994799423,0,502252,0,False,502252,4779,496847
expert6_always,full_test,3042473,0.7000738881272869,0.3635482126370202,0.30493857370646216,0.7335121790727477,-0.11057917417619123,-0.19842061571319536,0.30330672275086035,0,811367,0,False,811367,5720,804905
expert7_always,full_test,3042473,0.7083902200884477,0.35811909431722616,0.1931533898423311,0.8304737626266527,-0.10226284221503046,-0.2038497340329894,0.1915215388867293,0,513376,0,False,513376,4514,508696
expert8_always,full_test,3042473,0.7280196612258447,0.402757910279933,0.1871455540922018,0.8358348619691941,-0.0826334010776334,-0.15921091807028254,0.18551370313659998,0,497448,0,False,497448,4755,492626
legacy,full_test,3042473,0.8106530623034781,0.5619688283502156,0.0016318509556018101,0.996188298137732,0.0,0.0,0.0,0,0,0,False,0,0,0
hdn,full_test,3042473,0.8106530623034781,0.5619688283502156,0.0016318509556018101,0.996188298137732,0.0,0.0,0.0,0,0,0,False,0,0,0
