expert,class,rows,helpful,harmful,neutral
1,backdoor,30130,6,0,30124
1,benign,100000,0,718,99282
1,ddos,100000,646,18,99336
1,dos,17072,36,404,16632
1,injection,50363,566,106,49691
1,mitm,822,0,0,822
1,password,100000,159,125,99716
1,ransomware,539,5,0,534
1,scanning,4471,3002,1,1468
1,xss,100000,7061,447,92492
2,backdoor,30130,6,0,30124
2,benign,100000,0,664,99336
2,ddos,100000,557,66,99377
2,dos,17072,17,390,16665
2,injection,50363,506,248,49609
2,mitm,822,1,0,821
2,password,100000,83,224,99693
2,ransomware,539,5,0,534
2,scanning,4471,3855,1,615
2,xss,100000,5173,305,94522
3,backdoor,30130,6,0,30124
3,benign,100000,0,765,99235
3,ddos,100000,595,46,99359
3,dos,17072,548,0,16524
3,injection,50363,408,294,49661
3,mitm,822,0,0,822
3,password,100000,84,214,99702
3,ransomware,539,4,0,535
3,scanning,4471,3049,1,1421
3,xss,100000,3166,321,96513
4,backdoor,30130,6,0,30124
4,benign,100000,0,7577,92423
4,ddos,100000,551,109,99340
4,dos,17072,11,288,16773
4,injection,50363,1460,62,48841
4,mitm,822,0,0,822
4,password,100000,95,2172,97733
4,ransomware,539,5,0,534
4,scanning,4471,3190,1,1280
4,xss,100000,491,1289,98220
5,backdoor,30130,6,0,30124
5,benign,100000,0,699,99301
5,ddos,100000,585,41,99374
5,dos,17072,48,211,16813
5,injection,50363,452,196,49715
5,mitm,822,0,0,822
5,password,100000,102,151,99747
5,ransomware,539,4,0,535
5,scanning,4471,2950,1,1520
5,xss,100000,7061,367,92572
6,backdoor,30130,6,0,30124
6,benign,100000,79,45,99876
6,ddos,100000,627,40,99333
6,dos,17072,130,8,16934
6,injection,50363,370,417,49576
6,mitm,822,0,0,822
6,password,100000,134,4,99862
6,ransomware,539,4,3,532
6,scanning,4471,3129,1,1341
6,xss,100000,6165,61,93774
7,backdoor,30130,6,0,30124
7,benign,100000,1,4825,95174
7,ddos,100000,606,350,99044
7,dos,17072,162,7,16903
7,injection,50363,327,3323,46713
7,mitm,822,0,0,822
7,password,100000,71,814,99115
7,ransomware,539,2,0,537
7,scanning,4471,2876,1,1594
7,xss,100000,8161,2,91837
