tau_pre,tau_post,delta_macro_f1,delta_tail_f1,delta_benign_fpr,accepted,changed,helpful,harmful,proposal_rate,harmful_fraction,feasible,reason
-inf,0.0,0.023292557485250165,-0.2683055132586678,0.009933774834437026,113203,7596,6546,52,1.0,0.007881176113973931,False,"benign_fpr,tail_f1,protected_class_f1"
-inf,0.0015887017361819744,0.023294314066979682,-0.2683055132586678,0.009933774834437026,111193,7595,6546,52,1.0,0.007881176113973931,False,"benign_fpr,tail_f1,protected_class_f1"
-inf,0.013520341366529465,0.02605255532002937,-0.2552063626158275,0.008278145695364114,92663,7528,6520,46,1.0,0.007005787389582699,False,"benign_fpr,tail_f1,protected_class_f1"
-inf,0.040567584335803986,0.03195317867356706,-0.2368856715672354,0.004966887417218402,61775,7417,6469,36,1.0,0.005534204458109147,False,"benign_fpr,tail_f1,protected_class_f1"
-inf,0.08958851173520088,0.032598840104170024,-0.2323898499932805,0.004966887417218402,30888,7197,6338,8,1.0,0.0012606366214938543,False,"benign_fpr,tail_f1,protected_class_f1"
-inf,0.1528833955526352,0.04305058447365162,-0.17029990850334775,0.0016556291390728006,12350,6886,6075,2,1.0,0.0003291097581043278,False,"benign_fpr,tail_f1,protected_class_f1"
-inf,0.30280329287052155,0.06671219366866521,-0.03682589453177254,0.0,6178,5002,4774,0,1.0,0.0,False,"tail_f1,protected_class_f1"
-inf,1.0636159777641296,0.027001894766687684,0.0,0.0,1236,1084,1084,0,1.0,0.0,True,
0.0,0.0,0.023292557485250165,-0.2683055132586678,0.009933774834437026,113203,7596,6546,52,1.0,0.007881176113973931,False,"benign_fpr,tail_f1,protected_class_f1"
0.0,0.0015887017361819744,0.023294314066979682,-0.2683055132586678,0.009933774834437026,111193,7595,6546,52,1.0,0.007881176113973931,False,"benign_fpr,tail_f1,protected_class_f1"
0.0,0.013520341366529465,0.02605255532002937,-0.2552063626158275,0.008278145695364114,92663,7528,6520,46,1.0,0.007005787389582699,False,"benign_fpr,tail_f1,protected_class_f1"
0.0,0.040567584335803986,0.03195317867356706,-0.2368856715672354,0.004966887417218402,61775,7417,6469,36,1.0,0.005534204458109147,False,"benign_fpr,tail_f1,protected_class_f1"
0.0,0.08958851173520088,0.032598840104170024,-0.2323898499932805,0.004966887417218402,30888,7197,6338,8,1.0,0.0012606366214938543,False,"benign_fpr,tail_f1,protected_class_f1"
0.0,0.1528833955526352,0.04305058447365162,-0.17029990850334775,0.0016556291390728006,12350,6886,6075,2,1.0,0.0003291097581043278,False,"benign_fpr,tail_f1,protected_class_f1"
0.0,0.30280329287052155,0.06671219366866521,-0.03682589453177254,0.0,6178,5002,4774,0,1.0,0.0,False,"tail_f1,protected_class_f1"
0.0,1.0636159777641296,0.027001894766687684,0.0,0.0,1236,1084,1084,0,1.0,0.0,True,
