policy,class,support,f1,precision,recall,H,D
global,backdoor,40030,0.9988014981273409,0.998302969802845,0.9993005246065451,0,0
global,benign,1474302,0.9106389854364749,0.9674572645334155,0.8601243164561941,0,0
global,ddos,103338,0.9726375066372436,0.979292349646371,0.966072499951615,0,0
global,dos,22458,0.9839367271917121,0.9846167565880412,0.9832576364769793,0,0
global,injection,68891,0.9294372810927289,0.8998341895675338,0.9610544193000538,0,0
global,mitm,1161,0.055802456149577934,0.02877990560407964,0.9138673557278209,0,0
global,password,210951,0.8905535611474243,0.8045058723195949,0.9972126228365829,0,0
global,ransomware,709,0.13968527699935332,0.07562142607072003,0.9139633286318759,0,0
global,scanning,6029,0.1479109484598963,0.9168241965973535,0.08044451816221596,0,0
global,xss,343854,0.8099992625524115,0.7401461294468163,0.8944115816596578,0,0
regime_route,backdoor,40030,0.9981293492629636,0.9965634027293555,0.9997002248313764,16,0
regime_route,benign,1474302,0.8913604220779953,0.9982591759090129,0.805141687388337,14664,95725
regime_route,ddos,103338,0.9676241012035222,0.9612483049714471,0.9740850413207145,2001,1173
regime_route,dos,22458,0.9378349183487599,0.8943243789133508,0.9857957075429691,57,0
regime_route,injection,68891,0.8798619926439475,0.7976488362211416,0.9809699380180285,1604,232
regime_route,mitm,1161,0.03492102288350493,0.017775773316122612,0.9844961240310077,85,3
regime_route,password,210951,0.891930203731367,0.8064208372606266,0.9977245900706799,177,69
regime_route,ransomware,709,0.12609154591689856,0.0676482701812191,0.926657263751763,9,0
regime_route,scanning,6029,0.16354398221657668,0.09150494541290743,0.7687842096533422,4150,0
regime_route,xss,343854,0.857904667934777,0.7621899696804016,0.9811111692753319,30220,408
regime_route+V,backdoor,40030,0.9991386305474065,0.9985776668746101,0.9997002248313764,16,0
regime_route+V,benign,1474302,0.9285820802603728,0.9955304825899142,0.8700707182110585,14664,0
regime_route+V,ddos,103338,0.985173970038359,0.9849119379455089,0.9854361415936055,2001,0
regime_route+V,dos,22458,0.9860152318175744,0.9862348538845331,0.9857957075429691,57,0
regime_route+V,injection,68891,0.948592051701708,0.9153517001201356,0.9843375767516802,1604,0
regime_route+V,mitm,1161,0.06082802547770701,0.03138092499794627,0.9870801033591732,85,0
regime_route+V,password,210951,0.89232281962822,0.8068490578329968,0.9980516802480197,177,0
regime_route+V,ransomware,709,0.1417017146554513,0.07671648762260626,0.926657263751763,9,0
regime_route+V,scanning,6029,0.8658696058285074,0.9910198845413727,0.7687842096533422,4150,0
regime_route+V,xss,343854,0.8701175082531418,0.7809334661990165,0.9822977193809,30220,0
class_route,backdoor,40030,0.9955947136563876,0.991916286451101,0.9993005246065451,0,0
class_route,benign,1474302,0.8973888386236231,0.9972460928268223,0.8157094001093399,14217,79698
class_route,ddos,103338,0.9689369859025065,0.9718185092526794,0.966072499951615,0,0
class_route,dos,22458,0.9803810065396645,0.9634183037441431,0.9979517321221836,330,0
class_route,injection,68891,0.9152549373240357,0.8703849175176748,0.9650026854015764,478,206
class_route,mitm,1161,0.03758213343251333,0.019185562909117212,0.9138673557278209,0,0
class_route,password,210951,0.8923157843388851,0.8073867387199287,0.9972126228365829,0,0
class_route,ransomware,709,0.13456438463805126,0.07231841216216216,0.9661495063469676,37,0
class_route,scanning,6029,0.18926771212545507,0.10579764024497623,0.8968319787692818,4922,0
class_route,xss,343854,0.8692555725484392,0.769209242555516,0.9992176912294172,36145,107
class_route+V,backdoor,40030,0.998826437613923,0.9983528002395927,0.9993005246065451,0,0
class_route+V,benign,1474302,0.9287886453541917,0.9964030649709502,0.8697675238858795,14217,0
class_route+V,ddos,103338,0.9767532874139011,0.9876728862858387,0.966072499951615,0,0
class_route+V,dos,22458,0.991856965834661,0.9858361924870238,0.9979517321221836,330,0
class_route+V,injection,68891,0.9523918337034684,0.9372856580648788,0.967992916346112,478,0
class_route+V,mitm,1161,0.056158365532207696,0.02896928327645051,0.9138673557278209,0,0
class_route+V,password,210951,0.8920906326730532,0.8070181495931591,0.9972126228365829,0,0
class_route+V,ransomware,709,0.14715359828141783,0.07964190210440647,0.9661495063469676,37,0
class_route+V,scanning,6029,0.943630017452007,0.995580924323329,0.8968319787692818,4922,0
class_route+V,xss,343854,0.8786750795095463,0.7838938787798614,0.9995288698110244,36145,0
union,backdoor,40030,0.9992259868667449,0.998702335795568,0.9997501873594804,18,0
union,benign,1474302,0.933088602405396,0.9990299822950479,0.8753131990596228,22393,0
union,ddos,103338,0.9886207848703429,0.9898051236286388,0.9874392769358803,2208,0
union,dos,22458,0.9933082206957677,0.9886203246294989,0.998040787247306,332,0
union,injection,68891,0.9751621937816854,0.9531769793745841,0.9981855394754032,2558,0
union,mitm,1161,0.06622326701450605,0.03425165327244151,0.9948320413436692,94,0
union,password,210951,0.8935767834729808,0.808298780651521,0.9989713250944532,371,0
union,ransomware,709,0.14754981152396338,0.07987406716417911,0.9661495063469676,37,0
union,scanning,6029,0.9470020015664433,0.9961552544855364,0.902471388289932,4956,0
union,xss,343854,0.8842303224735881,0.7927679607328454,0.9995492272883258,36152,0
