model,model_index,class,class_index,target_cal_fpr,threshold,cal_fpr_weighted,cal_recall,cal_positive_rows,cal_negative_rows
global,0,benign,0,0.001,0.9295300228916915,0.0009846388358755757,0.5688581314878892,27455,59944
global,0,benign,0,0.01,0.8211698500274042,0.009995640025380018,0.8364960845019123,27455,59944
global,0,bot,1,0.001,0.029546410336299463,0.0009979023305122451,1.0,563,86836
global,0,bot,1,0.01,0.022365807208849224,0.009997143446392822,1.0,563,86836
global,0,brute_force,2,0.001,0.002640842327542417,0.000997355646464759,1.0,15811,71588
global,0,brute_force,2,0.01,0.0023529898640040946,0.009999145773604242,1.0,15811,71588
global,0,ddos,3,0.001,0.005916401870323271,0.0009984233215736338,1.0,25740,61659
global,0,ddos,3,0.01,0.003695096876116004,0.009998833682003574,1.0,25740,61659
global,0,dos,4,0.001,0.021852670215575163,0.0009997668410514449,0.9999309153713298,14475,72924
global,0,dos,4,0.01,0.017504220221686052,0.009999725959172954,0.9999309153713298,14475,72924
global,0,infiltration,5,0.001,0.9201145301310231,0.0009793098059789546,0.0006097560975609756,3280,84119
global,0,infiltration,5,0.01,0.41368163425814597,0.009982641893204832,0.19176829268292683,3280,84119
global,0,web_attacks,6,0.001,0.49921452422101015,0.0009886798509391036,0.2,75,87324
global,0,web_attacks,6,0.01,0.04342231617765351,0.009986390281387062,0.22666666666666666,75,87324
expert1,1,benign,0,0.001,0.7836374712174754,0.0009846388358755757,0.5691495173920962,27455,59944
expert1,1,benign,0,0.01,0.44227175236714106,0.009998932250055307,0.8389728646876707,27455,59944
expert1,1,bot,1,0.001,0.04099285006870524,0.000990141613602993,1.0,563,86836
expert1,1,bot,1,0.01,0.003438979815294218,0.00997762771302014,1.0,563,86836
expert1,1,brute_force,2,0.001,0.0053924669144661975,0.0009955921652265165,1.0,15811,71588
expert1,1,brute_force,2,0.01,0.0028086311286138776,0.00999908540730699,1.0,15811,71588
expert1,1,ddos,3,0.001,0.019351123811753707,0.0009708251339706177,1.0,25740,61659
expert1,1,ddos,3,0.01,0.002394674682776718,0.00998751498653542,1.0,25740,61659
expert1,1,dos,4,0.001,0.06835791250343741,0.0009894266899222832,1.0,14475,72924
expert1,1,dos,4,0.01,0.010253445204622083,0.009999423865349358,1.0,14475,72924
expert1,1,infiltration,5,0.001,0.9921230881714195,0.0009793098059789546,0.0,3280,84119
expert1,1,infiltration,5,0.01,0.8043940174549986,0.009982641893204832,0.19054878048780488,3280,84119
expert1,1,web_attacks,6,0.001,0.8891964979027668,0.0009886798509391036,0.2,75,87324
expert1,1,web_attacks,6,0.01,0.15158798987899502,0.009996678699796495,1.0,75,87324
expert2,2,benign,0,0.001,0.9720102295806545,0.0009846388358755757,0.42331087233655074,27455,59944
expert2,2,benign,0,0.01,0.9477097034282002,0.009985435917716478,0.7960662902932071,27455,59944
expert2,2,bot,1,0.001,0.01181152532173486,0.0009984082865766542,1.0,563,86836
expert2,2,bot,1,0.01,0.009526941585189446,0.009999354535292994,1.0,563,86836
expert2,2,brute_force,2,0.001,0.0019467453587970708,0.0009658975601248673,1.0,15811,71588
expert2,2,brute_force,2,0.01,0.0012118859610042616,0.009985702409392106,1.0,15811,71588
expert2,2,ddos,3,0.001,0.008931445221977656,0.0009834891012973162,1.0,25740,61659
expert2,2,ddos,3,0.01,0.00439758271149371,0.009998777625932497,1.0,25740,61659
expert2,2,dos,4,0.001,0.012737476718962956,0.0007100615466890967,1.0,14475,72924
expert2,2,dos,4,0.01,0.004977703138002131,0.009963199255091343,1.0,14475,72924
expert2,2,infiltration,5,0.001,0.9154501445135228,0.0009793098059789546,0.0,3280,84119
expert2,2,infiltration,5,0.01,0.15240486309588913,0.009982641893204832,0.031097560975609756,3280,84119
expert2,2,web_attacks,6,0.001,0.7602041488668205,0.0009908007741409551,0.21333333333333335,75,87324
expert2,2,web_attacks,6,0.01,0.024100936833451294,0.009997598558230798,0.76,75,87324
expert3,3,benign,0,0.001,0.7592107246381858,0.0009846388358755757,0.5295574576579858,27455,59944
expert3,3,benign,0,0.01,0.4729160294793846,0.009986015602288015,0.8299034784192315,27455,59944
expert3,3,bot,1,0.001,0.026382178129497755,0.0009980606428323944,1.0,563,86836
expert3,3,bot,1,0.01,0.00988319345763173,0.009998324518409355,1.0,563,86836
expert3,3,brute_force,2,0.001,0.0072941676304530785,0.0009887991457845644,1.0,15811,71588
expert3,3,brute_force,2,0.01,0.0020865113835510356,0.00999923552683813,1.0,15811,71588
expert3,3,ddos,3,0.001,0.017945769812574886,0.0009952304446761689,1.0,25740,61659
expert3,3,ddos,3,0.01,0.0024582278903831824,0.00991725521868385,1.0,25740,61659
expert3,3,dos,4,0.001,0.06122695883201014,0.0009575096999247902,1.0,14475,72924
expert3,3,dos,4,0.01,0.038774950404978706,0.0021703553198295254,1.0,14475,72924
expert3,3,infiltration,5,0.001,0.9412537572205815,0.0009793098059789546,0.0,3280,84119
expert3,3,infiltration,5,0.01,0.7274371130343675,0.009982641893204832,0.01768292682926829,3280,84119
expert3,3,web_attacks,6,0.001,0.8035548662846055,0.0009844380045354012,0.2,75,87324
expert3,3,web_attacks,6,0.01,0.14550824729871994,0.009981095103137546,0.22666666666666666,75,87324
expert4,4,benign,0,0.001,0.7469684339254,0.0009924534298110961,0.5593152431251138,27455,59944
expert4,4,benign,0,0.01,0.4557921506861269,0.009993830196223536,0.8368967401201967,27455,59944
expert4,4,bot,1,0.001,0.023747291815283716,0.000990141613602993,1.0,563,86836
expert4,4,bot,1,0.01,0.011062940478581518,0.009999372810563673,1.0,563,86836
expert4,4,brute_force,2,0.001,0.00246167658476442,0.0009742103066441012,1.0,15811,71588
expert4,4,brute_force,2,0.01,0.0010722905000788703,0.009982439115639145,1.0,15811,71588
expert4,4,ddos,3,0.001,0.039915296410068274,0.0009697863018617573,1.0,25740,61659
expert4,4,ddos,3,0.01,0.005192021746219367,0.009907248376007637,1.0,25740,61659
expert4,4,dos,4,0.001,0.09556684152478183,0.0009922228208043005,1.0,14475,72924
expert4,4,dos,4,0.01,0.05803577661390438,0.00999751021250242,1.0,14475,72924
expert4,4,infiltration,5,0.001,0.8610096561024153,0.0009793098059789546,0.0,3280,84119
expert4,4,infiltration,5,0.01,0.7473457206347512,0.009982641893204832,0.01920731707317073,3280,84119
expert4,4,web_attacks,6,0.001,0.8291252153710338,0.0009886798509391036,0.2,75,87324
expert4,4,web_attacks,6,0.01,0.1498897384666723,0.009995612310815005,0.22666666666666666,75,87324
expert5,5,benign,0,0.001,0.8176452083122008,0.0009924534298110961,0.4572209069386268,27455,59944
expert5,5,benign,0,0.01,0.45340324725678693,0.009991117656119784,0.8354033873611364,27455,59944
expert5,5,bot,1,0.001,0.04031721094573575,0.0009967936566680662,1.0,563,86836
expert5,5,bot,1,0.01,0.02262891653965812,0.009999734059765772,1.0,563,86836
expert5,5,brute_force,2,0.001,0.015447652689686547,0.00099828914528568,1.0,15811,71588
expert5,5,brute_force,2,0.01,0.010421820203455166,0.00999767781711099,1.0,15811,71588
expert5,5,ddos,3,0.001,0.018627256556752188,0.000984238830607721,1.0,25740,61659
expert5,5,ddos,3,0.01,0.0028273761087842927,0.009994429830952714,1.0,25740,61659
expert5,5,dos,4,0.001,0.2365593428941213,0.0007660077599398323,1.0,14475,72924
expert5,5,dos,4,0.01,0.2365593428941213,0.0007660077599398323,1.0,14475,72924
expert5,5,infiltration,5,0.001,0.9648342225596013,0.0009793098059789546,0.0,3280,84119
expert5,5,infiltration,5,0.01,0.780250070872722,0.009982641893204832,0.14939024390243902,3280,84119
expert5,5,web_attacks,6,0.001,0.844326531309476,0.000986558927737252,0.21333333333333335,75,87324
expert5,5,web_attacks,6,0.01,0.16012968058340418,0.009993251574623559,0.22666666666666666,75,87324
expert6,6,benign,0,0.001,0.5875411148621225,0.000998975918243694,0.5329083955563649,27455,59944
expert6,6,benign,0,0.01,0.3554248684166179,0.00999721977316456,0.723474776907667,27455,59944
expert6,6,bot,1,0.001,0.02263498778948521,0.0009975374914462274,1.0,563,86836
expert6,6,bot,1,0.01,0.006875887308895566,0.00999771174513886,1.0,563,86836
expert6,6,brute_force,2,0.001,0.003777877440866893,0.0009178800380601018,1.0,15811,71588
expert6,6,brute_force,2,0.01,0.0010029705958208136,0.0099776934346902,1.0,15811,71588
expert6,6,ddos,3,0.001,0.016790045461153605,0.0007966101765293004,1.0,25740,61659
expert6,6,ddos,3,0.01,0.005588235054187617,0.009991254292027718,1.0,25740,61659
expert6,6,dos,4,0.001,0.08930235886478775,0.0009981841300545583,0.9999309153713298,14475,72924
expert6,6,dos,4,0.01,0.02422554407005112,0.009996597775989161,1.0,14475,72924
expert6,6,infiltration,5,0.001,0.9052278225250173,0.0009793098059789546,0.0,3280,84119
expert6,6,infiltration,5,0.01,0.8559717791841802,0.009982641893204832,0.02926829268292683,3280,84119
expert6,6,web_attacks,6,0.001,0.7943091271886065,0.0009886798509391036,0.21333333333333335,75,87324
expert6,6,web_attacks,6,0.01,0.11887306554139174,0.009980730840422105,0.8666666666666667,75,87324
expert7,7,benign,0,0.001,0.7145390400823562,0.0009924534298110961,0.5599708614095793,27455,59944
expert7,7,benign,0,0.01,0.42904372212785646,0.00998940517922904,0.8226552540520853,27455,59944
