policy,true_class,predicted_class,rows
global,benign,benign,2647875
global,benign,bot,5
global,benign,brute_force,0
global,benign,ddos,9
global,benign,dos,12
global,benign,infiltration,3938
global,benign,web_attacks,364
global,bot,benign,147
global,bot,bot,41395
global,bot,brute_force,0
global,bot,ddos,0
global,bot,dos,0
global,bot,infiltration,0
global,bot,web_attacks,0
global,brute_force,benign,20
global,brute_force,bot,0
global,brute_force,brute_force,37676
global,brute_force,ddos,0
global,brute_force,dos,0
global,brute_force,infiltration,0
global,brute_force,web_attacks,0
global,ddos,benign,452
global,ddos,bot,0
global,ddos,brute_force,0
global,ddos,ddos,262218
global,ddos,dos,0
global,ddos,infiltration,10
global,ddos,web_attacks,0
global,dos,benign,615
global,dos,bot,0
global,dos,brute_force,0
global,dos,ddos,0
global,dos,dos,38868
global,dos,infiltration,0
global,dos,web_attacks,0
global,infiltration,benign,5945
global,infiltration,bot,0
global,infiltration,brute_force,0
global,infiltration,ddos,0
global,infiltration,dos,0
global,infiltration,infiltration,2733
global,infiltration,web_attacks,64
global,web_attacks,benign,16
global,web_attacks,bot,0
global,web_attacks,brute_force,0
global,web_attacks,ddos,0
global,web_attacks,dos,0
global,web_attacks,infiltration,0
global,web_attacks,web_attacks,111
assignment_oracle,benign,benign,2651694
assignment_oracle,benign,bot,6
assignment_oracle,benign,brute_force,0
assignment_oracle,benign,ddos,3
assignment_oracle,benign,dos,4
assignment_oracle,benign,infiltration,223
assignment_oracle,benign,web_attacks,273
assignment_oracle,bot,benign,125
assignment_oracle,bot,bot,41406
assignment_oracle,bot,brute_force,0
assignment_oracle,bot,ddos,0
assignment_oracle,bot,dos,0
assignment_oracle,bot,infiltration,11
assignment_oracle,bot,web_attacks,0
assignment_oracle,brute_force,benign,0
assignment_oracle,brute_force,bot,0
assignment_oracle,brute_force,brute_force,37676
assignment_oracle,brute_force,ddos,0
assignment_oracle,brute_force,dos,0
assignment_oracle,brute_force,infiltration,0
assignment_oracle,brute_force,web_attacks,20
assignment_oracle,ddos,benign,16
assignment_oracle,ddos,bot,0
assignment_oracle,ddos,brute_force,0
assignment_oracle,ddos,ddos,262587
assignment_oracle,ddos,dos,0
assignment_oracle,ddos,infiltration,0
assignment_oracle,ddos,web_attacks,77
assignment_oracle,dos,benign,4
assignment_oracle,dos,bot,0
assignment_oracle,dos,brute_force,0
assignment_oracle,dos,ddos,0
assignment_oracle,dos,dos,38871
assignment_oracle,dos,infiltration,2
assignment_oracle,dos,web_attacks,606
assignment_oracle,infiltration,benign,1074
assignment_oracle,infiltration,bot,0
assignment_oracle,infiltration,brute_force,0
assignment_oracle,infiltration,ddos,0
assignment_oracle,infiltration,dos,0
assignment_oracle,infiltration,infiltration,7556
assignment_oracle,infiltration,web_attacks,112
assignment_oracle,web_attacks,benign,16
assignment_oracle,web_attacks,bot,0
assignment_oracle,web_attacks,brute_force,0
assignment_oracle,web_attacks,ddos,0
assignment_oracle,web_attacks,dos,0
assignment_oracle,web_attacks,infiltration,0
assignment_oracle,web_attacks,web_attacks,111
expert1_always,benign,benign,2148864
expert1_always,benign,bot,400
expert1_always,benign,brute_force,0
expert1_always,benign,ddos,8
expert1_always,benign,dos,659
expert1_always,benign,infiltration,486645
expert1_always,benign,web_attacks,15627
expert1_always,bot,benign,125
expert1_always,bot,bot,41406
expert1_always,bot,brute_force,0
expert1_always,bot,ddos,0
expert1_always,bot,dos,0
expert1_always,bot,infiltration,11
expert1_always,bot,web_attacks,0
expert1_always,brute_force,benign,0
expert1_always,brute_force,bot,0
expert1_always,brute_force,brute_force,37676
expert1_always,brute_force,ddos,0
expert1_always,brute_force,dos,0
expert1_always,brute_force,infiltration,0
expert1_always,brute_force,web_attacks,20
expert1_always,ddos,benign,142
expert1_always,ddos,bot,0
expert1_always,ddos,brute_force,0
expert1_always,ddos,ddos,262484
expert1_always,ddos,dos,0
expert1_always,ddos,infiltration,36
expert1_always,ddos,web_attacks,18
expert1_always,dos,benign,6
expert1_always,dos,bot,0
