condition,policy,rows,macro_f1,accuracy,tail_f1,benign_f1,calls,accepted,changed,H,D,net_correction
1,global,3042473,0.8106530623034781,0.996188298137732,0.5619688283502156,0.9978288284774497,0,0,0,0,0,0
2,fixed_region,3042473,0.7477221962578674,0.9721667209536453,0.4215933511290329,0.9838334748636116,3042473,3042473,76914,1872,74957,-73085
3,expert1_always,3042473,0.7020462869049806,0.8336205448659693,0.3452153188394038,0.8947752271067846,3042473,3042473,504540,4605,499213,-494608
3,expert2_always,3042473,0.7945857718699603,0.9956597807112832,0.5269582499326736,0.997538781820203,3042473,3042473,9480,3903,5511,-1608
3,expert3_always,3042473,0.7130264278246633,0.8471716922385178,0.36514318810377094,0.9041891636140439,3042473,3042473,463020,4477,457856,-453379
3,expert4_always,3042473,0.7123898776408842,0.8450651821725287,0.36432346390686815,0.9027427226350307,3042473,3042473,469046,4266,464054,-459788
3,expert5_always,3042473,0.7069242749013213,0.8344553920445638,0.35542481707100837,0.8954443460811473,3042473,3042473,502252,4779,496847,-492068
3,expert6_always,3042473,0.7000738881272869,0.7335121790727477,0.3635482126370202,0.8198829090693991,3042473,3042473,811367,5720,804905,-799185
3,expert7_always,3042473,0.7083902200884477,0.8304737626266527,0.35811909431722616,0.8924946354504449,3042473,3042473,513376,4514,508696,-504182
3,expert8_always,3042473,0.7280196612258447,0.8358348619691941,0.402757910279933,0.8961862962402539,3042473,3042473,497448,4755,492626,-487871
4,scorer_only,3042473,0.8106530623034781,0.996188298137732,0.5619688283502156,0.9978288284774497,0,0,0,0,0,0
5,scorer_verifier,3042473,0.8106530623034781,0.996188298137732,0.5619688283502156,0.9978288284774497,0,0,0,0,0,0
