region,model,rows,classes_present,accuracy,macro_f1_present
1,global,41370,2,0.9999033115784385,0.49997582672597174
1,expert1,41370,2,0.9999033115784385,0.49997582672597174
1,train_region_constant,41370,2,0.9999033115784385,0.49997582672597174
2,global,2549948,7,0.9978693683165304,0.31569833089229954
2,expert2,2549948,7,0.9967391491904933,0.18091185006410207
2,train_region_constant,2549948,7,0.9966850304398365,0.1426199662004325
3,global,6686,1,1.0,1.0
3,expert3,6686,1,1.0,1.0
3,train_region_constant,6686,1,1.0,1.0
4,global,38875,2,0.9996913183279743,0.7999227997941327
4,expert4,38875,2,0.9995627009646302,0.6599099354108232
4,train_region_constant,38875,2,0.999459807073955,0.49986491528258437
5,global,30990,1,1.0,1.0
5,expert5,30990,1,1.0,1.0
5,train_region_constant,30990,1,1.0,1.0
6,global,120135,4,0.9542015232863029,0.6180815051128074
6,expert6,120135,4,0.36762808507096184,0.4087428318865101
6,train_region_constant,120135,4,0.03567653056977567,0.017223780551514616
7,global,253572,2,0.9999763380814917,0.4999940844503863
7,expert7,253572,2,0.9999921126938306,0.8999980281345759
7,train_region_constant,253572,2,0.9999763380814917,0.4999940844503863
8,global,897,5,0.28651059085841696,0.16130930045564193
8,expert8,897,5,0.5830546265328874,0.21835476351605382
8,train_region_constant,897,5,0.13043478260869565,0.046153846153846156
