model,class,test_average_precision,test_prevalence
global,benign,0.9995523736997177,0.8717260596889438
global,bot,0.9974431736304474,0.013654024209910819
global,brute_force,0.9999909663236543,0.012389920962322427
global,ddos,0.9999965576401019,0.08633766018630239
global,dos,0.9908651997096131,0.012977272107262744
global,infiltration,0.21778744065149516,0.002873320486328063
global,web_attacks,0.2611160607478074,4.1742358929725915e-05
expert1,benign,0.9995610534818846,0.8717260596889438
expert1,bot,0.9980968925539231,0.013654024209910819
expert1,brute_force,0.999998160870132,0.012389920962322427
expert1,ddos,0.9999998500442144,0.08633766018630239
expert1,dos,0.9991524921880037,0.012977272107262744
expert1,infiltration,0.14143230490463615,0.002873320486328063
expert1,web_attacks,0.18793669384727776,4.1742358929725915e-05
expert2,benign,0.9990499369990782,0.8717260596889438
expert2,bot,0.999563923936071,0.013654024209910819
expert2,brute_force,0.9996424174470492,0.012389920962322427
expert2,ddos,0.9999976134057807,0.08633766018630239
expert2,dos,0.9999369814283493,0.012977272107262744
expert2,infiltration,0.1516690724616448,0.002873320486328063
expert2,web_attacks,0.1998351026277972,4.1742358929725915e-05
expert3,benign,0.999509271768012,0.8717260596889438
expert3,bot,0.997986556475413,0.013654024209910819
expert3,brute_force,0.9999354680272932,0.012389920962322427
expert3,ddos,0.9999999599448742,0.08633766018630239
expert3,dos,0.9978854767575764,0.012977272107262744
expert3,infiltration,0.12316222262365413,0.002873320486328063
expert3,web_attacks,0.23346237933710773,4.1742358929725915e-05
expert4,benign,0.9995437977912758,0.8717260596889438
expert4,bot,0.9976839698698688,0.013654024209910819
expert4,brute_force,0.999918332555783,0.012389920962322427
expert4,ddos,0.9999963148092419,0.08633766018630239
expert4,dos,0.9994880029543922,0.012977272107262744
expert4,infiltration,0.11641302350795213,0.002873320486328063
expert4,web_attacks,0.19795314822983315,4.1742358929725915e-05
expert5,benign,0.9994779041317887,0.8717260596889438
expert5,bot,0.9977538774569629,0.013654024209910819
expert5,brute_force,1.0,0.012389920962322427
expert5,ddos,0.9999944410197578,0.08633766018630239
expert5,dos,0.9949434987997692,0.012977272107262744
expert5,infiltration,0.16708690371005736,0.002873320486328063
expert5,web_attacks,0.12793807775114457,4.1742358929725915e-05
expert6,benign,0.9993449992315074,0.8717260596889438
expert6,bot,0.9972182567582665,0.013654024209910819
expert6,brute_force,0.9998242306407781,0.012389920962322427
expert6,ddos,0.9999994792524773,0.08633766018630239
expert6,dos,0.996068771334935,0.012977272107262744
expert6,infiltration,0.09439287108963858,0.002873320486328063
expert6,web_attacks,0.20866220648761621,4.1742358929725915e-05
expert7,benign,0.9993882732866863,0.8717260596889438
expert7,bot,0.9978188424961537,0.013654024209910819
expert7,brute_force,0.9999464635913976,0.012389920962322427
expert7,ddos,0.999999959816267,0.08633766018630239
expert7,dos,0.997996601481635,0.012977272107262744
expert7,infiltration,0.1355089365038689,0.002873320486328063
expert7,web_attacks,0.1461846525120298,4.1742358929725915e-05
expert8,benign,0.9992974181568036,0.8717260596889438
expert8,bot,0.9974237984839772,0.013654024209910819
expert8,brute_force,0.9997663398447246,0.012389920962322427
expert8,ddos,0.9999977024885731,0.08633766018630239
expert8,dos,0.995556390940885,0.012977272107262744
expert8,infiltration,0.13868476748965083,0.002873320486328063
expert8,web_attacks,0.12650690722180988,4.1742358929725915e-05
