condition,policy,class,support,TP,FP,FN,TN,precision,recall,f1,fpr,H,D,calls,accepted
0,region_constant,backdoor,40030,0,0,40030,2231693,0.0,0.0,0.0,0.0,0,39996,40030,40030
0,region_constant,benign,1474302,0,0,1474302,797421,0.0,0.0,0.0,0.0,0,1272555,1474302,1474302
0,region_constant,ddos,103338,0,0,103338,2168385,0.0,0.0,0.0,0.0,0,98914,103338,103338
0,region_constant,dos,22458,22185,25356,273,2223909,0.4666498390862624,0.9878439754207855,0.6338661980885442,0.011273015851844936,138,12,22458,22458
0,region_constant,injection,68891,67534,49231,1357,2153601,0.5783753693315634,0.9803022165449768,0.7275175593570905,0.0223489580685227,1418,93,68891,68891
0,region_constant,mitm,1161,0,0,1161,2270562,0.0,0.0,0.0,0.0,0,1062,1161,1161
0,region_constant,password,210951,210139,1766720,812,294052,0.10629943764325124,0.9961507648695669,0.1920998624194971,0.8573097848767355,136,361,210951,210951
0,region_constant,ransomware,709,648,7896,61,2263118,0.07584269662921349,0.9139633286318759,0.14006268237328434,0.0034768609968938986,0,0,709,709
0,region_constant,scanning,6029,3820,6228,2209,2259466,0.3801751592356688,0.6336042461436391,0.4752130372581949,0.0027488266288386693,3368,0,6029,6029
0,region_constant,xss,343854,28972,82994,314882,1844875,0.25875712269796186,0.08425669033950456,0.12712035452590936,0.043049605548924744,27522,305833,343854,343854
