condition,policy,class,support,TP,FP,FN,TN,precision,recall,f1,fpr,H,D,calls,accepted,recall_upper_bound,individual_f1_upper_not_joint
0,fixed_call_bank_oracle,benign,2652203,2647875,7195,4328,383075,0.9972900902801056,0.9983681490443982,0.9978288284774497,0.018435954595536423,0,0,0,0,0.9983681490443982,0.9978288284774497
1,global,benign,2652203,2647875,7195,4328,383075,0.9972900902801056,0.9983681490443982,0.9978288284774496,0.0184359545955364,0,0,0,0,,
2,fixed_region,benign,2652203,2576652,9129,75551,381141,0.9964695386036172,0.97151386979051,0.9838334748636116,0.0233914981935583,793,72016,2652203,2652203,,
3,expert1_always,benign,2652203,2148864,2070,503339,388200,0.9990376273748984,0.8102185239968434,0.8947752271067846,0.0053040202936428,172,499183,2652203,2652203,,
3,expert2_always,benign,2652203,2651694,12576,509,377694,0.9952797576822168,0.999808084071996,0.997538781820203,0.0322238450303635,3898,79,2652203,2652203,,
3,expert3_always,benign,2652203,2190528,2556,461675,387714,0.99883451796648,0.8259277287598272,0.904189163614044,0.006549312014759,490,457837,2652203,2652203,,
3,expert4_always,benign,2652203,2184098,2504,468105,387766,0.998854844182892,0.8235033291192265,0.9027427226350307,0.0064160709252568,232,464009,2652203,2652203,,
3,expert5_always,benign,2652203,2151952,2290,500251,387980,0.9989369810819768,0.811382839096404,0.8954443460811473,0.0058677325953826,390,496313,2652203,2652203,,
3,expert6_always,benign,2652203,1843444,1200,808759,389070,0.999349467973224,0.6950614262935378,0.8198829090693991,0.0030747943731262,424,804855,2652203,2652203,,
3,expert7_always,benign,2652203,2139921,3246,512282,387024,0.9984854190084114,0.8068466101576689,0.8924946354504449,0.0083173187793066,651,508605,2652203,2652203,,
3,expert8_always,benign,2652203,2155855,3118,496348,387152,0.9985557948154052,0.8128544459077982,0.8961862962402539,0.0079893407128398,466,492486,2652203,2652203,,
4,scorer_only,benign,2652203,2647875,7195,4328,383075,0.9972900902801056,0.9983681490443982,0.9978288284774496,0.0184359545955364,0,0,0,0,,
5,scorer_verifier,benign,2652203,2647875,7195,4328,383075,0.9972900902801056,0.9983681490443982,0.9978288284774496,0.0184359545955364,0,0,0,0,,
6,bank_oracle,benign,2652203,2652026,1335,177,388935,0.9994968645427441,0.9999332630270006,0.9997150161603932,0.0034207087401030055,4151,0,2652203,4151,0.9999332630270006,0.9998495716184247
0,fixed_call_bank_oracle,ddos,262680,262218,9,462,2779784,0.9999656785914494,0.9982412060301508,0.9991026981922512,3.237651148844536e-06,0,0,0,0,0.9982412060301508,0.9991026981922512
1,global,ddos,262680,262218,9,462,2779784,0.9999656785914494,0.9982412060301508,0.9991026981922512,3.237651148844536e-06,0,0,0,0,,
2,fixed_region,ddos,262680,259417,2,3263,2779791,0.9999922904644608,0.9875780417237704,0.9937463967561708,7.194780330765636e-07,10,2811,262680,262680,,
3,expert1_always,ddos,262680,262484,8,196,2779785,0.9999695228806972,0.999253844982488,0.9996115558331364,2.8779121323062545e-06,269,3,262680,262680,,
3,expert2_always,ddos,262680,258437,3,4243,2779790,0.9999883918898004,0.9838472666362114,0.9918521645686216,1.0792170496148454e-06,0,3781,262680,262680,,
3,expert3_always,ddos,262680,262680,15,0,2779778,0.9999428995603266,1.0,0.999971448965025,5.396085248074227e-06,462,0,262680,262680,,
3,expert4_always,ddos,262680,262680,25,0,2779768,0.99990483622314,1.0,0.9999524158474262,8.993475413457045e-06,462,0,262680,262680,,
3,expert5_always,ddos,262680,261805,19,875,2779774,0.999927432168174,0.9966689508146794,0.99829553254122,6.835041314227354e-06,109,522,262680,262680,,
3,expert6_always,ddos,262680,262672,10,8,2779783,0.999961931156303,0.9999695446931628,0.9999657379102408,3.597390165382818e-06,454,0,262680,262680,,
3,expert7_always,ddos,262680,262587,5,93,2779788,0.9999809590543504,0.9996459570580174,0.9998134299943648,1.798695082691409e-06,370,1,262680,262680,,
3,expert8_always,ddos,262680,262680,23,0,2779770,0.9999124486587516,1.0,0.9999562224129824,8.273997380380481e-06,462,0,262680,262680,,
4,scorer_only,ddos,262680,262218,9,462,2779784,0.9999656785914494,0.9982412060301508,0.9991026981922512,3.237651148844536e-06,0,0,0,0,,
5,scorer_verifier,ddos,262680,262218,9,462,2779784,0.9999656785914494,0.9982412060301508,0.9991026981922512,3.237651148844536e-06,0,0,0,0,,
6,bank_oracle,ddos,262680,262680,2,0,2779791,0.9999923862312606,1.0,0.9999961931011379,7.194780330765636e-07,462,0,262680,462,1.0,0.9999961931011379
0,fixed_call_bank_oracle,bot,41542,41395,5,147,3000926,0.9998792270531401,0.9964614125463387,0.9981673940826119,1.6661496049059443e-06,0,0,0,0,0.9964614125463387,0.9981673940826119
1,global,bot,41542,41395,5,147,3000926,0.99987922705314,0.9964614125463388,0.998167394082612,1.6661496049059445e-06,0,0,0,0,,
2,fixed_region,bot,41542,41366,11,176,3000920,0.9997341518234768,0.995763323865004,0.9977447870813686,3.665529130793077e-06,0,29,41542,41542,,
3,expert1_always,bot,41542,41406,411,136,3000520,0.9901714613673864,0.996726204804776,0.9934380210895044,0.0001369574975232,13,2,41542,41542,,
3,expert2_always,bot,41542,41365,6,177,3000925,0.9998549708733172,0.9957392518415098,0.9977928672222692,1.999379525887133e-06,0,30,41542,41542,,
3,expert3_always,bot,41542,41418,61,124,3000870,0.9985293763109044,0.9970150690867076,0.9977716481372184,2.032702517985252e-05,23,0,41542,41542,,
3,expert4_always,bot,41542,41370,46,172,3000885,0.9988893181379176,0.9958596119589812,0.9973721642276816,1.5328576365134686e-05,2,27,41542,41542,,
3,expert5_always,bot,41542,41417,97,125,3000834,0.9976634388399094,0.9969909970632131,0.9973271046041224,3.232330233517532e-05,22,0,41542,41542,,
3,expert6_always,bot,41542,41367,44,175,3000887,0.9989374803796092,0.9957873958884984,0.997359950815522,1.4662116523172307e-05,1,29,41542,41542,,
3,expert7_always,bot,41542,41358,40,184,3000891,0.9990337697473308,0.9955707476770498,0.9972992524716664,1.3329196839247554e-05,1,38,41542,41542,,
3,expert8_always,bot,41542,41373,56,169,3000875,0.9986482898452774,0.995931828029464,0.9972882091333116,1.8660875574946572e-05,7,29,41542,41542,,
4,scorer_only,bot,41542,41395,5,147,3000926,0.99987922705314,0.9964614125463388,0.998167394082612,1.6661496049059445e-06,0,0,0,0,,
5,scorer_verifier,bot,41542,41395,5,147,3000926,0.99987922705314,0.9964614125463388,0.998167394082612,1.6661496049059445e-06,0,0,0,0,,
6,bank_oracle,bot,41542,41422,2,120,3000929,0.9999517188103515,0.9971113571806846,0.9985295181158547,6.664598419623777e-07,27,0,41542,27,0.9971113571806846,0.9985535895087025
0,fixed_call_bank_oracle,dos,39483,38868,12,615,3002978,0.9996913580246913,0.9844236760124611,0.991998774932047,3.996017302754921e-06,0,0,0,0,0.9844236760124611,0.991998774932047
1,global,dos,39483,38868,12,615,3002978,0.9996913580246912,0.9844236760124612,0.991998774932047,3.996017302754921e-06,0,0,0,0,,
2,fixed_region,dos,39483,38868,15,615,3002975,0.9996142272972764,0.9844236760124612,0.9919607993262384,4.995021628443651e-06,0,0,39483,39483,,
3,expert1_always,dos,39483,38921,659,562,3002331,0.9833501768569984,0.985766025884558,0.9845566194047785,0.0002194479502096,53,0,39483,39483,,
3,expert2_always,dos,39483,38868,4,615,3002986,0.9998970981683474,0.9844236760124612,0.9921000574309232,1.3320057675849736e-06,0,0,39483,39483,,
3,expert3_always,dos,39483,38871,26,612,3002964,0.9993315679872484,0.984499658080693,0.9918601684103088,8.658037489302328e-06,3,0,39483,39483,,
3,expert4_always,dos,39483,38871,68,612,3002922,0.998253678830992,0.984499658080693,0.9913289638111754,2.2644098048944552e-05,3,0,39483,39483,,
3,expert5_always,dos,39483,38921,326,562,3002664,0.9916936326343416,0.985766025884558,0.9887209450019052,0.0001085584700581,53,0,39483,39483,,
3,expert6_always,dos,39483,38854,133,629,3002857,0.9965886064585632,0.9840690930273788,0.9902892825283548,4.4289191772200376e-05,3,17,39483,39483,,
3,expert7_always,dos,39483,38886,4,597,3002986,0.9998971457958344,0.9848795684218524,0.9923315427506922,1.3320057675849736e-06,51,33,39483,39483,,
3,expert8_always,dos,39483,38871,16,612,3002974,0.9995885514439272,0.984499658080693,0.9919867296159244,5.328023070339895e-06,3,0,39483,39483,,
4,scorer_only,dos,39483,38868,12,615,3002978,0.9996913580246912,0.9844236760124612,0.991998774932047,3.996017302754921e-06,0,0,0,0,,
5,scorer_verifier,dos,39483,38868,12,615,3002978,0.9996913580246912,0.9844236760124612,0.991998774932047,3.996017302754921e-06,0,0,0,0,,
6,bank_oracle,dos,39483,38923,2,560,3002988,0.9999486191393706,0.9858166805967125,0.9928323640444853,6.660028837924868e-07,55,0,39483,55,0.9858166805967125,0.9928323640444853
