method,class,precision,recall,f1,support
tabpfn_v3,benign,0.9451580531861515,0.56511,0.7073158520558233,100000
tabpfn_v3,bot,0.999831471494607,0.9997111287643533,0.9997712965080587,41541
tabpfn_v3,brute_force,0.8261810730869013,0.99996,0.9048019761665627,100000
tabpfn_v3,ddos,0.9998700168978033,1.0,0.9999350042247254,100000
tabpfn_v3,dos,1.0,0.6525671282161306,0.7897617192961431,60593
tabpfn_v3,infiltration,0.4424209406698316,0.906404464522987,0.5946096719082319,37630
tabpfn_v3,web_attacks,0.39794303797468356,0.9901574803149606,0.5677200902934537,508
tabpfn_v3,macro_avg,,,0.7948450872075714,440272
tabpfn_v3,weighted_avg,,,0.8477813222054535,440272
tabpfn_v3,tail_avg,,,0.7207003529032482,440272
xgboost,benign,0.888833558295876,0.67826,0.7693991798490151,100000
xgboost,bot,0.9994942440152208,0.9990370958811776,0.999265617663701,41541
xgboost,brute_force,0.8260718711276333,0.99996,0.9047364849581543,100000
xgboost,ddos,0.9998500179978402,0.99997,0.999910005399676,100000
xgboost,dos,0.9997471938517545,0.6526496459987127,0.7897432825090615,60593
xgboost,infiltration,0.4763481239911717,0.7685623173000266,0.5881599284145449,37630
xgboost,web_attacks,0.45356176735798015,0.9901574803149606,0.6221397649969078,508
xgboost,macro_avg,,,0.81047918054158,440272
xgboost,weighted_avg,,,0.8613231817330689,440272
xgboost,tail_avg,,,0.7365217703583845,440272
