method,class,precision,recall,f1,support
tabpfn_v3,bot,0.372848948374761,0.9974424552429667,0.5427974947807933,391
tabpfn_v3,ddos,0.9986726009213711,0.9990236281976177,0.9988480837189324,25605
tabpfn_v3,dos-goldeneye,0.9757373929590866,0.9961146187469645,0.9858207161739966,2059
tabpfn_v3,dos-hulk,0.9953194071249025,0.9979793590439978,0.9966476083017803,46025
tabpfn_v3,dos-slowhttptest,0.9527145359019265,0.9890909090909091,0.9705619982158786,1100
tabpfn_v3,dos-slowloris,0.9829205807002562,0.9930974978429681,0.9879828326180258,1159
tabpfn_v3,ftp-patator,0.9606060606060606,0.9987397605545053,0.9793018226753166,1587
tabpfn_v3,heartbleed,0.2857142857142857,1.0,0.4444444444444444,2
tabpfn_v3,infiltration,0.2631578947368421,0.7142857142857143,0.38461538461538464,7
tabpfn_v3,normal,0.9992210262220783,0.98771,0.99343216929514,100000
tabpfn_v3,portscan,0.9978617024621868,0.999118415667013,0.9984896636355055,31761
tabpfn_v3,ssh-patator,0.9053846153846153,0.997457627118644,0.9491935483870968,1180
tabpfn_v3,web-attack-brute-force,0.703125,0.8970099667774086,0.7883211678832117,301
tabpfn_v3,web-attack-sql-injection,0.08333333333333333,0.25,0.125,4
tabpfn_v3,web-attack-xss,0.40298507462686567,0.2076923076923077,0.27411167512690354,130
tabpfn_v3,macro_avg,,,0.7613045739914939,211311
tabpfn_v3,weighted_avg,,,0.9933623343489946,211311
tabpfn_v3,tail_avg,,,0.4032985344139889,211311
xgboost,bot,0.6902654867256637,0.9974424552429667,0.8158995815899581,391
xgboost,ddos,0.9994143370295174,0.9996875610232376,0.9995509303551555,25605
xgboost,dos-goldeneye,0.953953488372093,0.9961146187469645,0.9745782846281777,2059
xgboost,dos-hulk,0.9953208266539578,0.9982835415535035,0.9967999826439736,46025
xgboost,dos-slowhttptest,0.9570175438596491,0.9918181818181818,0.9741071428571428,1100
xgboost,dos-slowloris,0.9796264855687606,0.9956859361518551,0.9875909285408644,1159
xgboost,ftp-patator,0.9906308557151781,0.9993698802772527,0.9949811794228356,1587
xgboost,heartbleed,0.5,1.0,0.6666666666666666,2
xgboost,infiltration,0.8333333333333334,0.7142857142857143,0.7692307692307693,7
xgboost,normal,0.9996575583913302,0.99253,0.9960810288679142,100000
xgboost,portscan,0.9976108142093681,0.9991499008217626,0.9983797643579619,31761
xgboost,ssh-patator,0.9167315175097276,0.9983050847457627,0.9557809330628804,1180
xgboost,web-attack-brute-force,0.7094017094017094,0.8272425249169435,0.7638036809815951,301
xgboost,web-attack-sql-injection,0.6666666666666666,0.5,0.5714285714285714,4
xgboost,web-attack-xss,0.3375796178343949,0.4076923076923077,0.3693379790940767,130
xgboost,macro_avg,,,0.8556144949152363,211311
xgboost,weighted_avg,,,0.995331296829269,211311
xgboost,tail_avg,,,0.6280935334803358,211311
