class,total,train,val,test,train_last_timestamp,val_first_timestamp,val_last_timestamp,test_first_timestamp,split,count
bot,1956.0,1173.0,391.0,392.0,50113806.0,50113807.0,50147705.0,50148360.0,,
ddos,128025.0,76815.0,25605.0,25605.0,70122904.0,70122905.0,70159232.0,70159233.0,,
dos-goldeneye,10293.0,6175.0,2058.0,2060.0,20611394.0,20611412.0,20651228.0,20651323.0,,
dos-hulk,230124.0,138074.0,46024.0,46026.0,20220742.0,20220743.0,20270536.0,20270537.0,,
dos-slowhttptest,5499.0,3299.0,1099.0,1101.0,20072586.0,20072588.0,20073686.0,20073687.0,,
dos-slowloris,5796.0,3477.0,1159.0,1160.0,20054931.0,20054932.0,20061960.0,20061961.0,,
ftp-patator,7935.0,4761.0,1587.0,1587.0,10046406.0,10046407.0,10057394.0,10057395.0,,
heartbleed,11.0,6.0,2.0,3.0,20596274.0,20596300.0,20596486.0,20596571.0,,
infiltration,36.0,21.0,7.0,8.0,40126086.0,40134389.0,40172220.0,40175898.0,,
normal,2271320.0,1362792.0,454264.0,454264.0,20651157.0,20651158.0,40248063.0,40248064.0,,
portscan,158804.0,95282.0,31760.0,31762.0,60185310.0,60185311.0,60218208.0,60218209.0,,
ssh-patator,5897.0,3538.0,1179.0,1180.0,10308974.0,10308983.0,10377573.0,10377627.0,,
web-attack-brute-force,1507.0,904.0,301.0,302.0,30045628.0,30045632.0,30053320.0,30053329.0,,
web-attack-sql-injection,21.0,12.0,4.0,5.0,30091533.0,30092330.0,30092508.0,30092803.0,,
web-attack-xss,652.0,391.0,130.0,131.0,30080072.0,30080141.0,30083018.0,30083025.0,,
bot,,,,,,,,,train_used,691.0
ddos,,,,,,,,,train_used,45273.0
dos-goldeneye,,,,,,,,,train_used,3639.0
dos-hulk,,,,,,,,,train_used,81377.0
dos-slowhttptest,,,,,,,,,train_used,1944.0
dos-slowloris,,,,,,,,,train_used,2049.0
ftp-patator,,,,,,,,,train_used,2806.0
heartbleed,,,,,,,,,train_used,4.0
infiltration,,,,,,,,,train_used,12.0
normal,,,,,,,,,train_used,803192.0
portscan,,,,,,,,,train_used,56157.0
ssh-patator,,,,,,,,,train_used,2085.0
web-attack-brute-force,,,,,,,,,train_used,533.0
web-attack-sql-injection,,,,,,,,,train_used,7.0
web-attack-xss,,,,,,,,,train_used,231.0
