method,class,precision,recall,f1,support
xgboost,bot,0.0,0.0,0.0,392
xgboost,ddos,0.9119389138656961,0.9981644210115211,0.9531054800395293,25605
xgboost,dos-goldeneye,0.9332425068119891,0.9975728155339806,0.9643359924917879,2060
xgboost,dos-hulk,0.9994778423537959,0.9565245730673967,0.9775295867841997,46026
xgboost,dos-slowhttptest,0.7695374800637959,0.8764759309718437,0.8195329087048833,1101
xgboost,dos-slowloris,0.8793103448275862,0.7474137931034482,0.8080149114631874,1160
xgboost,ftp-patator,1.0,0.9924385633270322,0.9962049335863378,1587
xgboost,heartbleed,1.0,0.6666666666666666,0.8,3
xgboost,infiltration,1.0,0.75,0.8571428571428571,8
xgboost,normal,0.9850510931198642,0.97458,0.9797875709395437,100000
xgboost,portscan,0.9725359027863018,0.9978275927208614,0.985019425019425,31762
xgboost,ssh-patator,1.0,0.9983050847457627,0.9991518235793045,1180
xgboost,web-attack-brute-force,0.6677018633540373,0.7119205298013245,0.6891025641025641,302
xgboost,web-attack-sql-injection,0.6666666666666666,0.4,0.5,5
xgboost,web-attack-xss,0.25874125874125875,0.2824427480916031,0.27007299270072993,131
xgboost,macro_avg,,,0.7732667364369566,211322
xgboost,weighted_avg,,,0.9724607181654655,211322
xgboost,tail_avg,,,0.6232636827892303,211322
