scenario,total,train,val,test,train_last_timestamp,val_first_timestamp,val_last_timestamp,test_first_timestamp,split,class,count
benign,17514626.0,10508775.0,3502925.0,3502926.0,1519396347763.0,1519396347812.0,1519908793053.0,1519908793054.0,,,
bot,207703.0,124621.0,41540.0,41542.0,1520012931228.0,1520012931661.0,1520018319243.0,1520018319413.0,,,
brute_force_web,1618.0,970.0,323.0,325.0,1519320765972.0,1519320975936.0,1519327807281.0,1519327816753.0,,,
brute_force_xss,480.0,288.0,96.0,96.0,1519322576713.0,1519322633335.0,1519327640320.0,1519327756875.0,,,
ddos_attack_hoic,1032311.0,619386.0,206462.0,206463.0,1519238370169.0,1519238370172.0,1519239043911.0,1519239043915.0,,,
ddos_attack_loic_udp,3450.0,2070.0,690.0,690.0,1519223359510.0,1519223360049.0,1519223748723.0,1519223749111.0,,,
ddos_attacks_loic_http,288589.0,173153.0,57717.0,57719.0,1519138224622.0,1519138224625.0,1519138965363.0,1519138965363.0,,,
dos_attacks_goldeneye,61300.0,36780.0,12260.0,12260.0,1518702683470.0,1518702683470.0,1518702878204.0,1518702878204.0,,,
dos_attacks_hulk,100076.0,60045.0,20015.0,20016.0,1518803569168.0,1518803569169.0,1518803730474.0,1518803730474.0,,,
dos_attacks_slowhttptest,105550.0,63330.0,21110.0,21110.0,1518792241715.0,1518792242012.0,1518792877757.0,1518792878156.0,,,
dos_attacks_slowloris,36040.0,21624.0,7208.0,7208.0,1518708312602.0,1518708312602.0,1518708812660.0,1518708812660.0,,,
ftp_bruteforce,386720.0,232032.0,77344.0,77344.0,1518622301863.0,1518622301863.0,1518623466725.0,1518623466725.0,,,
infilteration,188152.0,112891.0,37630.0,37631.0,1519914435245.0,1519914435245.0,1519929028251.0,1519929028251.0,,,
sql_injection,440.0,264.0,88.0,88.0,1519323348688.0,1519323392410.0,1519327475257.0,1519327554335.0,,,
ssh_bruteforce,188474.0,113084.0,37694.0,37696.0,1518634574470.0,1518634574470.0,1518635663438.0,1518635663439.0,,,
,,,,,,,,,train_used,benign,870702.0
,,,,,,,,,train_used,bot,10325.0
,,,,,,,,,train_used,brute_force,28595.0
,,,,,,,,,train_used,ddos,65837.0
,,,,,,,,,train_used,dos,15061.0
,,,,,,,,,train_used,infiltration,9354.0
,,,,,,,,,train_used,web_attacks,126.0
