method,class,precision,recall,f1,support
tabpfn_bal50k,benign,0.998413300175315,0.6044631272436607,0.7530262662573735,3502925
tabpfn_bal50k,bot,0.9901556503706529,1.0,0.995053477537039,41540
tabpfn_bal50k,brute_force,0.844935732647815,1.0,0.9159513989521793,115038
tabpfn_bal50k,ddos,0.9989581524570238,0.9991278707587524,0.9990430043999147,264869
tabpfn_bal50k,dos,0.9955618317530764,0.6515604112686284,0.7876387794391964,60593
tabpfn_bal50k,infiltration,0.024422534428469943,0.9108424129683763,0.047569579618152634,37630
tabpfn_bal50k,web_attacks,0.026263993111083773,0.8422090729783037,0.05093945720250522,507
tabpfn_bal50k,macro_avg,,,0.6498888519151943,4023102
tabpfn_bal50k,weighted_avg,,,0.7702153860130696,4023102
tabpfn_bal50k,tail_avg,,,0.36452083811923225,4023102
xgb_bal50k,benign,0.9975226025172076,0.6766907655744842,0.8063659584137934,3502925
xgb_bal50k,bot,0.9932093156711779,0.9999518536350506,0.9965691802020105,41540
xgb_bal50k,brute_force,0.8445945449873352,1.0,0.9157508865918652,115038
xgb_bal50k,ddos,0.9984092939451394,1.0,0.9992040138826015,264869
xgb_bal50k,dos,0.9952354542704447,0.651543907712112,0.7875245608960613,60593
xgb_bal50k,infiltration,0.027298124505382392,0.8369120382673398,0.05287169719776479,37630
xgb_bal50k,web_attacks,0.04772212929253173,0.9566074950690335,0.09090909090909091,507
xgb_bal50k,macro_avg,,,0.6641707697275983,4023102
xgb_bal50k,weighted_avg,,,0.816731816807049,4023102
xgb_bal50k,tail_avg,,,0.38011665610295536,4023102
