method,class,precision,recall,f1,support
tabpfn_web_ctrl,benign,0.9892892152287669,0.998568624792138,0.9939072616604158,3502925
tabpfn_web_ctrl,bot,0.9899890356104305,0.9998555609051517,0.9948978369703212,41540
tabpfn_web_ctrl,brute_force,1.0,0.32766564091865297,0.49359662677107613,115038
tabpfn_web_ctrl,ddos,0.9995492868126624,0.9963680158870989,0.9979561160532809,264869
tabpfn_web_ctrl,dos,0.43871454260687975,0.9985311834700378,0.6095967355985995,60593
tabpfn_web_ctrl,infiltration,0.35353535353535354,0.0027903268668615466,0.005536952566773012,37630
tabpfn_web_ctrl,web_attacks,0.0680522346882472,0.7297830374753451,0.12449528936742935,507
tabpfn_web_ctrl,macro_avg,,,0.6028552598554137,4023102
tabpfn_web_ctrl,weighted_avg,,,0.9647355268620804,4023102
tabpfn_web_ctrl,tail_avg,,,0.37497669296817454,4023102
xgb_web_ctrl,benign,0.9928350292517472,0.996064717343363,0.9944472510223029,3502925
xgb_web_ctrl,bot,0.9986974141258201,0.9966779008184882,0.9976866355005061,41540
xgb_web_ctrl,brute_force,0.8448364496276604,1.0,0.9158930590277224,115038
xgb_web_ctrl,ddos,0.998410781019969,0.9985653285208914,0.9984880487901558,264869
xgb_web_ctrl,dos,0.9995946904448272,0.6512303401382998,0.7886558274790395,60593
xgb_web_ctrl,infiltration,0.5785169029443838,0.3383470635131544,0.4269760890707267,37630
xgb_web_ctrl,web_attacks,0.0946286193873269,0.8895463510848126,0.17106011758012515,507
xgb_web_ctrl,macro_avg,,,0.7561724326386541,4023102
xgb_web_ctrl,weighted_avg,,,0.9839894530666149,4023102
xgb_web_ctrl,tail_avg,,,0.5319076140504527,4023102
